Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
22590.901116287998,7530.3003720960005,27944.020749341,13817.268997738,9314.673583112999,4605.756332579,9313.473197550227,9120.675935647,9483.962397848001,33452.158215875475,182.8993116878122,0.38648697325546716,0.7816305813955587
Options Summary,
Query Endpoint,http://ec2-52-23-195-18.compute-1.amazonaws.com:9999/blazegraph/namespace/watdiv/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,7404.5084089150005,9070.827373772001,0.016633655,300.000370217
2,7266.732851703,9120.675935647,0.023529243000000002,300.000610853
3,7564.314004498,9339.382415846,0.01497494,300.000417653
4,7759.8542600870005,9483.962397848001,0.013493684,300.000540491
5,7797.805933628,9534.238326076998,0.01902014,300.000419696
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,9.043874503,2.260968625,58.218918657,82.462905488,14.554729664,20.615726372,1.4156646300362593E10,9.910818974,18.008966166999997,14.3870612300168,3.7930279764347636,0.06870618850952778,0.04850665855548929,247.34227863430002,174.62397079976145
templated/C1/C1_split1.sparql,Remote SPARQL Query,4.977627037,1.2444067589999999,55.765102546,78.07315540600001,13.941275636,19.518288851,1.3551527183221611E10,9.033722737,16.893906725,12.629055310027088,3.553738216305063,0.07172944758496416,0.05123399943682901,258.226011305871,184.44239797258444
templated/C1/C1_split2.sparql,Remote SPARQL Query,10.560289288,2.640072322,59.667862018,92.06526881399999,14.916965504,23.016317203,1.4698069834830921E10,11.454415314,18.572352021,8.634179329364292,2.9383974083442643,0.06703776312493644,0.043447437362813965,241.33594724977115,156.41077450613028
templated/C1/C1_split3.sparql,Remote SPARQL Query,3.7297424710000002,0.932435617,47.392796826,72.53822974900001,11.848199205999999,18.134557436999998,1.1584149784537544E10,8.18404291,14.904757298,7.680874466647368,2.7714390606050436,0.08440101171607531,0.055143336333077345,303.8436421778711,198.51601079907846
templated/C1/C1_split4.sparql,Remote SPARQL Query,5.668823657,1.417205914,55.599990557,85.30077529799999,13.899997638999999,21.325193824000003,1.3231249407683708E10,7.458589092,17.420250485,19.427908297461983,4.407710096803325,0.07194245826303194,0.04689289149037278,258.992849746915,168.81440936534202
templated/C1/C1_split5.sparql,Remote SPARQL Query,4.975184341,1.243796085,56.621093662,84.83081793299999,14.155273415,21.207704483,1.415024960715962E10,13.660253518,14.714740848,0.19036595828084285,0.43630947535074555,0.0706450501295386,0.04715267514226235,254.32218046633895,169.74963051214448
templated/C1/C1_split6.sparql,Remote SPARQL Query,4.610800093,1.1527000230000002,55.74044051,74.589637007,13.935110127,18.647409251000003,1.3877653868862894E10,12.515679854,15.922248323,2.1958914204120505,1.4818540482827758,0.07176118386480837,0.053626752464092195,258.3402619133101,193.0563088707319
templated/C1/C1_split7.sparql,Remote SPARQL Query,4.3689999859999995,1.092249996,47.787089007000006,66.86773737499999,11.946772251,16.716934343000002,1.1672932678304434E10,9.343328927,14.707714540000001,8.634003879319716,2.93836755347586,0.08370461736359755,0.05981958052127763,301.33662250895117,215.35048987659948
templated/C1/C1_split8.sparql,Remote SPARQL Query,16.019217142,4.0048042850000005,68.30615420800001,127.827664078,17.076538552000002,31.956916019,1.6782874502739988E10,14.17085801,22.763356304000002,14.955088794138877,3.867180988024594,0.058559877164501825,0.031292130924193355,210.81555779220656,112.65167132709608
templated/C1/C1_split9.sparql,Remote SPARQL Query,10.529545045,2.632386261,68.51156519599999,92.851981044,17.127891298999998,23.212995261,1.692488920549265E10,13.694485328,20.931616631,9.308382727307512,3.0509642291097925,0.05838430327137728,0.04307931780264882,210.1834917769582,155.08554408953574
templated/C1/C1_split10.sparql,Remote SPARQL Query,3.705318293,0.926329573,49.800451945,73.868048022,12.450112986,18.467012005,1.2285773474356745E10,9.198193053,13.996398896999999,4.8077905771128275,2.1926674570287283,0.08032055621699881,0.05415061189808329,289.1540023811957,194.94220283309986
templated/C1/C1_split11.sparql,Remote SPARQL Query,47.320382558,11.830095639,107.19244189,177.320792133,26.798110472,44.330198033,2.226900875519541E10,11.463989933,56.835496832,415.6411798252788,20.38727985350863,0.03731606379654453,0.022557986302149755,134.3378296675603,81.20875068773911
templated/C1/C1_split12.sparql,Remote SPARQL Query,3.818668207,0.954667051,48.303769773,71.086528836,12.075942443,17.771632209,1.1761269256211117E10,8.470981109,16.255875391,10.219750183294863,3.1968344003552738,0.0828092717997066,0.05626945168793078,298.1133784789438,202.5700260765508
templated/C1/C1_split13.sparql,Remote SPARQL Query,8.254806294,2.063701573,64.711148654,99.564473559,16.177787163,24.891118389,1.5971455124148527E10,12.901861199999999,18.682813146,8.69522363426748,2.948766459770505,0.061813150953492976,0.040174972629671984,222.52734343257472,144.62990146681915
templated/C1/C1_split14.sparql,Remote SPARQL Query,4.757810679,1.189452669,55.628693424,74.83092773300001,13.907173356,18.707731932999998,1.3896401409285736E10,13.261033863,14.49602386,0.39884784630097647,0.631544017706586,0.07190533794335482,0.05345383414629881,258.8592165960774,192.43380292667572
templated/C1/C1_split15.sparql,Remote SPARQL Query,6.529121673,1.6322804180000001,56.192572463,81.198211255,14.048143115,20.299552813,1.4002110626600029E10,12.670325145000001,15.538333897000001,1.7277908164158564,1.3144545699322805,0.07118378506069199,0.04926216893603646,256.26162621849113,177.34380816973123
templated/C1/C1_split16.sparql,Remote SPARQL Query,4.257265124,1.064316281,50.906630676,72.253413057,12.726657669,18.063353264,1.2662272648197598E10,10.784382406,14.302390342,2.10878559481162,1.4521658289643165,0.07857522579835176,0.055360706585580954,282.8708128740663,199.29854370809144
