Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
22309.844344733,7436.614781577,28083.223335652,13405.369776557,9361.074445217,4468.456592185,9360.698773988866,9248.235312904,9448.694936984,10523.000094840214,102.58167523900266,0.3845712392383979,0.8056473025375549
Options Summary,
Query Endpoint,http://ec2-52-23-220-42.compute-1.amazonaws.com:9999/blazegraph/namespace/watdiv/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,7272.183156883,9142.753971462,0.021357932000000003,300.001041566
2,7267.065677135,9248.235312904,0.021227059,300.000389682
3,7499.9516589059995,9386.293085764,0.023777899999999998,300.001473302
4,7542.827008692,9448.694936984,0.01415783,300.000489533
5,7687.3899098150005,9741.444528962,0.023906583999999998,300.000353982
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,5.47338093,1.3683452319999998,63.033294133000005,85.809790704,15.758323533,21.452447676,1.5704037771891792E10,14.552220771,17.900238913000003,2.3686569962620614,1.539044182686794,0.06345852703848025,0.046614727377648074,228.45069733852887,167.81301855953308
templated/C1/C1_split1.sparql,Remote SPARQL Query,7.220380592000001,1.8050951480000001,76.580338413,106.585698884,19.145084603,26.646424721,1.8880305339083225E10,13.999044505,20.996105842000002,11.79109965410887,3.4338170676535564,0.05223272817730467,0.037528486859698736,188.03782143829682,135.10255269491546
templated/C1/C1_split2.sparql,Remote SPARQL Query,5.61383688,1.40345922,54.897788761,163.98744764699998,13.724447190000001,40.996861911,1.3437511473495712E10,10.365428417999999,17.805865305,10.681799230762127,3.268302193916916,0.07286267972444287,0.024392110844261634,262.3056470079943,87.81159903934189
templated/C1/C1_split3.sparql,Remote SPARQL Query,40.078583296999994,10.019645824,93.46445137100001,197.581536604,23.366112842,49.395384151,2.0566421349228817E10,11.225870351,44.21882330099999,207.36250010768322,14.400086809032898,0.04279702005900293,0.02024480661883374,154.06927221241057,72.88130382780146
templated/C1/C1_split4.sparql,Remote SPARQL Query,4.964812157,1.241203039,50.455959357,81.08914766000001,12.613989839,20.272286915000002,1.2275302825476456E10,10.336510555999999,17.962913814,13.132676476883098,3.6239034861435115,0.07927705767672293,0.049328425756448496,285.39740763620256,177.5823327232146
templated/C1/C1_split5.sparql,Remote SPARQL Query,25.275364952,6.318841238,82.127089102,121.07209469899999,20.531772274999998,30.268023674,1.9640550552099884E10,13.274853942,29.957243071,50.63321034826049,7.115701676451908,0.048705001526713074,0.033038166309450605,175.33800549616706,118.93739871402217
templated/C1/C1_split6.sparql,Remote SPARQL Query,23.218207458000002,5.8045518640000004,86.395036802,115.762752889,21.5987592,28.940688222000002,2.1319363761367424E10,17.387784057,26.547382801,16.2784254555324,4.034653077469288,0.04629895591409714,0.03455342845785625,166.67624129074972,124.39234244828249
templated/C1/C1_split7.sparql,Remote SPARQL Query,5.7484311429999995,1.437107785,58.416225364,77.567501891,14.604056341,19.391875472,1.4523402195873524E10,12.234435933999999,16.383011189999998,2.9987621730159226,1.7316934408306577,0.06847412641052067,0.05156798791555276,246.50685507787443,185.64475649598995
templated/C1/C1_split8.sparql,Remote SPARQL Query,5.7568106,1.43920265,59.315644228,80.09007143900001,14.828911057,20.022517859,1.4760062701004635E10,12.506012823999999,16.147185757,2.5520635873291075,1.597517945855103,0.06743583504926003,0.04994376866296593,242.76900617733608,179.79756718667736
templated/C1/C1_split9.sparql,Remote SPARQL Query,16.712689735,4.178172432999999,59.621805753000004,161.588915744,14.905451438,40.397228936,1.2980571880470335E10,8.265737486,29.730167647,100.04469955406555,10.002234728002815,0.06708954801936405,0.024754173153417703,241.5223728697106,89.11502335230374
