Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
83442.114418849,83442.114418849,141896.955266321,206917.81431371302,141896.955266321,206917.81431371302,141896.9552663206,141896.955266321,141896.955266321,0.0,0.0,0.02537052323105381,0.017398211999968036
Options Summary,
Query Endpoint,http://ec2-52-91-246-167.compute-1.amazonaws.com:9999/blazegraph/namespace/kb/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,3
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,81914.535262801,139477.357542402,0.036230004999999996,300.006751769
2,83442.114418849,141896.955266321,0.036630562,300.009006626
3,87078.24699203401,142046.454436584,0.04678823,300.00866358599995
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,12.942173362,6.471086681,130.99807210999998,418.66419302300005,65.49903605499999,209.332096511,5.973501169413174E10,38.631730606999994,92.366341503,1443.704204072261,37.99610774898215,0.015267400258536524,0.00477709828863942,54.96264093073149,17.19755383910191
templated/C1/C1_split1.sparql,Remote SPARQL Query,302.498008148,151.249004074,345.112096614,656.950278869,172.556048307,328.475139434,1.1633384369848695E11,45.111838483,300.00025813099995,32484.053235327476,180.23332997902324,0.005795218480089831,0.003044370425485209,20.862786528323394,10.959733531746751
templated/C1/C1_split2.sparql,Remote SPARQL Query,12.760047713,6.380023856,30.749132177,242.939580241,15.374566088,121.46979012,1.5109542236323648E10,12.53220513,18.216927047000002,16.158031636810076,4.01970541667049,0.06504248603025681,0.008232499611731444,234.1529497089245,29.6369986022332
templated/C1/C1_split3.sparql,Remote SPARQL Query,11.159024712,5.579512356,119.675930956,421.90090518,59.837965478,210.95045259,5.799133811479462E10,45.087141222999996,74.588789733,435.1736324037926,20.860815717603003,0.016711798137048286,0.004740449654040726,60.16247329337383,17.065618754546612
templated/C1/C1_split4.sparql,Remote SPARQL Query,2.9393337280000003,1.4696668640000001,33.084333058999995,61.522904123,16.542166529,30.761452061,1.6414484405292484E10,14.490831550000001,18.593501509000003,8.41595039624053,2.901025748979235,0.06045157375528196,0.032508218338230546,217.62566551901506,117.02958601762997
templated/C1/C1_split5.sparql,Remote SPARQL Query,18.312757209,9.156378604,157.59367163299999,375.152041176,78.79683581600001,187.576020588,7.873361709407085E10,75.641067451,81.952604182,19.917747953381085,4.462930422198075,0.012690864926798825,0.0053311718463014135,45.687113736475766,19.192218646685088
templated/C1/C1_split6.sparql,Remote SPARQL Query,10.850693775,5.425346887,149.011975025,249.09482203899998,74.505987512,124.54741101900001,7.411944415874054E10,66.926398288,82.085576737,114.90034562431303,10.71915787850487,0.013421740096243124,0.008029070952325516,48.31826434647525,28.90465542837186
templated/C1/C1_split7.sparql,Remote SPARQL Query,1.52769986,0.76384993,15.451570345,322.435643789,7.725785172,161.217821894,7.710945128610795E9,7.247160313999999,8.204410031,0.45816351034829,0.6768777661796036,0.12943668219305748,0.006202788179693282,465.972055895007,22.330037446895815
templated/C1/C1_split8.sparql,Remote SPARQL Query,18.529505026,9.264752513,176.92629745899998,403.20962726199997,88.463148729,201.60481363099998,7.855636949002054E10,47.786060637000006,129.14023682200002,3309.250991370011,57.52608965825863,0.0113041420565237,0.004960199024961346,40.69491140348532,17.856716489860844
templated/C1/C1_split9.sparql,Remote SPARQL Query,3.571343762,1.785671881,30.016283097,150.92923997600002,15.008141548,75.46461998800001,1.45438453766507E10,11.303971682,18.712311415,27.441748799773254,5.238487262538037,0.06663050163817659,0.013251242769910122,239.8698058974357,47.704473971676435
templated/C1/C1_split10.sparql,Remote SPARQL Query,1.120724854,0.560362427,13.481211954,42.52420531,6.740605977,21.262102655,6.730947056324385E9,6.379883560000001,7.101328394,0.2602413242526438,0.5101385343734031,0.14835461431986324,0.04703203705795484,534.0766115515077,169.31533340863743
templated/C1/C1_split11.sparql,Remote SPARQL Query,7.0649071889999995,3.532453594,33.883983758,102.929267888,16.941991879,51.464633944,1.3920691791562004E10,7.285624608,26.59835915,186.49085774488,13.65616555790387,0.05902493680448069,0.01943081925129645,212.48977249613048,69.95094930466722
templated/C1/C1_split12.sparql,Remote SPARQL Query,6.966011712,3.483005856,63.871389175,244.95803247199999,31.935694587,122.47901623599999,2.3845931601368176E10,10.692810253,53.178578922,902.520269697891,30.04197512977286,0.03131292470485574,0.008164663880653152,112.72652893748067,29.392789970351345
