Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
852.7442904159999,142.124048402,9398.292458818,3877.676137501,1566.382076469,646.27935625,1566.328120174375,1545.341373514,1583.64723847,202.4904775015002,14.229914880332217,2.2982898323985306,5.570346577196585
Options Summary,
Query Endpoint,http://ec2-54-85-8-121.compute-1.amazonaws.com:9999/blazegraph/namespace/watdiv/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,3
Runs,10
Random Operation Order,true
Outliers,2
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,141.04712163099998,1555.076164253,0.009063841999999999,19.942461336
2,144.157267378,1545.341373514,0.008828368,22.619471134
3,144.97490943199998,1567.816848095,0.007682222000000001,20.103574781
4,137.443743892,1568.273013749,0.00800437,20.828819892
5,144.888966781,1606.245910284,0.006670372000000001,20.232339877999998
6,139.67509253699998,1583.64723847,0.009037767,19.779236858
7,138.110598478,1608.425735918,0.007828916,19.522396314
8,145.446155546,1578.137820737,0.007163756,20.813593711000003
9,75.20490861699999,346.04080856999997,0.00650678,14.914020262
10,76.19498034,336.190440667,0.00640951,14.370021136
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,0.881969003,0.097996555,0.883548334,1.4755526589999999,0.098172037,0.16395029500000002,9.47905676802567E7,0.055942163,0.14230437699999998,6.976448137175988E-4,0.026412966772356317,10.186199966493513,6.09940958020234,36670.31987937665,21957.874488728427
templated/C1/C1_split1.sparql,Remote SPARQL Query,1.10839914,0.12315546000000001,1.1101457600000002,1.793175024,0.123349528,0.199241669,1.102663902574548E8,0.070844679,0.249093061,0.004473708211341836,0.06688578482265,8.107043587552276,5.019030431832007,29185.356915188197,18068.509554595228
templated/C1/C1_split2.sparql,Remote SPARQL Query,0.947034903,0.1052261,0.948597952,1.376507844,0.105399772,0.152945316,1.0094632364429383E8,0.055268617,0.133577013,9.147984706189129E-4,0.030245635563150474,9.487686557803938,6.538284572245416,34155.67160809418,23537.8244600835
templated/C1/C1_split3.sparql,Remote SPARQL Query,1.226193925,0.136243769,1.2278922540000001,2.121189814,0.136432472,0.235687757,1.2760554675548202E8,0.073146193,0.21896899199999997,0.0027253602986835957,0.05220498346598336,7.32963337349777,4.242901764303354,26386.68014459197,15274.446351492072
templated/C1/C1_split4.sparql,Remote SPARQL Query,0.949971695,0.10555241,0.9514877820000001,1.645705992,0.10572086400000001,0.182856221,9.786274508072451E7,0.052009102,0.157405125,0.0016179233425342805,0.0402234178375518,9.45887086204668,5.468777570329422,34051.93510336805,19687.599253185923
templated/C1/C1_split5.sparql,Remote SPARQL Query,1.099345611,0.122149512,1.101035955,1.719277935,0.122337328,0.19103088099999999,1.1812951264631109E8,0.076259506,0.17818836200000002,0.0011558768020746666,0.03399818821753104,8.174120003667237,5.234755735644647,29426.832013202056,18845.12064832073
templated/C1/C1_split6.sparql,Remote SPARQL Query,0.816423311,0.090713701,0.8180498700000001,1.372228282,0.09089443,0.152469809,8.720682486428362E7,0.054952331,0.126905464,7.258399412226433E-4,0.026941416837698854,11.001774256134286,6.558675494897485,39606.387322083436,23611.231781630944
templated/C1/C1_split7.sparql,Remote SPARQL Query,0.950855758,0.105650639,0.952387701,1.541993311,0.10582085499999999,0.17133259,1.0207770448518912E8,0.075862654,0.186553053,0.0011196989262338174,0.03346190260929312,9.449933096836158,5.836601197705585,34019.759148610174,21011.764311740106
templated/C1/C1_split8.sparql,Remote SPARQL Query,1.0665342880000002,0.118503809,1.068212953,1.616238619,0.118690328,0.17958206799999998,1.121607146089251E8,0.056565281,0.190739462,0.0017252377137127108,0.04153598095281621,8.425286346836955,5.568484710845406,30331.03084861304,20046.544959043462
templated/C1/C1_split9.sparql,Remote SPARQL Query,0.766830296,0.085203366,0.768504261,1.274813617,0.08538936200000001,0.14164595700000002,8.321945959313263E7,0.058646569999999995,0.115253281,4.0823307927140393E-4,0.020204778624657187,11.71106068224283,7.059855580629103,42159.81845607419,25415.48009026477
templated/C1/C1_split10.sparql,Remote SPARQL Query,0.8949351010000001,0.099437233,0.896700347,1.500153364,0.099633371,0.166683707,9.067711190456097E7,0.047174319,0.162136266,0.001993344603038607,0.04464688794349061,10.036797811448134,5.999386610714148,36132.472121213286,21597.791798570932
templated/C1/C1_split11.sparql,Remote SPARQL Query,0.819338492,0.09103761,0.820909181,1.197477002,0.091212131,0.133053,8.801103784103358E7,0.056114975000000004,0.12915931800000002,6.169942905919321E-4,0.02483936977042558,10.963453973024706,7.515801973649598,39468.43430288894,27056.887105138554
templated/C1/C1_split12.sparql,Remote SPARQL Query,0.9028931659999999,0.100321462,0.904413672,1.4000286690000001,0.100490408,0.155558741,9.048261446762967E7,0.051700198,0.17147842600000002,0.0024363374521183985,0.04935926916110487,9.951198526330991,6.4284397878998005,35824.31469479157,23142.38323643928
templated/C1/C1_split13.sparql,Remote SPARQL Query,0.9694244599999999,0.10771382800000001,0.971155231,1.486248299,0.107906136,0.165138699,1.0221353975071782E8,0.059354396999999996,0.154597182,0.0012657870499886237,0.035577901146478894,9.26731358446567,6.055515794029599,33362.32890407641,21799.85685850656
templated/C1/C1_split14.sparql,Remote SPARQL Query,0.762822742,0.084758082,0.76418486,1.231660265,0.08490942800000001,0.13685113999999998,8.291012247674821E7,0.054842937,0.12019821500000001,3.832382620344374E-4,0.019576472154973105,11.77725517123964,7.307209863213417,42398.11861646271,26305.9555075683
templated/C1/C1_split15.sparql,Remote SPARQL Query,0.8566145719999999,0.095179396,0.858194975,1.68061934,0.095354997,0.18673548199999998,8.986595595959099E7,0.057507109,0.160130649,0.0012198696798113523,0.034926632815250776,10.487127381483742,5.355168655092555,37753.65857334147,19278.6071583332
templated/C1/C1_split16.sparql,Remote SPARQL Query,0.98694566,0.109660628,0.988524713,1.69803318,0.109836079,0.188670353,1.0150411483493899E8,0.05491711,0.179499248,0.0019901006423210473,0.04461054407111672,9.104476499019961,5.30024979600266,32776.11539647186,19080.899265609576
templated/C1/C1_split17.sparql,Remote SPARQL Query,0.931958439,0.10355093700000001,0.933586581,1.690620257,0.103731842,0.187846695,9.463781336495246E7,0.056357396000000004,0.234856321,0.002899441907785363,0.05384646606589297,9.640241421722752,5.323489987407018,34704.86911820191,19164.563954665264
templated/C1/C1_split18.sparql,Remote SPARQL Query,0.8844467859999999,0.098271865,0.886305312,1.674452367,0.098478368,0.186050263,9.374420590648991E7,0.056676664,0.13724884299999998,9.683567197935166E-4,0.03111843054836662,10.154514339636497,5.374891622700904,36556.251622691394,19349.609841723257
templated/C1/C1_split19.sparql,Remote SPARQL Query,0.847357434,0.09415082599999999,0.848844402,1.399030561,0.094316044,0.15544784,8.766360815543604E7,0.054594376,0.162046891,0.001451550053309665,0.03809921328990489,10.60264995847366,6.433026023391512,38169.53985050518,23158.89368420944
templated/C1/C1_split20.sparql,Remote SPARQL Query,0.939112069,0.10434578500000001,0.940641497,1.4554681809999999,0.104515721,0.161718686,1.0234347281900294E8,0.06617492300000001,0.128714319,4.397418691739014E-4,0.020970023108568606,9.56793858791827,6.183577326370312,34444.57891650577,22260.878374933123
templated/C1/C1_split21.sparql,Remote SPARQL Query,0.9983448100000001,0.110927201,0.999969033,1.483226646,0.11110767,0.16480296000000003,1.0655856023348106E8,0.059152408999999996,0.146413017,9.699405870389299E-4,0.031143869172582425,9.000278738632534,6.067852179354059,32401.003459077125,21844.267845674614
templated/C1/C1_split22.sparql,Remote SPARQL Query,0.889510147,0.09883446000000001,0.8913376789999999,1.379858574,0.099037519,0.15331761900000002,9.25466769510043E7,0.05398666,0.16649309099999998,0.0014903568790913223,0.03860514057857221,10.097183472457544,6.522407577957495,36349.86050084716,23480.66728064698
templated/C1/C1_split23.sparql,Remote SPARQL Query,1.0307743379999998,0.114530482,1.032243327,1.8642311569999999,0.114693703,0.207136795,1.044850916790166E8,0.059017044,0.21537981,0.00283054660810282,0.053202881577061406,8.718874479098474,4.82772749283873,31387.948124754505,17379.818974219426
templated/C1/C1_split24.sparql,Remote SPARQL Query,0.881999028,0.097999892,0.883433385,1.3332483810000002,0.09815926500000001,0.148138709,9.178303688785672E7,0.056467855,0.160243095,0.0014619170052793467,0.038235023280748064,10.187525344652895,6.7504300985909085,36675.09124075042,24301.548354927272
