Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0
Options Summary,
Query Endpoint,http://ec2-54-86-54-69.compute-1.amazonaws.com:3030/hdtservice/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,0
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/queries/xaa,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xab,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xac,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xad,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xae,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xaf,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xag,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xah,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xai,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xaj,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xak,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xal,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xam,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xan,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xao,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xap,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xaq,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xar,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xas,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xat,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xau,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xav,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xaw,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xax,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xay,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xaz,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xba,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xbb,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xbc,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xbd,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xbe,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xbf,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xbg,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xbh,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xbi,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xbj,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
templated/queries/xbk,Remote SPARQL Query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223372036854774E9,-9.223372036854774E9,NaN,NaN,0.0,0.0,0.0,0.0
