Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
615.7462627250001,205.248754241,17569.933715899002,12570.549142408001,5856.644571966,4190.183047469,5856.64242588414,5849.5657511360005,5860.514466854001,37.69149824753443,6.139340212721105,0.6146864396094855,0.8591510106400988
Options Summary,
Query Endpoint,http://193.190.127.244:9999/blazegraph/namespace/kb/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
Result Counting Limit,Disabled
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,202.531698798,5859.853497909,0.00941839,270.213537426
2,203.72772879200002,5848.7978015670005,0.007331733,275.728324079
3,204.33825190500002,5849.5657511360005,0.010188319999999999,269.988007201
4,208.876312022,5860.514466854001,0.011275127,280.52790587000004
5,199.760019393,5865.021190032,0.010975170999999999,270.85973088400004
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,1.747026821,0.436756705,18.520682545,26.342403858,4.630170636,6.585600964,4.614013501320719E9,4.047776151,5.057949107000001,0.1934187867969358,0.43979402769584736,0.21597476175605898,0.15184643063958347,777.5091423218123,546.6471503025004
templated/C1/C1_split1.sparql,Remote SPARQL Query,1.701428545,0.425357136,20.422291571000002,29.363125366,5.1055728920000005,7.340781341,5.090822089325546E9,4.745168144,5.747674169,0.20841636789080448,0.45652641532643484,0.1958644056511102,0.13622528087231853,705.1118603439968,490.4110111403467
templated/C1/C1_split2.sparql,Remote SPARQL Query,1.437498349,0.359374587,20.036402453999997,28.107860019,5.009100612999999,7.026965004,5.00376354666668E9,4.826780543,5.410434347000001,0.07360147448152626,0.2712959168169073,0.19963663684548955,0.14230894837682614,718.6918926437625,512.3122141565742
templated/C1/C1_split3.sparql,Remote SPARQL Query,1.5990342149999999,0.399758553,18.697633253,25.474198989,4.674408313,6.368549747,4.670946176810602E9,4.489297227,4.878360823,0.04316846219556212,0.20777021489030165,0.21393081926944624,0.15702162026308497,770.1509493700064,565.2778329471059
templated/C1/C1_split4.sparql,Remote SPARQL Query,1.590081796,0.397520449,19.145654556,27.162083555000002,4.786413639,6.790520888,4.784708634102009E9,4.584308824,4.932219971,0.021516433985719913,0.14668481170768807,0.2089246929792981,0.1472641077899001,752.1288947254732,530.1507880436403
templated/C1/C1_split5.sparql,Remote SPARQL Query,1.636935381,0.409233845,20.240302443,266.80166519799997,5.06007561,66.70041629900001,5.045531431653779E9,4.774238065,5.74018406,0.20732789223222683,0.45533272695055305,0.19762550544180504,0.01499241017503203,711.4518195904982,53.97267663011531
templated/C1/C1_split6.sparql,Remote SPARQL Query,1.769357194,0.442339298,21.380650919,30.004189324,5.345162729,7.501047331,5.293050884568259E9,4.3598960479999995,6.333105619,0.7352195062555965,0.8574494190654026,0.18708504318765334,0.13331471671525705,673.506155475552,479.93298017492543
templated/C1/C1_split7.sparql,Remote SPARQL Query,1.857226231,0.464306557,18.744549664999997,28.030363726,4.686137415999999,7.007590930999999,4.683837155305583E9,4.500461501,4.854895436,0.028686644009047947,0.16937131991292964,0.21339536407653653,0.1427023937108295,768.2233106755315,513.7286173589861
templated/C1/C1_split8.sparql,Remote SPARQL Query,1.70057672,0.42514418,18.409617942,25.018514604,4.602404485,6.254628651,4.600385314670103E9,4.453119061000001,4.7440834050000005,0.02477002027246074,0.1573849429661578,0.21727773020801755,0.15988159422384227,782.1998287488632,575.5737392058322
templated/C1/C1_split9.sparql,Remote SPARQL Query,1.577633563,0.39440839,19.678144213,27.199782561,4.919536053,6.79994564,4.8979926095032835E9,4.1758037869999995,5.336482606,0.26610328239207126,0.5158519965959919,0.20327120062270637,0.14705999914434612,731.776322241743,529.415996919646
templated/C1/C1_split10.sparql,Remote SPARQL Query,2.018378264,0.504594566,20.481953119,29.197929963,5.120488279,7.29948249,5.101473197667645E9,4.627432369,5.633050054,0.25937145799010086,0.5092852422661596,0.19529387541050947,0.1369960132612086,703.0579514778341,493.185647740351
templated/C1/C1_split11.sparql,Remote SPARQL Query,1.643503614,0.410875903,18.279703189,25.108361817000002,4.569925797,6.2770904540000005,4.565015642821271E9,4.324040361000001,4.79173015,0.05973062555767814,0.24439849745380623,0.21882193375141143,0.1593094774287922,787.7589615050812,573.5141187436519
templated/C1/C1_split12.sparql,Remote SPARQL Query,1.6006177689999999,0.400154442,19.284366916,27.226804971,4.821091729,6.806701242,4.792943556078701E9,4.242937755,5.683166798999999,0.378569805588747,0.615280265886,0.2074218986510389,0.14691404315347503,746.7188351437401,528.8905553525101
templated/C1/C1_split13.sparql,Remote SPARQL Query,1.684591627,0.42114790599999996,19.178182553,26.938174171,4.794545638,6.734543542,4.789090555003437E9,4.406614191,4.940069266,0.06721531370445347,0.2592591632024864,0.20857033710855252,0.14848816311951912,750.8532135907891,534.5573872302688
templated/C1/C1_split14.sparql,Remote SPARQL Query,1.642088299,0.41052207399999996,20.232803795,28.475433254,5.058200948,7.118858313,5.031691309464544E9,4.679937471000001,5.974491707,0.3831491737531775,0.6189904472228771,0.1976987490770602,0.1404719627828334,711.7154966774167,505.6990660182002
templated/C1/C1_split15.sparql,Remote SPARQL Query,1.929302378,0.482325594,18.781516576,25.33893147,4.695379144,6.334732867,4.694026561220138E9,4.5571290840000005,4.867416732,0.017039901080641188,0.13053697208316573,0.21297534646969926,0.15785985312962053,766.7112472909173,568.295471266634
templated/C1/C1_split16.sparql,Remote SPARQL Query,1.628591878,0.407147969,18.265856713,25.758395619999998,4.566464178,6.4395989049999995,4.555077400036781E9,4.08884816,4.969392646,0.13614910998736504,0.3689838885200342,0.2189878122372517,0.15528917479993268,788.3561240541061,559.0410292797576
templated/C1/C1_split17.sparql,Remote SPARQL Query,1.71821037,0.429552592,19.531129120000003,29.18823316,4.882782280000001,7.29705829,4.873468678925958E9,4.533147043,5.372472954,0.12426116500880152,0.3525069715747499,0.20480126752651356,0.13704152553782054,737.2845630954488,493.3494919361539
templated/C1/C1_split18.sparql,Remote SPARQL Query,2.085801642,0.52145041,19.682205868,27.502940504999998,4.920551467,6.8757351259999995,4.90707225215527E9,4.378293318,5.381693519000001,0.17345693918226707,0.416481619261003,0.20322925320598012,0.14543899403840999,731.6253115415285,523.5803785382759
templated/C1/C1_split19.sparql,Remote SPARQL Query,1.788766283,0.44719157000000004,18.575200018,28.276951981,4.643800004,7.069237995000001,4.636009066255892E9,4.292737906,4.954085920000001,0.09590539820384343,0.30968596707607443,0.21534088443486724,0.14145796204729416,775.227183965522,509.248663370259
templated/C2/C2_split0.sparql,Remote SPARQL Query,18.632020735999998,4.658005183999999,70.80274346300001,99.336317803,17.700685865,24.83407945,1.7695779520193882E10,17.207304282000003,18.250816805,0.2319580235096385,0.4816202067081888,0.0564949859924538,0.04026724654776765,203.3819495728337,144.96208757196354
templated/C2/C2_split1.sparql,Remote SPARQL Query,18.62109643,4.655274107,67.137083499,92.812648661,16.784270874,23.203162165000002,1.6757785579528513E10,15.585212985,18.103175156000002,1.1899629659494586,1.0908542368022682,0.05957959136307013,0.04309757406722843,214.48652890705247,155.15126664202236
templated/C2/C2_split2.sparql,Remote SPARQL Query,20.695755742000003,5.173938935,72.642449199,98.15585051800001,18.160612299,24.538962629,1.8151633328925198E10,17.337348239,18.845350499,0.43205293052666743,0.657307333388779,0.05506422269997274,0.04075151892599591,198.23120171990186,146.7054681335853
templated/C2/C2_split3.sparql,Remote SPARQL Query,17.552247992,4.388061998,67.549134359,93.281308247,16.887283589,23.320327061,1.6835030875795841E10,15.549501359,18.888106875000002,2.4025367189817675,1.5500118447875704,0.05921615484987638,0.04288104525224952,213.17815745955494,154.37176290809825
