Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
357459.83110108,357459.83110108,357478.485043802,357479.440168256,357478.485043802,357479.440168256,357478.4850438033,357478.485043802,357478.485043802,0.0,0.0,0.010070536131870679,0.01007050922510558
Options Summary,
Query Endpoint,http://ec2-54-84-218-29.compute-1.amazonaws.com:8000/v1/graphs/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,0
Runs,1
Random Operation Order,true
Outliers,0
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,357459.83110108,357478.485043802,0.043668252000000005,300.00121142
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,300.00028930300005,300.00028930300005,300.00028930300005,300.00033705,300.00028930300005,300.00033705,3.0000028930300037E11,300.00028930300005,300.00028930300005,0.0,0.0,0.003333330118858655,0.003333329588337541,11.999988427891157,11.999986518015147
templated/C1/C1_split1.sparql,Remote SPARQL Query,300.000474987,300.000474987,300.000474987,300.000520209,300.000474987,300.000520209,3.000004749869997E11,300.000474987,300.000474987,0.0,0.0,0.003333328055708356,0.003333327553243356,11.99998100055008,11.999979191676083
templated/C1/C1_split2.sparql,Remote SPARQL Query,300.000305577,300.000305577,300.000305577,300.00035425799996,300.000305577,300.00035425799996,3.0000030557700024E11,300.000305577,300.000305577,0.0,0.0,0.003333329938036792,0.0033333293971379817,11.99998777693245,11.999985829696735
templated/C1/C1_split3.sparql,Remote SPARQL Query,300.000290308,300.000290308,300.000290308,300.000336555,300.000290308,300.000336555,3.000002903080001E11,300.000290308,300.000290308,0.0,0.0,0.0033333301076920105,0.0033333295938375285,11.999988387691237,11.999986537815102
templated/C1/C1_split4.sparql,Remote SPARQL Query,300.000330565,300.000330565,300.000330565,300.000382353,300.000330565,300.000382353,3.0000033056500006E11,300.000330565,300.000330565,0.0,0.0,0.003333329660392936,0.003333329084972081,11.99998677741457,11.999984705899491
templated/C1/C1_split5.sparql,Remote SPARQL Query,300.00030482700004,300.00030482700004,300.00030482700004,300.000350129,300.00030482700004,300.000350129,3.00000304827E11,300.00030482700004,300.00030482700004,0.0,0.0,0.0033333299463701076,0.0033333294430156514,11.999987806932388,11.999985994856344
templated/C1/C1_split6.sparql,Remote SPARQL Query,300.000312711,300.000312711,300.000312711,300.00035985299996,300.000312711,300.00035985299996,3.0000031271100024E11,300.000312711,300.000312711,0.0,0.0,0.0033333298587702887,0.0033333293349714632,11.99998749157304,11.999985605897267
templated/C1/C1_split7.sparql,Remote SPARQL Query,300.000339898,300.000339898,300.000339898,300.000386322,300.000339898,300.000386322,3.000003398980003E11,300.000339898,300.000339898,0.0,0.0,0.003333329556693168,0.0033333290408721944,11.999986404095404,11.9999845471399
templated/C1/C1_split8.sparql,Remote SPARQL Query,300.00030953799995,300.00030953799995,300.00030953799995,300.00052275900003,300.00030953799995,300.00052275900003,3.000003095380001E11,300.00030953799995,300.00030953799995,0.0,0.0,0.0033333298940257713,0.003333327524910121,11.999987618492778,11.999979089676435
templated/C1/C1_split9.sparql,Remote SPARQL Query,300.000339669,300.000339669,300.000339669,300.00038599799996,300.000339669,300.00038599799996,3.000003396690003E11,300.000339669,300.000339669,0.0,0.0,0.003333329559237606,0.0033333290444721854,11.999986413255382,11.999984560099868
