Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
201296.322242663,33549.387040443,201323.588254669,78823.72461543999,33553.931375778004,13137.287435906,33550.0391343142,32600.936653274,34213.10860751,311421.86455869663,558.0518475542362,0.10728996133665508,0.27402917212275557
Options Summary,
Query Endpoint,http://ec2-54-88-155-128.compute-1.amazonaws.com:8000/v1/graphs/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,3
Runs,10
Random Operation Order,true
Outliers,2
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,32599.043248105998,32600.936653274,9.16499E-4,300.000600693
2,33454.674323965,33456.482395927,9.2891E-4,300.000826932
3,33520.94400814,33522.766949888,9.522350000000001E-4,300.000559168
4,33523.870897547,33525.663732190005,9.07905E-4,300.000823697
5,34002.839071156006,34004.62991588,8.947190000000001E-4,300.000542963
6,34194.950693749,34213.10860751,9.110500000000001E-4,300.000599721
7,34514.994504418995,34535.454952964,8.97003E-4,300.00059378
8,34778.458374019,34829.761628251,8.96787E-4,300.000978734
9,13231.708918481,13886.903041271,9.39246E-4,300.000325761
10,12549.279342779,13206.014453826001,0.023884622,300.00026218899995
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,163.229504629,18.136611625,163.237182733,256.703293695,18.137464748,28.522588188,1.3708540642819294E10,3.462017826,38.76120653,161.00331167924998,12.688708038222408,0.05513449723508183,0.03505993191812513,198.48419004629457,126.21575490525046
templated/C1/C1_split1.sparql,Remote SPARQL Query,125.641679402,13.9601866,125.649222012,204.712194022,13.961024668,22.745799335,1.2004816392857332E10,4.925334772,22.146756706,52.50207178650363,7.245831338535533,0.07162798030807117,0.043964161701772086,257.86072910905625,158.2709821263795
templated/C1/C1_split2.sparql,Remote SPARQL Query,168.307229463,18.700803273000002,168.31400090099999,255.75029602,18.701555655,28.416699557,1.5643629149193857E10,4.544941097,32.80623782,102.39337822734454,10.118961321565791,0.0534714875301105,0.035190575105111595,192.4973551083978,126.68607037840175
templated/C1/C1_split3.sparql,Remote SPARQL Query,201.314364669,22.368262741,201.3219605,311.42107432299997,22.369106722,34.602341591,1.8284655330262817E10,6.865335136,44.714778183,199.6200104312339,14.128694576330606,0.04470451200523357,0.02889977828148191,160.93624321884084,104.03920181333488
templated/C1/C1_split4.sparql,Remote SPARQL Query,191.193127629,21.243680847,191.200665534,305.46502041599996,21.244518392000003,33.940557824,1.928474316198765E10,8.6376486,33.646424429999996,87.77819336489858,9.369001727233195,0.04707096586273133,0.029463275329343036,169.45547710583278,106.06779118563493
templated/C1/C1_split5.sparql,Remote SPARQL Query,142.48000364400002,15.831111516,142.48741391500002,214.34938558800002,15.831934879,23.816598398,1.4741464622088726E10,7.333429252,23.552456235,36.39029686827637,6.032437058791112,0.06316347355157663,0.041987524132916274,227.38850478567585,151.15508687849857
templated/C1/C1_split6.sparql,Remote SPARQL Query,154.124907533,17.124989725,154.13232817,250.612797573,17.125814241,27.845866397,1.4629114128758673E10,5.896721878,27.739117767,75.95083449555455,8.714977595814837,0.058391384253482864,0.03591197292061043,210.2089833125383,129.28310251419754
templated/C1/C1_split7.sparql,Remote SPARQL Query,107.792137191,11.976904132,107.80164969799999,171.90200203199998,11.977961077,19.100222448,9.735363157490566E9,4.233838723,21.772818734,60.18877233820057,7.75814232520908,0.08348666301146973,0.05235541118552317,300.551986841291,188.47948026788342
templated/C1/C1_split8.sparql,Remote SPARQL Query,168.231267963,18.692363107000002,168.238942888,270.30162306100004,18.693215876,30.033513673,1.532776891306632E10,4.754342353,32.819140032,123.0571235938355,11.093111537969657,0.05349534326428489,0.03329613747122088,192.5832357514256,119.86609489639517
templated/C1/C1_split9.sparql,Remote SPARQL Query,166.851260685,18.539028965,166.858968406,240.255987515,18.539885377999997,26.695109723,1.7001374328141304E10,9.000116846000001,27.528170721,56.624895236259746,7.524951510558705,0.05393776604393849,0.03746004456907772,194.17595775817855,134.8561604486798
