Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
18262.181013618,3043.696835603,19441.882820955998,8907.933723318,3240.313803492,1484.6556205529998,3240.305818972796,3229.693298103,3249.233366935,62.07046645965565,7.878481227981421,1.1110035071666133,2.424804749440199
Options Summary,
Query Endpoint,http://ec2-52-90-59-57.compute-1.amazonaws.com:8000/v1/graphs/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,3
Runs,10
Random Operation Order,true
Outliers,2
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,3032.30424151,3229.693298103,0.014194179,31.033664993
2,3036.706560064,3232.860423873,0.014185419,31.501950336
3,3061.532869325,3255.2384511389996,0.014314737,31.430058012
4,3047.9264814129997,3238.7342068249995,0.011014644,31.022392192999998
5,3048.982324692,3244.598613858,0.014891142999999999,31.390542115
6,3046.615840688,3246.7629113619996,0.013655837,31.221955738000002
7,3059.241824061,3259.1310235270003,0.014617402,31.550594531999998
8,3049.6455652510003,3249.233366935,0.014520918999999998,31.313916260000003
9,1060.3264258630002,1128.273367885,0.010397354999999999,23.740966396
10,1068.867435305,1134.141149264,0.010769218,24.696682328999998
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,8.898770417,0.9887522679999999,8.899983809,13.33155728,0.988887089,1.481284142,8.989429998203524E8,0.41906604399999997,1.401875868,0.16910366635689786,0.4112221618017417,1.01123779562259,0.6750899247796038,3640.456064241324,2430.3237292065737
templated/C1/C1_split1.sparql,Remote SPARQL Query,7.404880147,0.82276446,7.406327655,12.125206475,0.822925295,1.347245163,7.579172097802722E8,0.372480346,1.256712472,0.10360800393831117,0.3218819720616723,1.2151771322085803,0.7422554019590865,4374.637675950889,2672.1194470527116
templated/C1/C1_split2.sparql,Remote SPARQL Query,7.390962522,0.821218058,7.392302442999999,11.374440162,0.821366938,1.2638266839999999,7.36000908106087E8,0.358384369,1.236649568,0.13545503292817837,0.36804216188933897,1.2174826545063588,0.7912477340919952,4382.937556222892,2848.4918427311827
templated/C1/C1_split3.sparql,Remote SPARQL Query,8.688806378999999,0.965422931,8.690086101,14.485194077000001,0.965565122,1.609466008,8.502550322197993E8,0.368470645,1.477515079,0.19570725581619308,0.4423881280235638,1.035662926523976,0.6213240882562336,3728.3865354863137,2236.7667177224407
templated/C1/C1_split4.sparql,Remote SPARQL Query,8.109543415000001,0.901060379,8.110866412,11.803963032,0.9012073789999999,1.311551448,8.006743694825524E8,0.370799099,1.421772457,0.16701011139636587,0.40866870616229706,1.1096225167503873,0.7624557934993031,3994.641060301394,2744.8408565974914
templated/C1/C1_split5.sparql,Remote SPARQL Query,8.22591471,0.913990523,8.227308523,12.242652252,0.914145391,1.360294694,8.067250821486659E8,0.363961187,1.489078204,0.1819896277083927,0.42660242346755683,1.0939178929798925,0.7351348236604972,3938.104414727613,2646.48536517779
templated/C1/C1_split6.sparql,Remote SPARQL Query,8.619519742,0.957724415,8.620970236,12.286632597,0.957885581,1.3651813990000001,8.460446797221717E8,0.359328981,1.442534743,0.19099399143093343,0.4370285933791214,1.0439660224930352,0.7325033879984765,3758.2776809749266,2637.012196794515
templated/C1/C1_split7.sparql,Remote SPARQL Query,7.5554547759999995,0.8394949749999999,7.556919775,11.71260835,0.8396577519999999,1.301400927,7.590619454644939E8,0.380490389,1.291953822,0.13658099952375002,0.36956866685874495,1.1909614335341718,0.7684027106890173,4287.461160723018,2766.2497584804623
templated/C1/C1_split8.sparql,Remote SPARQL Query,7.371430369,0.819047818,7.3727578970000005,12.009994344999999,0.819195321,1.334443816,7.399842629327775E8,0.349827911,1.3395022269999999,0.13255671367914246,0.3640833883592363,1.220710097293146,0.7493758733114021,4394.556350255326,2697.7531439210475
templated/C1/C1_split9.sparql,Remote SPARQL Query,8.209877032,0.9122085590000001,8.211197739,11.871684179,0.9123553040000001,1.3190760190000002,8.549196915878645E8,0.393194047,1.2066729379999999,0.09014845443388879,0.3002473221094383,1.096064214912483,0.7581064211584305,3945.831173684939,2729.18311617035
