Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
1142544.8308529512,380848.276950983,1142549.917192576,543238.80909902,380849.97239752504,181079.60303300602,380844.588593671,378859.329779761,383631.542098616,6162676.842412178,2482.473935897853,0.009452541055306624,0.01988075928874118
Options Summary,
Query Endpoint,http://ec2-54-152-180-97.compute-1.amazonaws.com:8000/v1/graphs/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,1200s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,377122.756930272,377122.854192723,0.017458794,1200.001190089
2,378859.241048765,378859.329779761,0.001387105,1200.0018787140002
3,380054.169077599,380059.04531419894,0.014421188000000001,1200.002045489
4,383631.420726587,383631.542098616,0.001615325,1200.003303436
5,385913.450001435,385913.548248664,0.001678603,1200.001161081
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/queries/xaa,Remote SPARQL Query,747.78535609,186.946339022,747.7859467540001,987.698778817,186.946486688,246.924694704,1.8557651052449335E11,162.97768870299998,210.513898078,680.2446775138917,26.08150067603265,0.005349124328123517,0.004049817703323461,19.25684758124466,14.57934373196446
templated/queries/xab,Remote SPARQL Query,4800.001119078,1200.000279769,4800.001119078,7200.002183987,1200.000279769,1800.000545996,1.200000279769498E12,1200.000251121,1200.0002994220001,5.108893096666667E-10,2.260286065228618E-5,8.333331390493509E-4,5.555553870383227E-4,2.999999300577663,1.9999993933379618
templated/queries/xac,Remote SPARQL Query,526.125047347,131.531261836,526.1253742299999,1726.633426242,131.53134355699999,431.65835655999996,1.346624508179301E10,0.562010668,443.366419086,44621.50521345343,211.2380297518736,0.0076027505912812585,0.002316646914864027,27.36990212861253,8.339928893510496
templated/queries/xad,Remote SPARQL Query,9.904277498999999,2.476069374,9.904650246,428.95114344999996,2.476162561,107.23778586200001,9.424258167869079E8,0.430963097,8.547846767000001,16.38493188720277,4.047830516116352,0.40385070663379596,0.0093250713072989,1453.8625438816655,33.57025670627604
templated/queries/xae,Remote SPARQL Query,1347.540589867,336.885147466,1347.541038954,2550.2349555299998,336.885259738,637.558738882,5.989027637151311E10,6.368942619,1200.000206222,334212.3770126412,578.111042112708,0.0029683697077684933,0.0015684829318684645,10.686130947966575,5.6465385547264715
templated/queries/xaf,Remote SPARQL Query,1946.2200934500001,486.555023362,1946.2200934500001,2706.637378674,486.555023362,676.659344668,3.943708482870419E11,104.589232068,625.279012667,64908.53089167678,254.77152684646057,0.002055266006895162,0.0014778485036523743,7.398957624822583,5.320254613148547
templated/queries/xag,Remote SPARQL Query,554.6640543159999,138.66601357899998,554.664549908,1453.5914148309998,138.666137477,363.39785370699997,1.3535328243587161E11,104.536581027,185.016542395,1274.0524382399537,35.69387115794466,0.007211565982833163,0.0027518049151888466,25.961637538199387,9.906497694679848
templated/queries/xah,Remote SPARQL Query,358.392070369,89.598017592,358.39239881599997,777.322633946,89.59809970399999,194.330658486,3.002714604151724E9,0.355205357,356.026827093,31548.901939250187,177.62010567289445,0.01116095099453718,0.005145868427508272,40.17942358033384,18.525126339029782
templated/queries/xai,Remote SPARQL Query,2.8185268949999998,0.704631723,2.818929364,421.81014696,0.704732341,105.45253674,6.972055641217031E8,0.539038176,0.788622626,0.012695562765626823,0.1126745879319149,1.4189784430511896,0.009482939253188041,5108.322394984282,34.13858131147695
templated/queries/xaj,Remote SPARQL Query,4800.001086725,1200.000271681,4800.001086725,6758.184507962,1200.000271681,1689.54612699,1.2000002716812505E12,1200.000257878,1200.000289926,2.3137735216779243E-10,1.5211093062886455E-5,8.33333144666015E-4,5.918749325782206E-4,2.999999320797654,2.130749757281594
