Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
136629.958896869,45543.319632289,136644.622680659,71589.60339115199,45548.207560218994,23863.201130383997,45547.591836301464,45232.625612669,45802.602904204,84026.37855838132,289.87303868828735,0.07903713873351575,0.15085989429206434
Options Summary,
Query Endpoint,http://ec2-54-86-114-105.compute-1.amazonaws.com:8000/v1/graphs/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,44352.297535569,44357.60257653,0.186563274,300.00118605299997
2,45228.417541294,45232.625612669,0.022836857,300.000667099
3,45604.401638510004,45609.394163786004,0.034618978,300.000748113
4,45797.139717065,45802.602904204,0.18326588100000002,300.001100859
5,45951.667686388,45957.356182092,0.174874785,300.00072522000005
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,1200.001254069,300.000313517,1200.001254069,1715.649139315,300.000313517,428.912284828,3.0000031351724255E11,300.00026718000004,300.000427947,5.868185621314144E-9,7.660408358119131E-5,0.0033333298498147514,0.0023314790351621996,11.999987459333106,8.39332452658392
templated/C1/C1_split1.sparql,Remote SPARQL Query,1200.0013141250001,300.000328531,1200.0013141250001,1800.002432101,300.000328531,450.000608025,3.000003285312412E11,300.000286041,300.000454046,7.002043574916666E-9,8.367821445822483E-5,0.0033333296829928865,0.0022222192196336863,11.999986858774392,7.999989190681272
templated/C1/C1_split2.sparql,Remote SPARQL Query,1200.001450064,300.000362516,1200.001450064,1742.089729107,300.000362516,435.52243227599996,3.000003625159866E11,300.000272551,300.000464985,1.014666890594351E-8,1.0073067509921448E-4,0.0033333293053826453,0.0022960929814202506,11.999985499377523,8.265934733112903
templated/C1/C1_split3.sparql,Remote SPARQL Query,1200.001419406,300.000354851,1200.001419406,1760.172948763,300.000354851,440.04323719,3.000003548514854E11,300.00025802,300.00046992,1.0887035543410204E-8,1.043409581296348E-4,0.003333329390549108,0.002272503962078218,11.99998580597679,8.181014263481584
templated/C1/C1_split4.sparql,Remote SPARQL Query,1200.001192047,300.000298011,1200.001192047,1779.849028538,300.000298011,444.962257134,3.0000029801174927E11,300.00028865300004,300.000309691,1.0227796742492336E-10,1.0113257013688684E-5,0.0033333300221032895,0.0022473816238729903,11.999988079571843,8.090573845942764
templated/C1/C1_split5.sparql,Remote SPARQL Query,1200.0016756559999,300.00041891399997,1200.0016756559999,1800.002933151,300.00041891399997,450.000733287,3.000004189139949E11,300.000318231,300.000468605,4.642768646666667E-9,6.813786499932813E-5,0.0033333286787398334,0.002222218601057753,11.999983243463399,7.99998696380791
templated/C1/C1_split6.sparql,Remote SPARQL Query,1200.001471144,300.000367786,1200.001471144,1800.002689902,300.000367786,450.00067247500004,3.0000036778598755E11,300.000271523,300.000473231,1.0544636602E-8,1.0268708098879822E-4,0.0033333292468272317,0.002222218901362987,11.999985288578035,7.999988044906754
templated/C1/C1_split7.sparql,Remote SPARQL Query,1200.001287603,300.00032189999996,1200.001287603,1744.783640782,300.00032189999996,436.195910195,3.0000032190073944E11,300.000264532,300.000464589,9.189169330916666E-9,9.586015507454943E-5,0.003333329756670505,0.0022925478589493264,11.999987124013817,8.253172292217576
templated/C1/C1_split8.sparql,Remote SPARQL Query,1200.001132464,300.000283116,1200.001132464,1751.163852569,300.000283116,437.790963142,3.0000028311600006E11,300.00026337599996,300.00029495399997,1.8704889861640081E-10,1.367658212480007E-5,0.003333330187602969,0.0022841951620541884,11.999988675370687,8.223102583395079
templated/C1/C1_split9.sparql,Remote SPARQL Query,1200.001265927,300.00031648099997,1200.001265927,1744.667984314,300.00031648099997,436.166996078,3.0000031648174365E11,300.000266435,300.000418017,4.713858404580909E-9,6.865754441123647E-5,0.0033333298168814877,0.00229269983513647,11.999987340773355,8.253719406491292
