Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
260298.238356861,86766.079452287,260306.540029994,151209.497379652,86768.84667666399,50403.165793217006,86768.81995290253,86691.97938343699,86857.53827243,6957.297029025826,83.41041319299303,0.041489545359696484,0.07142408504198498
Options Summary,
Query Endpoint,http://marklogic-elasticl-13lz52hdusu6v-1455104126.us-east-1.elb.amazonaws.com:8000/v1/graphs/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,86597.78838169301,86600.87896199,0.027889064999999998,60.203603913
2,86689.49028639101,86691.97938343699,0.077591592,63.518769345
3,86753.565289348,86757.022374127,0.087541286,60.011224725
4,86855.182781122,86857.53827243,0.085924166,60.015878868
5,86945.894892286,86948.42816568,0.045052473999999995,60.022450061
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,238.695735343,59.67393383500001,238.695735343,357.788278942,59.67393383500001,89.447069735,5.967380784856693E10,59.46786026,59.79013375,0.020022289404246284,0.1415001392375509,0.016757735509192778,0.011179796084574329,60.327847833094005,40.24726590446759
templated/C1/C1_split1.sparql,Remote SPARQL Query,237.36542847799998,59.341357119,237.36542847799998,356.167641575,59.341357119,89.041910393,5.93413197484426E10,59.271571693,59.451096727999996,0.005917332654288583,0.07692420070620547,0.016851653695662085,0.011230666498352833,60.66595330438351,40.4303993940702
templated/C1/C1_split2.sparql,Remote SPARQL Query,236.990229998,59.247557499,236.990229998,355.977782703,59.247557499,88.994445675,5.924710978565681E10,59.039837843,59.638478692999996,0.07091961766961495,0.266307374418387,0.01687833291721567,0.011236656315068396,60.76199850197642,40.45196273424622
templated/C1/C1_split3.sparql,Remote SPARQL Query,237.23287217499998,59.308218043000004,237.23287217499998,356.192817439,59.308218043000004,89.048204359,5.9308123695693535E10,59.195513948,59.474788421,0.014932535918871991,0.12219875579919785,0.016861069730251782,0.011229872709936696,60.699851028906416,40.427541755772104
templated/C1/C1_split4.sparql,Remote SPARQL Query,237.890653289,59.472663322,237.890653289,356.967021961,59.472663322,89.24175549,5.947219820541693E10,59.194721103999996,59.821066593000005,0.07383334620361685,0.2717229217486387,0.016814447918462098,0.01120551690752044,60.532012506463545,40.33986086707358
templated/C1/C1_split5.sparql,Remote SPARQL Query,238.171518943,59.542879735,238.171518943,357.184779027,59.542879735,89.29619475599999,5.954284316675708E10,59.465117138000004,59.644757534,0.005808539302332356,0.07621377370483864,0.016794619347444632,0.011198685484106902,60.46062965080068,40.31526774278485
templated/C1/C1_split6.sparql,Remote SPARQL Query,237.758342083,59.43958552,237.758342083,356.673957292,59.43958552,89.168489323,5.9439313696712326E10,59.143525442,59.622493361000004,0.04301348716580095,0.20739693142812154,0.01682380506612927,0.011214724030791238,60.56569823806537,40.373006510848455
templated/C1/C1_split7.sparql,Remote SPARQL Query,238.184535697,59.546133924,238.184535697,357.068292934,59.546133924,89.267073233,5.954570628413362E10,59.292154288,59.80611151,0.06790658489476689,0.26058891936298234,0.016793701523533353,0.011202338821951235,60.45732548472007,40.32841975902445
templated/C1/C1_split8.sparql,Remote SPARQL Query,238.378782408,59.594695602,238.378782408,357.487484672,59.594695602,89.371871168,5.9594104138263275E10,59.252981224,59.927959632,0.0939859048544689,0.3065712068255414,0.016780016910874867,0.011189202899424742,60.40806087914952,40.281130437929065
templated/C1/C1_split9.sparql,Remote SPARQL Query,239.103537448,59.775884362,239.103537448,358.45174482199997,59.775884362,89.61293620500001,5.977578967411095E10,59.631077953,59.887496070000005,0.015089457877427454,0.12283915449655071,0.0167291544185954,0.011159103164663457,60.22495590694344,40.17277139278844
