Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
45651.696752824,15217.232250941,45657.001491172,48359.699765762,15219.000497057,16119.89992192,15219.00036878177,15216.379767724,15221.15070351,5.856500904457003,2.4200208479385057,0.23654641450968847,0.22332644851626432
Options Summary,
Query Endpoint,http://ec2-54-175-9-245.compute-1.amazonaws.com:50080/sparql?repository=federated
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,1200s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,15211.160853212,15216.379767724,5.040590000000001E-4,1200.000268554
2,15222.205977284999,15222.329880085,5.02834E-4,1200.0004079
3,15219.424784346,15219.471019937999,4.92914E-4,1200.0006330039998
4,15213.299506084,15213.339203121,5.114649999999999E-4,1200.000297176
5,15221.111115266001,15221.15070351,4.99901E-4,1200.000251855
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/queries/xaa,Remote SPARQL Query,0.052654265000000006,0.013163566,0.052784404,1.66045098,0.013196101,0.415112745,4868503.002508444,8.80161E-4,0.026014614999999998,2.00729186702392E-4,0.014167892810943763,75.77995955017319,2.408984094188676,272807.8543806235,8672.342739079235
templated/queries/xab,Remote SPARQL Query,0.340275018,0.085068754,0.340516852,6.148902274,0.085129213,1.537225568,8705734.758122139,6.7937E-4,0.297501577,0.02041840227523341,0.1428929748981153,11.746848875485318,0.6505226173807694,42288.65595174714,2341.88142257077
templated/queries/xac,Remote SPARQL Query,0.00431531,0.001078827,0.00431531,0.013285867,0.001078827,0.003321466,984539.7509879791,6.47068E-4,0.00193244,3.3591148408299994E-7,5.795787125861335E-4,926.9326778065436,301.07187609326724,3336957.6401035567,1083858.7539357622
templated/queries/xad,Remote SPARQL Query,0.009639738,0.002409934,0.009688015999999999,3.299248064,0.0024220039999999997,0.824812016,1234488.4742760493,6.11081E-4,0.007661589,1.2206681733756E-5,0.0034938061957922053,412.8812338873099,1.2123974682735466,1486372.4419943157,4364.630885784768
templated/queries/xae,Remote SPARQL Query,90.42349767,22.605874417,90.423632962,427.249701757,22.60590824,106.812425439,2.4266151532091156E7,6.20177E-4,90.414878522,2043.5806542732862,45.20598029324534,0.044236223087491394,0.009362206652362695,159.250403114969,33.703943948505696
templated/queries/xaf,Remote SPARQL Query,0.378293055,0.09457326299999999,0.378343812,97.05998636300001,0.094585953,24.26499659,3793852.2318534595,7.77022E-4,0.375878455,0.03516687950534937,0.18752834320536554,10.572394401946767,0.04121162746885018,38060.61984700836,148.36185888786065
templated/queries/xag,Remote SPARQL Query,13.847769596000001,3.4619423990000002,13.847950528,423.513789413,3.461987632,105.878447353,4.153781986643374E7,6.44254E-4,13.381026136000001,43.775717975873235,6.616322088280863,0.2888514074275584,0.009444792826116804,1039.86506673921,34.00125417402049
templated/queries/xah,Remote SPARQL Query,0.002321451,5.803620000000001E-4,0.002321451,0.011818315,5.803620000000001E-4,0.0029545780000000002,578179.6603584692,5.428410000000001E-4,6.69385E-4,3.5892041762500002E-9,5.9909967252953824E-5,1723.0625023692107,338.4578102185828,6203025.008529158,1218448.116786898
templated/queries/xai,Remote SPARQL Query,0.007787145,0.0019467859999999998,0.007825901,0.18872751,0.001956475,0.047181877,1153823.2136504569,5.49002E-4,0.005739313,6.389701373572917E-6,0.002527785863868401,511.12332127934167,21.19457858787602,1840043.95660563,76300.48291635368
templated/queries/xaj,Remote SPARQL Query,0.014003539,0.003500884,0.014003539,5.954450493,0.003500884,1.488612623,2621903.3958783792,0.001398212,0.00840616,1.1061817948456916E-5,0.003325931140065428,285.6421406707563,0.6717664384604644,1028311.7064147226,2418.3591784576715
