Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
476694.257325808,158898.085775269,476735.199275456,193386.786915197,158911.733091818,64462.262305065,158909.20505705412,157650.183359038,159634.495701443,1202092.5411145128,1096.3998089723077,0.022654085572900697,0.05584662826388482
Options Summary,
Query Endpoint,http://ec2-54-175-9-245.compute-1.amazonaws.com:50080/sparql?repository=federated
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,1200s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,152951.773588866,152961.87363378098,0.003524487,1200.0005356000001
2,157638.952528313,157650.183359038,0.00348314,1200.000481735
3,159441.852690963,159450.520214975,0.0036556649999999998,1200.0004924339999
4,159613.452106532,159634.495701443,0.0034422389999999997,1200.000531307
5,159399.331386757,159649.130832481,0.0038379029999999997,1200.000489495
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/queries/xaa,Remote SPARQL Query,4.6231032569999995,1.155775814,4.623335236,22.345314888,1.155833809,5.586328722,9.458969740144256E7,0.025940032,4.545281164,5.1059348408193115,2.2596315719203677,0.865176284179796,0.1790084418165036,3114.6346230472654,644.430390539413
templated/queries/xab,Remote SPARQL Query,70.32469561900001,17.581173904,70.325017484,152.659189117,17.581254371,38.164797279,2.0406397916968732E9,0.270065497,67.561108988,1110.8309483727257,33.32913062731648,0.05687876296525714,0.026202156733326744,204.7635466749257,94.32776423997628
templated/queries/xac,Remote SPARQL Query,0.397753274,0.099438318,0.39791913799999995,392.723328035,0.099479784,98.180832008,1.8330848180131216E7,0.005956625,0.37765596900000004,0.03439296520298226,0.18545340439846947,10.052293639881647,0.010185287489909616,36188.25710357393,36.66703496367462
templated/queries/xad,Remote SPARQL Query,8.355642084,2.088910521,8.355775191000001,1208.3616715140001,2.0889437969999998,302.090417878,4.025617904201906E7,0.005104459,8.334398859999999,17.335875654478233,4.163637310630962,0.4787108209594402,0.003310267194253916,1723.3589554539847,11.916961899314098
templated/queries/xae,Remote SPARQL Query,0.034542914,0.008635728,0.034770924,207.474233795,0.008692731,51.868558448,8686734.868307903,0.008332682999999999,0.009082426999999999,1.390994282406665E-7,3.7296035746532967E-4,115.03864550737852,0.019279502456243006,414139.12382656266,69.40620884247483
templated/queries/xaf,Remote SPARQL Query,14.989326997000001,3.7473317489999998,14.989571329,1215.018507168,3.747392832,303.754626792,4.9557710894110346E8,0.024785516,14.134848545,47.98906757801881,6.927414205749416,0.26685219426709944,0.0032921309234402647,960.667899361558,11.851671324384954
templated/queries/xag,Remote SPARQL Query,67.81324264199999,16.95331066,67.813509155,1268.2924970889999,16.953377288,317.073124272,3.51307459865674E9,0.47671644700000004,54.639515765,661.853815568715,25.726519694057238,0.058985297325260595,0.0031538466159691096,212.34707037093813,11.353847817488793
templated/queries/xah,Remote SPARQL Query,2.09140552,0.52285138,2.091535205,42.166652762,0.522883801,10.54166319,2.5924553690125752E7,0.004971339,2.07294666,1.0678668189397997,1.033376416868413,1.912470797694496,0.09486169136466217,6884.894871700185,341.5020889127838
templated/queries/xai,Remote SPARQL Query,1.791310322,0.44782758,1.791493032,68.604502366,0.447873258,17.151125591,2.3948604306556646E7,0.00486084,1.7740995800000001,0.7817239680104936,0.8841515526257325,2.2327745230102574,0.058305211205773394,8037.988282836927,209.8987603407842
templated/queries/xaj,Remote SPARQL Query,70.86954941900001,17.717387354,70.869920021,1271.3351255280002,17.717480005000002,317.83378138200004,3.272343848366152E9,0.445142451,66.433944343,1055.4008544267847,32.48693359532083,0.0564414352220402,0.003146298658537224,203.1891667993447,11.326675170734006
templated/queries/xak,Remote SPARQL Query,168.119633005,42.029908251,168.119755022,323.05802072899996,42.029938755,80.764505182,1.032653676691715E10,1.277752751,84.01422587799999,2214.180087038637,47.0550750401977,0.023792563815740443,0.012381676799065813,85.6532297366656,44.57403647663693
