Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
18513.096665774,6171.032221924001,20164.201879866,13411.729885302,6721.400626621999,4470.576628434,6721.348238646971,6692.689297718,6756.7108488290005,1057.34879628288,32.51690016411282,0.5356026518849637,0.8052652485818246
Options Summary,
Query Endpoint,http://193.190.127.244:50080/sparql?repository=federated
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
Result Counting Limit,Disabled
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,6151.479490205,6614.38263745,0.006288691,300.000686427
2,6169.190308497,6692.689297718,0.0066117879999999995,300.000650003
3,6167.656445772,6714.801733319,0.008804076000000001,300.000681354
4,6176.249911505,6756.7108488290005,0.008833249,300.000588335
5,6186.044045216,6765.767963085001,0.006387057999999999,300.00109911
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,3.2185635269999997,0.8046408810000001,35.56988786,54.746903807,8.892471965,13.686725951,8.891851578898209E9,8.744604539,9.020307402,0.014685975277983487,0.12118570574941373,0.11245466996532723,0.07306349258252932,404.83681187517806,263.02857329710554
templated/C1/C1_split1.sparql,Remote SPARQL Query,3.196643544,0.799160886,35.967224618,53.326196474,8.991806154,13.331549118000002,8.991568819632711E9,8.890611011999999,9.058113488,0.005674815166801285,0.07533136907558023,0.11121236188517593,0.07501003755443689,400.36450278663335,270.03613519597275
templated/C1/C1_split2.sparql,Remote SPARQL Query,3.1615601310000003,0.790390032,42.200860037,66.956502064,10.550215009,16.739125516,1.01806662366202E10,8.528466967,15.800550551,12.376280233299362,3.517993779599299,0.09478479814363373,0.059740277294901424,341.2252733170814,215.06499826164514
templated/C1/C1_split3.sparql,Remote SPARQL Query,5.176521331,1.294130332,38.782926937999996,65.557673878,9.695731734,16.389418469,9.6528890071772E9,8.731322803,10.799191321,1.1093958136628317,1.0532786021100171,0.10313816712701551,0.06101497755344184,371.2974016572559,219.65391919239062
templated/C1/C1_split4.sparql,Remote SPARQL Query,3.248690877,0.812172719,37.164462625,65.609083819,9.291115656,16.402270954,9.267356356041122E9,8.732263205999999,10.429675985,0.614724205933789,0.7840434974756113,0.10762970099874085,0.060967167461413715,387.46692359546705,219.48180286108936
templated/C1/C1_split5.sparql,Remote SPARQL Query,3.5749156429999998,0.89372891,35.484157136,53.35810244,8.871039284,13.33952561,8.870866049384308E9,8.805223142000001,8.930466844,0.00409718421924257,0.06400925104422461,0.11272636361825404,0.07496518461273825,405.81490902571454,269.87466460585773
templated/C1/C1_split6.sparql,Remote SPARQL Query,3.201037018,0.8002592540000001,42.278984745,75.286893096,10.569746186,18.821723274,1.040112243573094E10,8.831035101,13.946784444,5.2894947160836905,2.2998901530472478,0.0946096512066236,0.05313009788967531,340.5947443438449,191.2683524028311
templated/C1/C1_split7.sparql,Remote SPARQL Query,3.12910732,0.78227683,35.485508931999995,63.670777439999995,8.871377232999999,15.917694359999999,8.870817616131212E9,8.729862476000001,8.998735581,0.013220388554335978,0.11497994848814284,0.11272206938514258,0.06282316881978378,405.79944978651326,226.1634077512216
templated/C1/C1_split8.sparql,Remote SPARQL Query,3.0571829459999997,0.764295736,34.326557802,51.7206002,8.58163945,12.93015005,8.581333603018812E9,8.511261635,8.700934613,0.007031557077105067,0.08385438019033392,0.11652785063115183,0.0773386229961036,419.5002622721466,278.4190427859729
templated/C1/C1_split9.sparql,Remote SPARQL Query,3.190538086,0.797634521,34.665973944,51.753185568,8.666493486,12.938296392,8.664715228849693E9,8.455102784000001,8.878859624,0.04109281500222462,0.2027136280624088,0.11538692109045219,0.0772899282643053,415.3929159256279,278.24374175149904
templated/C1/C1_split10.sparql,Remote SPARQL Query,3.325767142,0.831441785,35.962517602,69.627719197,8.9906294,17.406929799,8.989939491495329E9,8.86984873,9.12839184,0.016550762623422654,0.12864976728864555,0.11122691810653434,0.05744838472649257,400.4169051835237,206.81418501537325
templated/C1/C1_split11.sparql,Remote SPARQL Query,3.108350153,0.777087538,35.317200186,63.721423356,8.829300046,15.930355839,8.828973304875803E9,8.758538166000001,8.939678434,0.0077096147380465085,0.08780441183702849,0.11325926118605936,0.06277323683830362,407.7333402698137,225.98365261789303
templated/C1/C1_split12.sparql,Remote SPARQL Query,2.969608013,0.742402003,33.883842437,50.93871051,8.470960609,12.734677627,8.469174608643302E9,8.279102676,8.753022669,0.04072349158653004,0.20180062335515725,0.11805036596883081,0.07852574123115649,424.98131748779093,282.6926684321634
templated/C1/C1_split13.sparql,Remote SPARQL Query,2.830159326,0.7075398310000001,34.750075693999996,55.145785549,8.687518922999999,13.786446387,8.686751589392363E9,8.516385144,8.822872254,0.0177169453206339,0.13310501613625947,0.11510766294304395,0.0725350080745213,414.3875865949582,261.1260290682767
templated/C1/C1_split14.sparql,Remote SPARQL Query,3.238333771,0.809583442,35.149540969,52.910291842,8.787385242000001,13.22757296,8.78579603980828E9,8.573203126000001,9.023299804,0.03730701934476927,0.19315025069817868,0.11379949466883744,0.07559965860887605,409.67818080781484,272.15877099195376
templated/C1/C1_split15.sparql,Remote SPARQL Query,3.142544661,0.785636165,34.31543888,63.692789533,8.57885972,15.923197383,8.57742668734786E9,8.382865300999999,8.764911859,0.03276091446927046,0.18099976372711224,0.11656560809226053,0.0628014572668442,419.63618913213793,226.08524616063914
templated/C1/C1_split16.sparql,Remote SPARQL Query,3.302648797,0.825662199,36.290810948,56.46336545,9.072702737,14.115841362,9.072477083662716E9,9.007272761,9.144824315,0.0054599912600337705,0.07389175366733267,0.11022073895597093,0.07084239432528698,396.79466024149536,255.03261957103314
templated/C1/C1_split17.sparql,Remote SPARQL Query,4.339180646,1.084795161,38.268480399,60.535610635,9.567120099,15.133902658,9.48898131122415E9,8.74281608,11.779280007999999,2.1849569837613227,1.4781599993780519,0.10452466255801729,0.06607680930677756,376.28878520886224,237.8765135043992
templated/C1/C1_split18.sparql,Remote SPARQL Query,3.066674891,0.766668722,34.921067621,53.40220154,8.730266905,13.350550385,8.72741823092783E9,8.529095353999999,9.083062665,0.06703623047437088,0.2589135579191844,0.11454403523760308,0.07490327897818723,412.35852685537105,269.65180432147406
templated/C1/C1_split19.sparql,Remote SPARQL Query,4.784908417,1.196227104,37.225913031,63.361355516,9.306478257,15.840338879,9.273547021383455E9,8.489282433,10.369339674,0.8248560248573055,0.9082158470635192,0.10745203205603965,0.06312996253670615,386.82731540174274,227.26786513214216
templated/C2/C2_split0.sparql,Remote SPARQL Query,6.970558314,1.7426395780000001,22.116319920000002,33.435115326,5.529079980000001,8.358778831,5.518004130096798E9,5.160470551,5.943844522,0.16346428230743346,0.40430716331451944,0.18086191619894054,0.1196347002616368,651.1028983161859,430.6849209418925
templated/C2/C2_split1.sparql,Remote SPARQL Query,7.790050161999999,1.94751254,22.845898651,35.023979324,5.711474662,8.755994831,5.704536994597529E9,5.264011687,6.016724218,0.10316511106271765,0.32119326123491077,0.17508613084695498,0.11420746806057587,630.310071049038,411.14688501807314
templated/C2/C2_split2.sparql,Remote SPARQL Query,8.265759642,2.06643991,22.967698672999997,34.940756119,5.741924667999999,8.735189028999999,5.719211050053321E9,5.409221172,6.655144341,0.371341164030795,0.6093776858655024,0.17415763142505933,0.11447949170648682,626.9674731302135,412.1261701433525
