Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
4.434815552,1.47827185,4.434815552,222271.614016225,1.47827185,74090.538005408,1.4782674896420176,1.4732001929999998,1.480972089,1.9318314099584335E-5,0.0043952604131705705,2435.27602855997,0.04858920041500076
Options Summary,
Query Endpoint,http://ec2-174-129-119-172.compute-1.amazonaws.com:50080/sparql?repository=federated
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,1200s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,1.48064327,1.48064327,5.011999999999999E-4,0.015908756
2,1.4732001929999998,1.4732001929999998,5.23189E-4,0.016021874000000002
3,1.454888525,1.454888525,5.332010000000001E-4,0.008539039
4,1.480972089,1.480972089,5.19249E-4,0.013111355
5,1.496138201,1.496138201,5.245159999999999E-4,0.014854021
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/queries/xaa,Remote SPARQL Query,0.004485988,0.001121497,0.004485988,0.011856078,0.001121497,0.002964019,1120666.1652023385,0.001052311,0.001168988,2.4381581379999974E-9,4.9377708918093775E-5,891.6653365992063,337.3797536385563,3209995.2117571426,1214567.1130988027
templated/queries/xab,Remote SPARQL Query,0.004149597,0.001037399,0.004149597,0.008275610000000001,0.001037399,0.002068902,1036581.5821456651,9.88996E-4,0.0011020000000000001,2.291463458250002E-9,4.78692328980735E-5,963.9492615666682,483.3481721222175,3470217.3416400054,1740053.419639983
templated/queries/xac,Remote SPARQL Query,0.003907999,9.769989999999999E-4,0.003907999,1200.0059509050002,9.769989999999999E-4,300.001487726,976795.9300411358,9.544820000000001E-4,9.99144E-4,5.309050429166661E-10,2.3041376758272626E-5,1023.5425010670432,0.0033333168031264193,3684753.0038413554,11.99994049125511
templated/queries/xad,Remote SPARQL Query,0.003882349,9.70587E-4,0.003882349,0.006830926,9.70587E-4,0.001707731,966114.3724461611,8.348759999999999E-4,0.001082242,1.127902976091667E-8,1.0620277661585252E-4,1030.304341599465,585.572317888473,3709095.6297580744,2108060.3443985027
templated/queries/xae,Remote SPARQL Query,0.004000383000000001,0.0010000949999999999,0.004000383000000001,1200.0067473850002,0.0010000949999999999,300.00168684600004,999958.0367705299,9.80269E-4,0.001025001,3.687636582499998E-10,1.9203219996917177E-5,999.9050090241428,0.003333314590705386,3599658.032486914,11.99993252653939
templated/queries/xaf,Remote SPARQL Query,0.004437009,0.0011092519999999998,0.004437009,0.012405303,0.0011092519999999998,0.0031013250000000003,1108006.7917143744,0.001020658,0.001148144,3.556502994916671E-9,5.963642339138617E-5,901.508403861341,322.442826856263,3245430.2539008274,1160794.176682547
templated/queries/xag,Remote SPARQL Query,0.004269859,0.001067464,0.004269859,1200.0088732400002,0.001067464,300.00221831000005,1064844.4204639615,9.576599999999999E-4,0.001167225,7.36268243825E-9,8.580607459993728E-5,936.7997421927109,0.0033333086856266983,3372479.0718937595,11.999911268256113
templated/queries/xah,Remote SPARQL Query,0.0038579599999999997,9.644899999999999E-4,0.0038579599999999997,0.006590353,9.644899999999999E-4,0.001647588,961042.5720138209,8.33351E-4,0.001044896,8.429290304666667E-9,9.181116655759617E-5,1036.8173853539176,606.9478534682214,3732542.587274104,2185012.272485597
templated/queries/xai,Remote SPARQL Query,0.003886691,9.71672E-4,0.003886691,0.0067586899999999995,9.71672E-4,0.0016896720000000001,970845.6290320397,9.22408E-4,0.0010286280000000002,2.1540398035833337E-9,4.641163435587389E-5,1029.153870853539,591.8308405418329,3704953.9350727405,2130591.0259505985
templated/queries/xaj,Remote SPARQL Query,0.006625095,0.0016562730000000002,0.006625095,0.039387925000000004,0.0016562730000000002,0.009846981,1653111.04226868,0.001507857,0.0017565999999999999,1.3718170004916666E-8,1.1712459180256154E-4,603.7652005436302,101.55396867324107,2173554.7219570684,365594.28722366784
