Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
63885.203481521006,21295.067827173,63885.203481521006,140406.544018336,21295.067827173,46802.181339445,21295.06782662354,21294.916952196,21295.277691496,0.03514301772927459,0.1874647106238254,0.1690532300350937,0.07691949171962868
Options Summary,
Query Endpoint,http://193.190.127.244:50080/sparql?repository=federated
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
Result Counting Limit,Disabled
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,21294.916952196,21294.916952196,8.59714E-4,300.009964104
2,21293.28542368,21293.28542368,6.74893E-4,300.00916317900004
3,21295.277691496,21295.277691496,6.920990000000001E-4,300.055399662
4,21297.739440757,21297.739440757,7.29973E-4,300.00811611200004
5,21295.008837829002,21295.008837829002,7.133230000000001E-4,300.012661936
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,600.003589261,150.000897315,600.003589261,900.01061592,150.000897315,225.00265398,6.823954155137777E8,0.001432172,300.000241738,29999.73603029111,173.20431874029907,0.006666626786238568,0.00444439202076651,23.99985643045885,15.999811274759436
templated/C1/C1_split1.sparql,Remote SPARQL Query,300.00440595500004,75.001101488,300.00440595500004,600.011135947,75.001101488,150.002783986,2.9656552971015383E7,0.0013206329999999999,300.000290693,22499.837841143508,149.99945946950444,0.013333137516120315,0.006666542936251981,47.999295058033134,23.99955457050713
templated/C1/C1_split2.sparql,Remote SPARQL Query,0.00553426,0.001383565,0.00553426,300.014709899,0.001383565,75.003677474,1383112.6442668145,0.001338556,0.001436374,1.6768571366666677E-9,4.0949446109400164E-5,722.7705239724913,0.013332679592232657,2601973.886300969,47.997646532037564
templated/C1/C1_split3.sparql,Remote SPARQL Query,300.004443755,75.001110938,300.004443755,600.0113259029999,75.001110938,150.00283147500002,2.9968519530160222E7,0.001366281,300.00027179799997,22499.832172163304,149.9994405728345,0.013333135836169872,0.006666540825708769,47.99928901021154,23.99954697255157
templated/C1/C1_split4.sparql,Remote SPARQL Query,600.003688456,150.000922114,600.003688456,900.011485045,150.000922114,225.002871261,6.669998182899231E8,0.001439592,300.00045973399995,29999.775400428218,173.2044323925581,0.00666662568407416,0.004444387728901534,23.999852462666976,15.999795824045522
templated/C1/C1_split5.sparql,Remote SPARQL Query,300.006768866,75.001692216,300.006768866,600.014305654,75.001692216,150.003576413,3.881569671312476E7,0.001447115,300.000315499,22499.7246582814,149.9990821914634,0.013333032501720962,0.006666507718767534,47.99891700619546,23.99942778756312
templated/C1/C1_split6.sparql,Remote SPARQL Query,600.003479082,150.00086976999998,600.003479082,900.0098787689999,150.00086976999998,225.002469692,6.400768989115522E8,0.001361218,300.00049034700004,29999.80164173694,173.20450814495834,0.00666662801044637,0.004444395660940406,23.99986083760693,15.99982437938546
templated/C1/C1_split7.sparql,Remote SPARQL Query,600.0034327989999,150.00085819900002,600.0034327989999,900.009691721,150.00085819900002,225.00242293,6.702971235744703E8,0.001469064,300.000232788,29999.74410524638,173.20434205078803,0.00666662852470711,0.004444396584614148,23.999862688945598,15.999827704610933
templated/C1/C1_split8.sparql,Remote SPARQL Query,0.005709678,0.001427419,0.005709678,300.013736478,0.001427419,75.00343411899999,1426912.332708835,0.00138337,0.001485163,1.9447125803333305E-9,4.409889545479943E-5,700.5651459032001,0.0133327228512418,2522034.5252515203,47.99780226447048
templated/C1/C1_split9.sparql,Remote SPARQL Query,0.005594142,0.001398535,0.005594142,300.01371507799996,0.001398535,75.00342876900001,1398291.5501275698,0.001372414,0.001441702,9.190234990000001E-10,3.031540036021296E-5,715.0339462365976,0.013332723802265882,2574122.2064517513,47.99780568815717
