Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
1.7790426560000001,0.593014218,1.7790426560000001,9609.105091796,0.593014218,3203.035030598,0.592891561310957,0.583160607,0.610081579,2.202133107255723E-4,0.014839585935111947,6070.6807538972025,1.1239340080922835
Options Summary,
Query Endpoint,http://193.190.127.237:3030/hdtservice/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
Result Counting Limit,Disabled
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,0.583160607,0.583160607,7.83467E-4,0.003261793
2,0.580385399,0.580385399,7.10379E-4,0.002183636
3,0.794383207,0.794383207,7.836680000000001E-4,0.198103687
4,0.58580047,0.58580047,8.024289999999999E-4,0.005427002
5,0.610081579,0.610081579,7.705030000000001E-4,0.026754636000000002
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,0.0059717500000000005,0.001492937,0.0059717500000000005,0.017075628,0.001492937,0.004268907,1490612.1826241177,0.001420116,0.001635882,9.588443422999995E-9,9.792059754209016E-5,669.8206287338314,234.2519993993779,2411354.263441793,843307.1978377604
templated/C1/C1_split1.sparql,Remote SPARQL Query,0.005775535,0.001443883,0.005775535,0.016286952,0.001443883,0.004071738,1443648.5643373183,0.001414749,0.001481744,9.090932709166667E-10,3.0151173624200212E-5,692.5768916179496,245.5953698396115,2493276.809824619,884143.3314226014
templated/C1/C1_split2.sparql,Remote SPARQL Query,0.006159688,0.001539922,0.006159688,0.016334907000000003,0.001539922,0.004083726,1531295.3967955639,0.0013943220000000001,0.001823459,3.7769351655333326E-8,1.943433859315344E-4,649.3835402052831,244.87441126069672,2337780.7447390193,881547.8805385082
templated/C1/C1_split3.sparql,Remote SPARQL Query,0.006356693,0.001589173,0.006356693,52.759183319,0.001589173,13.189795829000001,1579798.748506797,0.001472453,0.0018987099999999999,4.293485973624999E-8,2.0720728688019153E-4,629.258110979736,0.07581618494816504,2265329.19952705,272.93826581339414
templated/C1/C1_split4.sparql,Remote SPARQL Query,0.005909786,0.001477446,0.005909786,0.015550685,0.001477446,0.003887671,1476855.6839659945,0.001416989,0.001533206,2.319459711E-9,4.816076941868765E-5,676.8436883649216,257.2234121663073,2436637.2781137177,926004.2837987063
templated/C1/C1_split5.sparql,Remote SPARQL Query,0.005850463,0.001462615,0.005850463,0.016298299,0.001462615,0.004074574,1462451.7908980085,0.001438022,0.001496559,6.427732075833345E-10,2.535297236190137E-5,683.7069221907337,245.4244296458967,2461344.919886641,883527.9467252282
templated/C1/C1_split6.sparql,Remote SPARQL Query,0.006132889,0.001533222,0.006132889,0.016274094000000003,0.001533222,0.004068523,1530935.5704911384,0.001444478,0.0016592640000000001,9.488207041583337E-9,9.74074280616388E-5,652.221269979168,245.78944250776019,2347996.571925005,884841.9930279367
templated/C1/C1_split7.sparql,Remote SPARQL Query,0.005811216,0.001452804,0.005811216,0.014905421,0.001452804,0.0037263549999999998,1452444.8082808945,0.0014030940000000001,0.001492944,1.3822134E-9,3.717813066844539E-5,688.3240960239647,268.35875808933935,2477966.7456862726,966091.5291216216
templated/C1/C1_split8.sparql,Remote SPARQL Query,0.006145471,0.001536367,0.006145471,0.016510909,0.001536367,0.004127727,1530415.13400842,0.0013890640000000002,0.001723975,2.4654904090916662E-8,1.5701880171150416E-4,650.8861489474846,242.264083840816,2343190.1362109445,872150.7018269376
templated/C1/C1_split9.sparql,Remote SPARQL Query,0.006052214,0.0015130529999999999,0.006052214,42.978001926,0.0015130529999999999,10.744500481,1511631.0019433016,0.001426481,0.001584799,5.708625961E-9,7.555544957843876E-5,660.9153810210217,0.09307086930363553,2379295.3716756785,335.0551294930879
