Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
23069.559524031,7689.853174677,23070.720365049998,58683.229707304,7690.240121682999,19561.076569101,7690.23959687943,7686.293052022,7692.862733938,12.105820685910002,3.479341990363983,0.4681258248165266,0.1840389503759021
Options Summary,
Query Endpoint,http://193.190.127.237:3030/hdtservice/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
Result Counting Limit,Disabled
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,7685.561951061,7686.114408287,7.58153E-4,300.001127475
2,7692.375786862,7692.862733938,7.04233E-4,300.001010272
3,7691.094613602,7691.56457909,7.81674E-4,300.000828802
4,7686.089123567,7686.293052022,6.96839E-4,300.000796702
5,7695.456459032,7695.702453604,7.931240000000001E-4,300.000846914
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,0.005952219999999999,0.0014880549999999998,0.005952219999999999,7.878542465000001,0.0014880549999999998,1.969635616,1487548.0824038996,0.001450191,0.001552331,2.040084490666665E-9,4.516729448026154E-5,672.0181713713539,0.5077081221910642,2419265.4169368744,1827.7492398878312
templated/C1/C1_split1.sparql,Remote SPARQL Query,7.550498605,1.887624651,7.5693092889999996,19.422774671,1.892327322,4.855693667,1.2316518718506908E7,0.0014387509999999998,7.564962435,14.301684054454238,3.7817567418402573,0.5284498027239285,0.2059437988842141,1902.4192898061426,741.3976759831708
templated/C1/C1_split2.sparql,Remote SPARQL Query,6.771118714999999,1.6927796780000002,6.807431478000001,18.414035790000003,1.701857869,4.603508947,1.1225244545151154E7,0.00126724,6.803445775,11.567199631395392,3.4010586045223317,0.587593134664996,0.21722560149506753,2115.3352847939855,782.0121653822432
templated/C1/C1_split3.sparql,Remote SPARQL Query,0.005712379,0.001428094,0.005712379,10.187502483,0.001428094,2.54687562,1427327.434773454,0.001353314,0.001477279,2.8755658142499985E-9,5.362430245933274E-5,700.2340182088855,0.3926379412277699,2520842.4655519873,1413.4965884199717
templated/C1/C1_split4.sparql,Remote SPARQL Query,7.089304693,1.772326173,7.109136525,19.288020913,1.7772841309999998,4.822005228,1.1992446736016095E7,0.0014260619999999999,7.104852878,12.614661667269118,3.5517124978338432,0.5626562363089035,0.20738260385809767,2025.5624507120524,746.5773738891517
templated/C1/C1_split5.sparql,Remote SPARQL Query,8.381846145999999,2.0954615359999997,8.409921385,17.667588788,2.1024803459999997,4.416897197,1.1804267695843788E7,0.0010746249999999998,8.405914603,17.659237113683805,4.202289508551714,0.4756287029757567,0.22640327709669356,1712.2633307127242,815.0517975480967
templated/C1/C1_split6.sparql,Remote SPARQL Query,9.566436787,2.391609196,9.570261938,20.115739542,2.3925654840000004,5.028934885,1.3344488029749025E7,0.001443352,9.565787568,22.868940027481848,4.782148055788513,0.41796139193989973,0.1988492638834396,1504.661010983639,715.8573499803825
templated/C1/C1_split7.sparql,Remote SPARQL Query,8.215980394,2.0539950979999997,8.232090229999999,20.848017728,2.0580225569999997,5.212004432,1.2634419118192812E7,0.001410377,8.227714885,16.91782374286443,4.113128218626843,0.4859033233618732,0.19186476394001656,1749.2519641027436,690.7131501840596
templated/C1/C1_split8.sparql,Remote SPARQL Query,0.00589715,0.001474287,0.00589715,8.2324331,0.001474287,2.058108275,1474126.0101946634,0.001443844,0.0015052129999999998,6.349880616666652E-10,2.519896945644137E-5,678.2939821079614,0.4858830860101372,2441858.335588661,1749.1791096364939
templated/C1/C1_split9.sparql,Remote SPARQL Query,0.00604788,0.00151197,0.00604788,8.822453111000002,0.00151197,2.205613277,1508726.5891292072,0.001432774,0.0016860059999999999,1.3695949590000006E-8,1.1702969533413307E-4,661.3887841689981,0.45338863817512287,2380999.6230083928,1632.1990974304424
