Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
1568795.945921747,261465.990986957,1708414.638898269,534977.940188534,284735.773149711,89162.990031422,284703.7659725271,276353.955926886,289167.829298995,2.1660639804509852E7,4654.099247385024,0.012643300700074515,0.04037549659036021
Options Summary,
Query Endpoint,http://ec2-54-210-218-115.compute-1.amazonaws.com:8080/graphdb/repositories/watdiv
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,3
Runs,10
Random Operation Order,true
Outliers,2
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,253395.20127152,276353.955926886,0.005236495,300.000301442
2,259646.17398793,283496.325230976,0.0050227380000000005,300.000356091
3,261566.495954984,284887.705162001,0.005355244,300.000308749
4,263777.239224168,285812.395136832,0.004744263,300.000313726
5,265107.52666990104,288696.42814257904,0.005223635,300.001427675
6,265303.308813244,289167.829298995,0.004676405,300.00085710099995
7,266242.750794887,289283.961499586,0.005139376,300.001042182
8,266819.995340919,290244.478757535,0.005160338,300.003576566
9,98371.06458444,115784.086510649,0.004283138,300.000297831
10,93217.40786254799,110219.134378843,0.004669146,300.00029155600004
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,2401.8230629890004,266.869229221,2463.062203132,3155.131974473,273.673578125,350.57021938500003,2.522659739239905E11,63.060163822,300.000267739,6237.845196285268,78.98003036391711,0.003653988108209889,0.00285249557636209,13.1543571895556,10.268984074903525
templated/C1/C1_split1.sparql,Remote SPARQL Query,2401.8390674049997,266.87100748899996,2461.703648568,3154.258506124,273.522627618,350.47316734699996,2.516562497386258E11,61.701609578,300.00025904,6309.582705532196,79.43288176525006,0.003656004655660861,0.00285328548136728,13.161616760379099,10.271827732922208
templated/C1/C1_split2.sparql,Remote SPARQL Query,2401.811065551,266.867896172,2451.578568492,3141.1840582980003,272.39761872099996,349.020450922,2.466938365037408E11,51.576470132000004,300.00027101,6857.153390293969,82.8079307210002,0.0036711040452385092,0.002865161618347352,13.215974562858634,10.314581826050466
templated/C1/C1_split3.sparql,Remote SPARQL Query,2403.323003969,267.03588932900004,2457.2307904309996,3131.951242193,273.02564338099995,347.994582465,2.4956081619137805E11,57.228802803,300.000262822,6548.663869248314,80.92381521683411,0.0036626596227978736,0.00287360795365421,13.185574642072345,10.344988633155157
templated/C1/C1_split4.sparql,Remote SPARQL Query,2403.243230794,267.02702564299994,2467.880837694,3153.8959021319997,274.208981966,350.43287801400004,2.5433836369411664E11,67.878741906,300.00027298000003,5986.711119827475,77.37384002250035,0.00364685355246311,0.0028536135241284334,13.128672788867195,10.27300868686236
templated/C1/C1_split5.sparql,Remote SPARQL Query,2401.818454959,266.86871721700004,2456.3662969109996,3139.0180650340003,272.929588545,348.779785003,2.4913909321298474E11,56.364278975,300.000261089,6595.387496639873,81.21199108900035,0.0036639486591799933,0.002867138644492824,13.190215173047976,10.321699120174166
templated/C1/C1_split6.sparql,Remote SPARQL Query,2401.8470256190003,266.871891735,2465.191498126,3156.372073906,273.91016645800005,350.708008211,2.5319849680442615E11,65.189409255,300.000268228,6126.2373498158495,78.27028395129183,0.003650831996969104,0.002851374866234477,13.142995189088774,10.264949518444118
templated/C1/C1_split7.sparql,Remote SPARQL Query,2403.147452666,267.01638362899996,2468.0783845230003,3148.576921392,274.230931613,349.841880154,2.5442051064263058E11,68.076316351,300.00026658900003,5976.523883545204,77.307980723501,0.0036465616556020726,0.0028584342147938407,13.127621960167462,10.290363173257827
templated/C1/C1_split8.sparql,Remote SPARQL Query,2403.205268712,267.022807634,2463.618390187,3164.1697598279998,273.735376687,351.57441775800004,2.525122274718693E11,63.616345795,300.000262027,6208.594754509712,78.79463658466679,0.003653163183008823,0.0028443480227515645,13.151387458831762,10.239652881905632
templated/C1/C1_split9.sparql,Remote SPARQL Query,2401.751543898,266.86128265499997,2463.1589276180002,3180.201580462,273.68432529,353.355731162,2.5230894332656082E11,63.156904595,300.000266496,6232.752402871834,78.94778276096065,0.0036538446216837044,0.0028300092847271196,13.153840638061336,10.18803342501763
