Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
438.977108715,73.162851452,4873.983320128001,3386.800146838,812.330553354,564.466691139,812.2977445711238,803.572274115,827.588073367,64.42454342527665,8.026490106221813,4.431693459191089,6.377701388784869
Options Summary,
Query Endpoint,http://ec2-54-87-232-214.compute-1.amazonaws.com:8080/repositories/watdiv
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,3
Runs,10
Random Operation Order,true
Outliers,2
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,73.397113047,803.572274115,0.002820777,14.993727652
2,74.245153332,810.2033538430001,0.002698706,15.436018519
3,72.874174757,810.084346422,0.002884355,16.163478499
4,71.724928361,811.897451964,0.0027603909999999996,16.155097933
5,75.040236311,828.594404672,0.002710014,15.067724799
6,73.675045358,810.637820417,0.002519008,15.399622452
7,73.06069386,827.588073367,0.002672434,14.796563803
8,73.02089130600001,836.338970525,0.002894756,16.240892467
9,45.52838183,386.652759254,0.0025084179999999997,11.215623460000002
10,46.027656429000004,382.051563187,0.0026800549999999998,5.687707432
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,2.681598133,0.297955348,2.682935803,4.057773116,0.298103978,0.450863679,2.861121828671195E8,0.216457792,0.448612385,0.008579079640031309,0.09262332125351212,3.354534235702148,2.217965310973741,12076.323248527733,7984.675119505468
templated/C1/C1_split1.sparql,Remote SPARQL Query,2.575789983,0.286198887,2.577199646,4.017883034,0.28635551600000003,0.446431448,2.79705305033302E8,0.220460871,0.3873646,0.004373658749916802,0.06613364310180411,3.492162518706292,2.239985566608202,12571.785067342651,8063.948039789527
templated/C1/C1_split2.sparql,Remote SPARQL Query,3.10642834,0.345158704,3.107877976,4.543461682,0.345319775,0.504829075,3.353300308851543E8,0.21970859999999998,0.448588793,0.006888016036187166,0.08299407229547882,2.8958665920594906,1.980868475136857,10425.119731414165,7131.126510492686
templated/C1/C1_split3.sparql,Remote SPARQL Query,3.207402002,0.356378,3.2089297510000003,4.9589512000000004,0.35654775,0.5509945770000001,3.394379014510136E8,0.223515014,0.5036411519999999,0.012980637997721098,0.11393260287433575,2.8046734273319633,1.8148998951036859,10096.824338395068,6533.63962237327
templated/C1/C1_split4.sparql,Remote SPARQL Query,3.150581305,0.35006458900000004,3.151998591,4.792955866000001,0.35022206499999997,0.532550651,3.343512172015981E8,0.217878429,0.482059616,0.011425856346450465,0.10689179737683555,2.8553312310576437,1.8777556615924595,10279.192431807516,6759.920381732854
templated/C1/C1_split5.sparql,Remote SPARQL Query,2.9638607510000003,0.329317861,2.965308119,4.4080186370000005,0.329478679,0.489779848,3.178088963047308E8,0.21328414599999998,0.454656025,0.008250281162507188,0.09083105835840066,3.035097758176941,2.0417336566285185,10926.351929436989,7350.241163862666
templated/C1/C1_split6.sparql,Remote SPARQL Query,2.677926014,0.297547334,2.679179586,4.110368468,0.29768662,0.456707607,2.9134915289287865E8,0.21621268000000002,0.38536341700000004,0.0041308125693595155,0.06427139775482961,3.3592373080120295,2.189584724828111,12093.254308843307,7882.505009381199
templated/C1/C1_split7.sparql,Remote SPARQL Query,3.4227984150000004,0.38031093499999996,3.424482322,5.036168742,0.380498035,0.559574304,3.6095012692650515E8,0.21751969399999999,0.522453449,0.015370598353757049,0.12397821725511725,2.628134465924377,1.7870727673728206,9461.284077327758,6433.461962542155
templated/C1/C1_split8.sparql,Remote SPARQL Query,2.7443165880000002,0.30492406499999997,2.745969986,4.3815719369999995,0.305107776,0.48684132599999996,2.90946433516677E8,0.219342818,0.512669661,0.011158015199045402,0.10563150665897653,3.277530363565693,2.054057341878163,11799.109308836494,7394.606430761386
templated/C1/C1_split9.sparql,Remote SPARQL Query,2.832733191,0.314748132,2.83545552,4.31450929,0.315050613,0.479389921,3.025610013194768E8,0.222314423,0.48909876,0.009612793251935613,0.09804485326591912,3.1740931734038558,2.0859846154337482,11426.73542425388,7509.5446155614945
