Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
118754.01259720599,39584.670865735,124354.043956203,50745.847388723996,41451.347985401,16915.282462908,41451.34757074709,41446.046744436004,41459.520336377005,51.56687446959335,7.181007900677547,0.08684880407913165,0.2128252961719153
Options Summary,
Query Endpoint,http://ec2-54-86-192-124.compute-1.amazonaws.com:8080/graphdb/repositories/watdiv
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,39515.900202075,41021.634697618996,0.004288204,300.00078513700004
2,39744.739817402,41446.046744436004,0.004568981,300.0005028
3,39447.027083007,41448.47687539,0.004445455,300.00033680599995
4,39562.245696797,41459.520336377005,0.005257721,300.000347381
5,39834.594419729,41502.54536045199,0.0041906090000000005,300.000360607
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,371.501126067,92.875281516,524.190174412,864.248481072,131.047543603,216.062120268,1.1378504310108005E11,42.345860924,199.581877809,4312.165995430778,65.66708456624809,0.007630818346579886,0.00462829855950509,27.470946047687587,16.661874814218326
templated/C1/C1_split1.sparql,Remote SPARQL Query,301.93897064600003,75.484742661,458.690487116,793.899925601,114.672621779,198.4749814,8.976588230661554E10,40.397774317,260.344987486,9804.17796605839,99.01604903276233,0.008720477342248489,0.005038418408941088,31.39371843209456,18.13830627218792
templated/C1/C1_split2.sparql,Remote SPARQL Query,303.786873291,75.946718322,462.684800367,798.457819438,115.671200091,199.61445485899998,9.610061873185625E10,41.531042502,231.07074084400003,6651.820637263087,81.55869443083972,0.008645194302586014,0.005009657245044512,31.12269948930965,18.034766082160246
templated/C1/C1_split3.sparql,Remote SPARQL Query,7.778121467,1.944530366,164.164047724,247.72598524,41.041011931,61.93149631,4.103883922311865E10,40.670678578,41.723557901,0.2390089657278675,0.48888543210845165,0.02436587094102955,0.016146872909294317,87.71713538770638,58.128742473459546
templated/C1/C1_split4.sparql,Remote SPARQL Query,423.480948457,105.870237114,540.02606732,880.069596475,135.00651683,220.01739911800001,9.401621233963914E10,40.434476739,300.000295239,15227.746569857938,123.40075595334875,0.0074070498482617575,0.004545095087973832,26.66537945374233,16.362342316705796
templated/C1/C1_split5.sparql,Remote SPARQL Query,48.50639721,12.126599302,207.069917222,547.2658746970001,51.767479305,136.816468674,4.952660706365611E10,40.402188119,80.78571150200001,376.0471087789966,19.391934116508253,0.019317146854075512,0.0073090616187642884,69.54172867467184,26.31262182755144
templated/C1/C1_split6.sparql,Remote SPARQL Query,417.424379974,104.356094993,579.05200816,874.2279514539999,144.76300204,218.556987863,1.2135492048108594E11,40.534045606,217.14943337399998,6322.717288278959,79.51551602221393,0.006907842376214927,0.004575465693308506,24.868232554373737,16.47167649591062
templated/C1/C1_split7.sparql,Remote SPARQL Query,177.44963116300002,44.36240779,340.94556566299997,681.664755185,85.236391415,170.416188796,7.970805424613004E10,43.910932102,126.57559955400001,1139.9545797958097,33.76321341039401,0.011732078087764036,0.005867987114751577,42.23548111595053,21.124753613105675
templated/C1/C1_split8.sparql,Remote SPARQL Query,93.852082621,23.463020655,249.444886518,590.038970553,62.361221629,147.509742638,5.894690285123875E10,41.674398108,82.730930622,552.1724777064021,23.498350531609702,0.016035606325180893,0.006779213237827112,57.72818277065122,24.405167656177603
templated/C1/C1_split9.sparql,Remote SPARQL Query,325.635753908,81.408938477,480.559588716,820.6683910090001,120.139897179,205.167097752,8.81302482165654E10,40.106700855,295.582300186,14017.734560727762,118.39651414094826,0.00832362956420772,0.004874075867704533,29.96506643114779,17.546673123736316
templated/C1/C1_split10.sparql,Remote SPARQL Query,211.664067087,52.916016771,367.586102006,706.2625300499999,91.896525501,176.565632512,6.397596691502589E10,40.447991095,244.888075717,10402.97700752543,101.99498520773179,0.010881804230880504,0.0056636163321989435,39.174495231169814,20.389018795916197
templated/C1/C1_split11.sparql,Remote SPARQL Query,113.162899951,28.290724987,269.309202299,596.531115447,67.32730057399999,149.132778861,5.77767594938518E10,40.361700586,140.15092248599998,2361.4968294738687,48.595234637501946,0.014852815893025322,0.006705433960511494,53.47013721489116,24.13956225784138
templated/C1/C1_split12.sparql,Remote SPARQL Query,90.451433188,22.612858297,249.851285824,419.320738014,62.462821456,104.830184503,5.438664865595367E10,35.391523348,125.531021774,1791.2795376396011,42.32351045978584,0.01600952337230586,0.00953923724107709,57.6342841403011,34.34125406787752
templated/C1/C1_split13.sparql,Remote SPARQL Query,156.732096094,39.183024023,311.09449072900003,651.14175919,77.773622682,162.785439797,5.951638098592865E10,40.093176888,189.786093705,5576.42080488893,74.67543642248721,0.012857829756610283,0.006143055553660329,46.288187123797016,22.114999993177182
templated/C1/C1_split14.sparql,Remote SPARQL Query,243.856938719,60.964234679,402.366979383,738.959139675,100.591744845,184.739784918,8.044024566672163E10,40.084689336000004,165.854374727,4876.002504075534,69.82837893060051,0.009941173617585439,0.005413019185032978,35.78822502330758,19.48686906611872
templated/C1/C1_split15.sparql,Remote SPARQL Query,293.286878432,73.321719608,449.075711135,789.3766061250001,112.26892778300001,197.34415153100002,8.523167270058302E10,40.677085278999996,238.119939575,8678.925812725252,93.16075253412916,0.008907184024531337,0.0050672897688732055,32.06586248831281,18.242243167943542
templated/C1/C1_split16.sparql,Remote SPARQL Query,85.68407982100001,21.421019955,243.475034783,582.9697062089999,60.868758695,145.74242655199998,5.784325858344395E10,41.77938955,86.091555511,492.2855876527848,22.187509721750768,0.016428789110203162,0.006861419997307416,59.14364079673138,24.701111990306696
templated/C1/C1_split17.sparql,Remote SPARQL Query,47.90507185,11.976267962,204.081140235,540.7591212809999,51.020285058,135.18978031999998,4.85045258771488E10,39.375455754,81.740748314,421.1276076567393,20.52139390140785,0.01960004729223283,0.0073970088392255485,70.56017025203819,26.629231821211974
templated/C1/C1_split18.sparql,Remote SPARQL Query,849.138125974,212.28453149299997,928.513433717,1268.8408055139998,232.128358429,317.210201378,1.80435107549433E11,40.955951992,300.000285623,16277.47003334,127.58318867836782,0.004307961365719412,0.0031524837336752644,15.508660916589882,11.348941441230952
templated/C1/C1_split19.sparql,Remote SPARQL Query,9.113078209,2.2782695520000003,163.461470717,394.825269731,40.865367679,98.70631743199999,4.0859239584814674E10,40.081737756,41.894213582999996,0.670367934803087,0.8187599982919823,0.024470598376969518,0.01013106380641657,88.09415415709026,36.47182970309965
templated/C2/C2_split0.sparql,Remote SPARQL Query,125.18991425099999,31.297478562000002,412.563976239,766.962732064,103.14099405900001,191.740683016,1.0094060883541646E11,83.037858665,137.42943036999998,645.5369509923464,25.407419211567838,0.009695465989284216,0.0052153772703341945,34.90367756142318,18.7753581732031
templated/C2/C2_split1.sparql,Remote SPARQL Query,218.842860804,54.710715201,499.700589284,882.552287201,124.925147321,220.6380718,1.1007979223403015E11,83.30531483200001,247.668673228,6696.460859901328,81.83190612408664,0.008004793441871726,0.0045323093691031794,28.817256390738212,16.316313728771444
templated/C2/C2_split2.sparql,Remote SPARQL Query,833.2286965730001,208.307174143,976.350264659,1358.730716429,244.08756616399998,339.682679107,2.168114473782945E11,83.973834596,300.000298896,11406.876542324992,106.80298002548894,0.00409689037305616,0.0029439240252959738,14.748805343002175,10.598126491065505
templated/C2/C2_split3.sparql,Remote SPARQL Query,255.980841346,63.995210336,534.313419907,916.383580615,133.578354976,229.095895153,1.1404352711180026E11,83.129248178,280.983687018,9658.055235056496,98.27540503633905,0.00748624281366296,0.004364984363129498,26.950474129186656,15.713943707266194
templated/C2/C2_split4.sparql,Remote SPARQL Query,227.476084805,56.869021201,511.665886986,895.1737774549999,127.916471746,223.793444363,1.1841765923693015E11,84.292374604,213.52758437100002,3709.570202991055,60.90624108407163,0.007817601489084773,0.00446840613605271,28.143365360705186,16.086262089789756
templated/C2/C2_split5.sparql,Remote SPARQL Query,445.722197346,111.430549336,730.566449887,1114.3155733419999,182.641612471,278.578893335,1.5461261439518716E11,85.269788182,293.01069898500003,12685.366375354053,112.62933177176384,0.005475203522739271,0.003589647399444107,19.710732681861376,12.922730637998786
templated/C2/C2_split6.sparql,Remote SPARQL Query,85.499383788,21.374845947,373.023396703,756.958003875,93.255849175,189.23950096800002,9.280791343895436E10,86.261824536,109.365533929,118.91894672997655,10.904996411277564,0.010723187969941083,0.005284309009930743,38.6034766917879,19.023512435750675
templated/C2/C2_split7.sparql,Remote SPARQL Query,99.975185957,24.993796489,389.27560712300004,650.773713649,97.31890178,162.693428412,9.588369002328867E10,86.013107844,128.003161165,420.31714336112674,20.50163757754796,0.01027549614421882,0.0061465297631298895,36.99178611918775,22.1275071472676
templated/C2/C2_split8.sparql,Remote SPARQL Query,134.961291509,33.740322877,419.615695091,802.3416127019999,104.903923772,200.585403175,1.027671848034809E11,83.77666503,126.348785906,591.6829478411995,24.324533866884266,0.00953253190198507,0.004985407632715695,34.31711484714626,17.947467477776502
templated/C2/C2_split9.sparql,Remote SPARQL Query,342.470421159,85.617605289,560.924204448,945.118452409,140.231051112,236.279613102,1.1851832340584016E11,85.521617743,300.00029901199997,11346.819532861095,106.5214510456044,0.007131088243796434,0.004232273732259363,25.671917677667164,15.23618543613371
templated/C2/C2_split10.sparql,Remote SPARQL Query,507.127379312,126.781844828,720.727777719,1099.258306832,180.181944429,274.814576708,1.6364902917718723E11,84.69812126699999,300.00020473499995,7924.791980164765,89.02130071036238,0.005549945657257829,0.0036388171689398217,19.979804366128185,13.099741808183358
