Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
18286.420031268997,6095.473343756,25132.11437394,16279.394667529,8377.37145798,5426.464889176,8377.353983556575,8355.520553055,8397.295333325,439.0681489033415,20.95395306149514,0.4297290645469424,0.6634153308871136
Options Summary,
Query Endpoint,http://ec2-52-205-255-204.compute-1.amazonaws.com:8080/repositories/watdiv
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,6096.215104588,8295.627700291001,0.004663838,300.000449826
2,6096.17736143,8355.520553055,0.0043423559999999995,300.00062838499997
3,6096.148255707,8379.29848756,0.004242218,300.00043609
4,6094.094414132,8397.295333325,0.00413565,300.000286353
5,6096.412865821,8594.93703774,0.004001002,300.000291199
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,2.605267373,0.6513168429999999,159.590021345,239.725475946,39.897505336,59.931368986,3.988533832208161E10,38.547111045,41.297212481,1.2954531791079156,1.1381797657259223,0.02506422372974001,0.016685752668750158,90.23120542706404,60.06870960750057
templated/C1/C1_split1.sparql,Remote SPARQL Query,2.7247538519999996,0.6811884629999999,171.085948149,213.069811956,42.771487037,53.267452989,4.252965222390982E10,39.680530541,50.922795709,29.7660783739634,5.455829760353909,0.023380061561454193,0.018773189703786008,84.16822162123509,67.58348293362963
templated/C1/C1_split2.sparql,Remote SPARQL Query,2.593083907,0.648270976,163.890738821,230.65117986599998,40.972684705,57.662794966,4.09632446752536E10,39.684000221000005,41.806432251,1.0251189910403733,1.0124816003465809,0.02440650416734756,0.01734220480622965,87.8634150024512,62.43193730242674
templated/C1/C1_split3.sparql,Remote SPARQL Query,2.390186105,0.597546526,158.572900971,226.829263261,39.643225242,56.707315815,3.964315369278632E10,39.523468357999995,39.731736178,0.0075582068313156245,0.08693794816600875,0.025224991001502835,0.017634408993406875,90.80996760541021,63.483872376264756
templated/C1/C1_split4.sparql,Remote SPARQL Query,2.53030571,0.6325764269999999,164.581993838,173.67257926,41.145498459,43.418144815,4.1135883353651024E10,39.753479385,42.026468886,1.0451612245857398,1.0223312694942572,0.024303995271717605,0.023031845424554446,87.49438297818337,82.914643528396
templated/C1/C1_split5.sparql,Remote SPARQL Query,2.49693583,0.6242339570000001,175.473052339,247.237433598,43.868263084,61.809358399,4.381296899205607E10,40.95115464,46.006767292,6.421390745944754,2.534046318823859,0.022795522997689152,0.01617877981429069,82.06388279168094,58.24360733144649
templated/C1/C1_split6.sparql,Remote SPARQL Query,2.5860139909999997,0.6465034970000001,163.093520769,231.351676844,40.773380192,57.837919211,4.0762960906234535E10,39.631949757,41.864232536,1.1320120885058311,1.063960567176167,0.024525805692121806,0.017289695300964653,88.2929004916385,62.242903083472754
templated/C1/C1_split7.sparql,Remote SPARQL Query,2.599587027,0.649896756,162.10901635699997,232.774786602,40.527254089,58.19369665,4.051138004907162E10,38.858799203000004,42.052889396,1.7085519388728727,1.3071158857855232,0.02467475338457293,0.01718399169611783,88.82911218446256,61.86237010602419
templated/C1/C1_split8.sparql,Remote SPARQL Query,2.551544025,0.637886006,163.176197905,231.02246860600002,40.794049476,57.755617150999996,4.0782260297633804E10,39.790074112,42.259023795000004,1.291239641092826,1.136327259680426,0.024513379104183348,0.01731433320824078,88.24816477506005,62.33159954966681
templated/C1/C1_split9.sparql,Remote SPARQL Query,2.711661508,0.677915377,167.939800652,237.946026193,41.984950163,59.486506547999994,4.195897653565111E10,40.56448599,44.034268837000006,2.9247722009657466,1.7101965386954057,0.023818058521390555,0.016810534994067847,85.74501067700601,60.51792597864425
templated/C1/C1_split10.sparql,Remote SPARQL Query,2.6658039359999997,0.6664509839999999,167.526221895,238.227002787,41.881555473,59.556750696,4.186634081372135E10,40.569237684,43.475437483,1.7062532646910127,1.3062362974175126,0.023876859125843003,0.016790707825958727,85.95669285303481,60.44654817345141
templated/C1/C1_split11.sparql,Remote SPARQL Query,2.727242212,0.681810553,169.529977029,260.695030925,42.382494257,65.173757731,4.2379812372070885E10,41.726591719999995,43.074599178,0.3033364630400034,0.5507598959982503,0.023594647212978447,0.015343598939429397,84.9407299667224,55.23695618194583
templated/C1/C1_split12.sparql,Remote SPARQL Query,2.462411667,0.6156029160000001,165.01290047,233.200704699,41.253225117,58.300176174,4.1246589488232445E10,40.143163821,42.212414593,0.7272135660183882,0.8527681783570422,0.024240529005037984,0.017152606829445017,87.26590441813674,61.74938458600206
templated/C1/C1_split13.sparql,Remote SPARQL Query,2.764348091,0.691087022,163.466347551,232.473828432,40.866586887,58.118457108,4.086452220215654E10,40.510921950000004,41.563949187,0.22650692069846515,0.47592743217686573,0.024469868324582505,0.017206237910647324,88.09152596849702,61.942456478330364
templated/C1/C1_split14.sparql,Remote SPARQL Query,2.4669095860000003,0.616727396,164.684503361,235.37177499999999,41.17112584,58.842943749999996,4.116142214865692E10,39.925437416,42.09310588,1.0608931002880737,1.0299966506198328,0.02428886700563445,0.016994391107429938,87.43992122028402,61.179807986747775
templated/C1/C1_split15.sparql,Remote SPARQL Query,2.5976076619999997,0.649401915,163.319992246,236.78583721,40.829998061,59.196459302,4.082794875109226E10,40.506163599,41.534825282,0.22475431517374914,0.47408260374511657,0.024491796411697117,0.016892902240965856,88.17046708210962,60.81444806747709
templated/C1/C1_split16.sparql,Remote SPARQL Query,2.654919437,0.663729859,165.777493235,236.721832046,41.444373308,59.180458011,4.143298608858406E10,40.746165354,43.132682542000005,1.2804403849514787,1.131565457652132,0.024128727742324677,0.016897469766356452,86.86341987236884,60.830891158883226
templated/C1/C1_split17.sparql,Remote SPARQL Query,2.637969822,0.659492455,160.750413294,228.719514938,40.187603323000005,57.179878734,4.0184758465119514E10,39.653331215,40.684289840999995,0.3048165512218243,0.5521019391578191,0.02488329527796658,0.017488669478506347,89.57986300067968,62.959210122622856
templated/C1/C1_split18.sparql,Remote SPARQL Query,2.422547767,0.605636941,158.687286698,226.886085908,39.671821674,56.721521477,3.966683374916847E10,38.591473707,40.085824118,0.521327880103294,0.7220303872437046,0.02520680820299656,0.017629992531238602,90.74450953078762,63.467973112458964
templated/C1/C1_split19.sparql,Remote SPARQL Query,2.536676133,0.634169033,160.578444976,241.795938232,40.144611244,60.448984558,4.010385597203078E10,38.546026065,43.265117702000005,4.495415642577244,2.120239524812525,0.02490994355187484,0.01654287507576762,89.67579678674943,59.554350272763436
templated/C2/C2_split0.sparql,Remote SPARQL Query,9.162486389,2.290621597,101.835177893,150.44948900400001,25.458794473,37.612372251000004,2.535079803638792E10,22.714056697,29.027899021,7.488134717983625,2.7364456358538582,0.03927915758385721,0.026586996250240847,141.40496730188596,95.71318650086705
templated/C2/C2_split1.sparql,Remote SPARQL Query,10.736539957000002,2.684134989,106.70030364300001,159.715529934,26.67507591,39.928882483,2.6644587746424713E10,25.350829694,28.816354480999998,2.2258360197145706,1.491923597143825,0.03748817822951792,0.025044527615461238,134.9574416262645,90.16029941566045
templated/C2/C2_split2.sparql,Remote SPARQL Query,10.857109064,2.714277266,101.96139587100001,145.889303681,25.490348967000003,36.47232592,2.5471468140025635E10,24.461967685,27.127023899,1.3100120468065712,1.1445575768857466,0.039230533928531444,0.02741804847306541,141.22992214271318,98.70497450303547
templated/C2/C2_split3.sparql,Remote SPARQL Query,10.46605273,2.6165131820000003,101.27060112000001,155.65189865099998,25.317650280000002,38.912974662,2.530738913683938E10,24.391143188999997,26.263423144,0.6928572981431332,0.8323805008186661,0.03949813623857355,0.025698369468950877,142.1932904588648,92.51413008822315
