Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
259950.530993515,86650.176997838,259950.721737165,172112.96047917602,86650.240579055,57370.986826392,86650.23255639592,86598.045988148,86682.811223201,2085.1107332565066,45.663012748355825,0.04154633588946074,0.0627494871387486
Options Summary,
Query Endpoint,http://193.190.127.244:1234/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
Result Counting Limit,Disabled
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+json
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,86409.919471366,86410.009583379,0.308018064,300.08755290700003
2,86597.980658607,86598.045988148,0.30213795800000004,300.030700962
3,86669.801193166,86669.864525816,0.300180637,300.000546376
4,86682.74914174201,86682.811223201,0.299145442,300.00132483699997
5,86691.086061094,86691.18237740999,0.31161145599999995,300.00081811
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,1200.0012091059998,300.00030227599996,1200.0012091059998,1800.0037656400002,300.00030227599996,450.00094141000005,3.0000030227649786E11,300.00024764999995,300.000340638,1.6065826035203112E-9,4.008219808743417E-5,0.0033333299747144956,0.002222217573293676,11.999987908972184,7.999983263857233
templated/C1/C1_split1.sparql,Remote SPARQL Query,1200.001076319,300.00026907899996,1200.001076319,1800.002978995,300.00026907899996,450.000744748,3.0000026907974835E11,300.00023375399996,300.000318109,1.2629279409166667E-9,3.5537697462225475E-5,0.0033333303435693486,0.0022222185444604075,11.999989236849656,7.9999867600574674
templated/C1/C1_split2.sparql,Remote SPARQL Query,1200.00114872,300.00028718,1200.00114872,1800.00278045,300.00028718,450.00069511199996,3.000002871799958E11,300.000237816,300.000364387,3.3945491707858748E-9,5.826275972510978E-5,0.003333330142447499,0.002222218789575673,11.999988512810997,7.999987642472423
templated/C1/C1_split3.sparql,Remote SPARQL Query,1200.001243439,300.000310859,1200.001243439,1800.003259373,300.000310859,450.00081484299994,3.000003108597453E11,300.000242088,300.00039292499997,3.903584251372576E-9,6.247867037135614E-5,0.003333329879348023,0.0022222181983134596,11.999987565652884,7.999985513928454
templated/C1/C1_split4.sparql,Remote SPARQL Query,1200.0010800779999,300.00027001899997,1200.0010800779999,1800.003498927,300.00027001899997,450.000874731,3.000002700194956E11,300.000210513,300.000323128,3.6047363056666663E-9,6.003945624059787E-5,0.003333330333124923,0.0022222179025713595,11.999989199249722,7.999984449256894
templated/C1/C1_split5.sparql,Remote SPARQL Query,1200.001340449,300.000335112,1200.001340449,1629.0609494340001,300.000335112,407.26523735800004,3.000003351122498E11,300.000317707,300.000363011,3.9452307653826565E-10,1.9862604978659414E-5,0.0033333296098708256,0.0024554022987259426,11.999986595534972,8.839448275413394
templated/C1/C1_split6.sparql,Remote SPARQL Query,1200.001207253,300.000301813,1200.001207253,1800.002491103,300.000301813,450.000622775,3.000003018132498E11,300.000283748,300.000325436,4.1637645291666667E-10,2.0405304528888233E-5,0.003333329979858929,0.0022222191467943797,11.999987927492144,7.999988928459767
templated/C1/C1_split7.sparql,Remote SPARQL Query,1200.00141582,300.000353955,1200.00141582,1800.003513353,300.000353955,450.000878338,3.000003539549983E11,300.000317597,300.00038448,9.602364175068631E-10,3.0987681705911196E-5,0.00333332940050464,0.0022222178847590836,11.999985841816706,7.9999843851327
templated/C1/C1_split8.sparql,Remote SPARQL Query,1200.001051836,300.000262959,1200.001051836,1800.002808463,300.000262959,450.00070211499997,3.000002629589974E11,300.000226996,300.000320754,1.885279704787137E-9,4.341980774700801E-5,0.0033333304115692277,0.0022222187549930644,11.99998948164922,7.999987517975032
templated/C1/C1_split9.sparql,Remote SPARQL Query,1200.001318033,300.000329508,1200.001318033,1800.003750069,300.000329508,450.000937517,3.000003295082474E11,300.00030107599997,300.00037798799997,1.2806950382408819E-9,3.5786799776466204E-5,0.0033333296721373548,0.0022222175925182873,11.999986819694477,7.999983333065835
templated/C1/C1_split10.sparql,Remote SPARQL Query,1200.0016027269999,300.00040068100003,1200.0016027269999,1693.716011556,300.00040068100003,423.429002889,3.000004006817436E11,300.00030918600004,300.000458414,4.754230220342342E-9,6.895092617465224E-5,0.003333328881328168,0.002361671007836337,11.999983972781404,8.502015628210815
templated/C1/C1_split11.sparql,Remote SPARQL Query,1200.001346261,300.000336565,1200.001346261,1777.991043782,300.000336565,444.497760945,3.000003365652417E11,300.000238437,300.00040086499996,6.234985575780026E-9,7.896192484849914E-5,0.0033333295937264177,0.002249730117591605,11.999986537415104,8.099028423329779
templated/C1/C1_split12.sparql,Remote SPARQL Query,1200.00121057,300.000302642,1200.00121057,1800.00315232,300.000302642,450.00078808,3.000003026424956E11,300.000243088,300.000379595,4.331716738105883E-9,6.581577879282354E-5,0.0033333299706478367,0.0022222183304759515,11.999987894332213,7.999985989713425
templated/C1/C1_split13.sparql,Remote SPARQL Query,1200.001173633,300.000293408,1200.001173633,1800.0032992499998,300.000293408,450.00082481199996,3.000002934082485E11,300.000242168,300.000327117,1.3181857469166668E-9,3.630682782778835E-5,0.003333330073247633,0.0022222181490840092,11.999988263691478,7.999985336702433
templated/C1/C1_split14.sparql,Remote SPARQL Query,1200.001354323,300.00033858,1200.001354323,1800.0037210379999,300.00033858,450.000930259,3.0000033858074E11,300.000264295,300.000466369,7.90305095225E-9,8.889910546372218E-5,0.003333329571337579,0.0022222176283601142,11.999986456815284,7.99998346209641
templated/C1/C1_split15.sparql,Remote SPARQL Query,1200.0010887780002,300.00027219400005,1200.0010887780002,1800.003076911,300.00027219400005,450.00076922700003,3.000002721944991E11,300.000236992,300.000305255,9.591522848107978E-10,3.097018380330988E-5,0.0033333303089582993,0.0022222184235768635,11.999989112249876,7.9999863248767085
templated/C1/C1_split16.sparql,Remote SPARQL Query,1200.0010635879999,300.00026589699996,1200.0010635879999,1800.003424155,300.00026589699996,450.00085603800005,3.000002658969986E11,300.000236073,300.000299472,7.684081378136664E-10,2.772017564543317E-5,0.0033333303789248414,0.0022222179948821153,11.999989364129428,7.999984781575616
templated/C1/C1_split17.sparql,Remote SPARQL Query,1200.001134098,300.00028352400005,1200.001134098,1800.002524709,300.00028352400005,450.000631177,3.000002835244993E11,300.00025938100003,300.000316077,5.675841822285224E-10,2.382402531539375E-5,0.0033333301830696434,0.0022222191053031374,11.999988659050716,7.999988779091294
templated/C1/C1_split18.sparql,Remote SPARQL Query,1200.001332993,300.000333248,1200.001332993,1800.003691724,300.000333248,450.000922931,3.000003332482454E11,300.000295183,300.00042115900004,3.556340314766293E-9,5.963505944296771E-5,0.003333329630581891,0.002222217664547619,11.999986670094808,7.9999835923714295
templated/C1/C1_split19.sparql,Remote SPARQL Query,1200.000908248,300.000227062,1200.000908248,1800.0027522740002,300.000227062,450.00068806800004,3.000002270619974E11,300.00018836099997,300.000271121,1.4474061370837268E-9,3.8044791195165296E-5,0.0033333308104241317,0.002222218824360751,11.999990917526873,7.999987767698703
templated/C2/C2_split0.sparql,Remote SPARQL Query,1200.0015932869999,300.000398321,1200.0015932869999,1800.0070931120001,300.000398321,450.00177327800003,3.000003983217275E11,300.000271542,300.000570465,1.8123201759395624E-8,1.346224415147624E-4,0.003333328907550321,0.0022222134653283347,11.999984067181156,7.999968475182005
templated/C2/C2_split1.sparql,Remote SPARQL Query,1200.001072814,300.000268203,1200.001072814,1800.002941684,300.000268203,450.000735421,3.0000026820349915E11,300.00023707099996,300.000305139,1.07416683249903E-9,3.277448447342887E-5,0.003333330353302664,0.0022222185905195154,11.999989271889591,7.999986925870256
templated/C2/C2_split2.sparql,Remote SPARQL Query,1200.0012643329999,300.000316083,1200.0012643329999,1719.903971214,300.000316083,429.975992803,3.000003160832481E11,300.000275101,300.000356287,1.1987632870880909E-9,3.462316113655844E-5,0.0033333298213037007,0.002325711241413809,11.999987356693323,8.372560469089711
templated/C2/C2_split3.sparql,Remote SPARQL Query,1200.0012530489998,300.00031326199996,1200.0012530489998,1800.004438193,300.00031326199996,450.001109548,3.000003132622452E11,300.00028016000005,300.000398486,3.2404715611343554E-9,5.692513997465756E-5,0.003333329852648079,0.0022222167429863495,11.999987469533085,7.999980274750858
templated/C2/C2_split4.sparql,Remote SPARQL Query,1200.0012287240002,300.00030718100004,1200.0012287240002,1800.003160679,300.00030718100004,450.00079016899997,3.000003071809978E11,300.000284056,300.000370461,1.7828786390196808E-9,4.222414758191905E-5,0.0033333299202146054,0.0022222183201599383,11.99998771277258,7.999985952575778
templated/C2/C2_split5.sparql,Remote SPARQL Query,1200.001050937,300.000262734,1200.001050937,1800.002602105,300.000262734,450.000650526,3.0000026273425006E11,300.000238771,300.000280754,3.1844377889729475E-10,1.7844993104433938E-5,0.0033333304140692236,0.002222219009752792,11.999989490649204,7.999988435110051
templated/C2/C2_split6.sparql,Remote SPARQL Query,1200.001088514,300.000272128,1200.001088514,1800.003415087,300.000272128,450.000853771,3.000002721284995E11,300.00024206100005,300.000296468,5.07055157655443E-10,2.2517885283823677E-5,0.0033333303096916315,0.002222218006077135,11.999989114889873,7.999984821877686
templated/C2/C2_split7.sparql,Remote SPARQL Query,1200.0011852760001,300.00029631900003,1200.0011852760001,1800.003866595,300.00029631900003,450.000966648,3.0000029631899396E11,300.000223149,300.00039296899996,4.990246682827012E-9,7.064167808614835E-5,0.0033333300409032515,0.002222217448662106,11.999988147251706,7.999982815183582
templated/C2/C2_split8.sparql,Remote SPARQL Query,1200.001113098,300.000278274,1200.001113098,1800.0031538819999,300.000278274,450.00078847000003,3.0000027827449664E11,300.000227611,300.000344601,2.3671033556461653E-9,4.865288640611332E-5,0.0033333302414028684,0.002222218328550032,11.999988869050325,7.999985982780116
templated/C2/C2_split9.sparql,Remote SPARQL Query,1200.00121079,300.000302697,1200.00121079,1800.002800564,300.000302697,450.000700141,3.000003026974991E11,300.00026969500004,300.00033784699997,1.0349046539486966E-9,3.21699340059736E-5,0.003333329970036727,0.002222218764741182,11.999987892132216,7.999987553068255
templated/C2/C2_split10.sparql,Remote SPARQL Query,1200.001140434,300.00028510799996,1200.001140434,1800.003580529,300.00028510799996,450.000895132,3.0000028510849457E11,300.000194622,300.000340122,4.4650126502273015E-9,6.682075014714591E-5,0.0033333301654696777,0.002222217801826077,11.99998859569084,7.999984086573877
templated/C2/C2_split11.sparql,Remote SPARQL Query,1200.001417147,300.000354286,1200.001417147,1800.0050162,300.000354286,450.00125405,3.000003542867312E11,300.000262092,300.000525629,1.4198459912662329E-8,1.1915729063998698E-4,0.003333329396826871,0.002222216029399974,11.999985828576735,7.999977705839907
templated/C2/C2_split12.sparql,Remote SPARQL Query,1200.001195709,300.000298927,1200.001195709,1800.003553944,300.000298927,450.000888486,3.000002989272493E11,300.00026331000004,300.000315512,6.002377569166666E-10,2.4499750139882377E-5,0.0033333300119255315,0.0022222178346457,11.999988042931914,7.9999842047245195
templated/C2/C2_split13.sparql,Remote SPARQL Query,1200.00145379,300.000363447,1200.00145379,1800.003653027,300.000363447,450.00091325600005,3.000003634474922E11,300.000272557,300.00046931900005,6.669308536700486E-9,8.16658345741993E-5,0.003333329295038226,0.0022222177123252017,11.999985462137612,7.999983764370726
templated/C2/C2_split14.sparql,Remote SPARQL Query,1200.001154998,300.000288749,1200.001154998,1800.003255184,300.000288749,450.000813796,3.0000028874949915E11,300.000276625,300.000308022,1.890536497613186E-10,1.3749678169372494E-5,0.0033333301250141993,0.0022222182034838107,11.999988450051116,7.999985532541719
