Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
147602.02442498002,49200.674808325995,147603.67945537998,90626.379928137,49201.226485126004,30208.793309379,49201.08615658632,49056.490950549996,49344.311817379,20712.255221332663,143.91752923578372,0.07316890771184971,0.11917059920702952
Options Summary,
Query Endpoint,http://193.190.127.244:1234/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
Result Counting Limit,Disabled
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+json
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,49005.765220785,49006.361873803,0.295245126,300.000583332
2,49055.8110387,49056.490950549996,0.307410911,300.00089924
3,49202.435824735,49202.876687451,0.31077493900000003,300.00053428399997
4,49343.777561545,49344.311817379,0.31436508199999996,300.000544658
5,49417.67025841201,49418.107563854,0.31285831000000003,300.000956225
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,1200.001144595,300.000286148,1200.001144595,1509.756094179,300.000286148,377.439023544,3.0000028614874713E11,300.00024761199995,300.000336447,2.0440111650695564E-9,4.521074170006014E-5,0.003333330153914144,0.0026494345778303573,11.999988554090917,9.537964480189286
templated/C1/C1_split1.sparql,Remote SPARQL Query,1200.001080969,300.000270242,1200.001080969,1800.001864468,300.000270242,450.000466117,3.000002702422499E11,300.000254832,300.000280315,1.5191346411667548E-10,1.2325318012800946E-5,0.0033333303306471492,0.002222219920412261,11.999989190329737,7.999991713484139
templated/C1/C1_split2.sparql,Remote SPARQL Query,1200.001148632,300.000287158,1200.001148632,1657.975312462,300.000287158,414.493828115,3.000002871579973E11,300.00023261399997,300.0003396,1.9542625192601993E-9,4.420704151218672E-5,0.003333330142691943,0.0024125811584402006,11.999988513690996,8.685292170384722
templated/C1/C1_split3.sparql,Remote SPARQL Query,1200.001187251,300.000296812,1200.001187251,1800.0026466000002,300.000296812,450.00066165000004,3.0000029681274774E11,300.000272621,300.000357252,1.6528335529166666E-9,4.0655055687044226E-5,0.0033333300354254853,0.002222218954819619,11.999988127531747,7.999988237350627
templated/C1/C1_split4.sparql,Remote SPARQL Query,1200.00117811,300.000294527,1200.00117811,1800.002411838,300.000294527,450.000602959,3.000002945274994E11,300.000287199,300.000310865,1.229538521117418E-10,1.1088455803751116E-5,0.003333330060814324,0.0022222192446509034,11.999988218931566,7.999989280743252
templated/C1/C1_split5.sparql,Remote SPARQL Query,1200.0012264650002,300.000306616,1200.0012264650002,1800.002097339,300.000306616,450.00052433400003,3.000003066162468E11,300.000268434,300.000367317,2.0488259896933563E-9,4.526395905898374E-5,0.003333329926492371,0.002222219632921535,11.999987735372535,7.999990678517527
templated/C1/C1_split6.sparql,Remote SPARQL Query,1200.001341117,300.000335279,1200.001341117,1715.371338385,300.000335279,428.842834596,3.0000033527924493E11,300.000255198,300.00040143999996,4.085085780916667E-9,6.391467578668193E-5,0.0033333296080152743,0.002331856613488879,11.999986588854988,8.394683808559964
templated/C1/C1_split7.sparql,Remote SPARQL Query,1200.0011620139999,300.00029050300003,1200.0011620139999,1800.002383801,300.00029050300003,450.00059595,3.000002905034983E11,300.000249269,300.000331528,1.423299860617479E-9,3.772664655939458E-5,0.0033333301055253474,0.002222219279263157,11.999988379891251,7.999989405347364
templated/C1/C1_split8.sparql,Remote SPARQL Query,1200.001173276,300.000293319,1200.001173276,1800.0027022299998,300.000293319,450.00067555699997,3.0000029331899927E11,300.000261894,300.00032880000003,9.233731284214138E-10,3.0387055277229705E-5,0.00333333007423652,0.00222221888614328,11.999988267251473,7.999987990115808
templated/C1/C1_split9.sparql,Remote SPARQL Query,1200.001071361,300.00026784,1200.001071361,1800.002023029,300.00026784,450.000505757,3.000002678402459E11,300.000218483,300.000340176,2.7213579055861173E-9,5.2166635942775885E-5,0.0033333303573359905,0.002222219724659597,11.999989286409566,7.99999100877455
templated/C1/C1_split10.sparql,Remote SPARQL Query,1200.0011692790001,300.000292319,1200.0011692790001,1800.003266513,300.000292319,450.000816628,3.000002923197475E11,300.000240719,300.000351248,2.24257080825E-9,4.735578959588785E-5,0.0033333300853476094,0.0022222181894986765,11.999988307251394,7.9999854821952345
templated/C1/C1_split11.sparql,Remote SPARQL Query,1200.001277396,300.000319349,1200.001277396,1800.002448846,300.000319349,450.000612211,3.000003193489987E11,300.000279008,300.000345033,1.0203835246666665E-9,3.194344259259898E-5,0.0033333297850148885,0.0022222191989621377,11.999987226053598,7.999989116263697
templated/C1/C1_split12.sparql,Remote SPARQL Query,1200.0010511990001,300.00026279900004,1200.0010511990001,1800.002166984,300.00026279900004,450.000541746,3.0000026279974866E11,300.000211996,300.000299043,1.7067929168942634E-9,4.131335034700361E-5,0.003333330413347002,0.002222219546936554,11.999989488049208,7.999990368971594
templated/C1/C1_split13.sparql,Remote SPARQL Query,1200.001063981,300.000265995,1200.001063981,1800.002297619,300.000265995,450.000574404,3.0000026599524866E11,300.000218127,300.000298494,1.3687752269340786E-9,3.6996962401446936E-5,0.0033333303778359537,0.0022222193856628798,11.999989360209433,7.999989788386368
templated/C1/C1_split14.sparql,Remote SPARQL Query,1200.001129227,300.00028230600003,1200.001129227,1800.001946551,300.00028230600003,450.000486637,3.000002823067501E11,300.000264136,300.000292498,1.624788958297899E-10,1.274672098344472E-5,0.003333330196602951,0.002222219819079142,11.999988707770624,7.999991348684912
templated/C1/C1_split15.sparql,Remote SPARQL Query,1200.001199027,300.000299756,1200.001199027,1800.0024491020001,300.000299756,450.00061227500004,3.0000029975674664E11,300.000230582,300.000348568,2.5649964449166664E-9,5.064579395089652E-5,0.003333330002714439,0.002222219198646089,11.99998800977198,7.999989115125921
templated/C1/C1_split16.sparql,Remote SPARQL Query,1200.001196074,300.000299018,1200.001196074,1800.002871403,300.000299018,450.00071785,3.000002990184991E11,300.000261482,300.00032347900003,6.983582976666666E-10,2.642646964062106E-5,0.0033333300109144224,0.0022222186772896057,11.999988039291921,7.99998723824258
templated/C1/C1_split17.sparql,Remote SPARQL Query,1200.0011997249999,300.000299931,1200.0011997249999,1658.0691494080002,300.000299931,414.51728735200004,3.000002999312494E11,300.00027504400003,300.000327466,5.080674729166667E-10,2.2540352102765975E-5,0.003333330000769999,0.002412444620556487,11.999988002771996,8.684800634003352
templated/C1/C1_split18.sparql,Remote SPARQL Query,1200.00107646,300.000269115,1200.00107646,1800.0018447139998,300.000269115,450.000461178,3.000002691149991E11,300.000255817,300.000302484,4.980223966666667E-10,2.231641540809515E-5,0.003333330343169349,0.0022222199448023337,11.999989235409657,7.999991801288402
templated/C1/C1_split19.sparql,Remote SPARQL Query,1200.001475064,300.000368766,1200.001475064,1800.003005865,300.000368766,450.000751466,3.000003687659899E11,300.00028846299995,300.00044567599997,7.671106280299793E-9,8.758485188832481E-5,0.00333332923593837,0.0022222185112852092,11.999985249378131,7.999986640626753
templated/C2/C2_split0.sparql,Remote SPARQL Query,1200.001112314,300.000278078,1200.001112314,1800.0022231950002,300.000278078,450.000555798,3.0000027807849963E11,300.00024837300003,300.000307038,5.80654083E-10,2.4096764990346732E-5,0.0033333302435806416,0.0022222194775441306,11.99998887689031,7.999990119158871
templated/C2/C2_split1.sparql,Remote SPARQL Query,1200.001110747,300.000277686,1200.001110747,1800.004092286,300.000277686,450.001023071,3.0000027768674756E11,300.000220393,300.000306759,1.5093380276937632E-9,3.8850199841104584E-5,0.003333330247936189,0.002222217170031239,11.999988892570281,7.999981812112461
templated/C2/C2_split2.sparql,Remote SPARQL Query,1200.001277023,300.00031925499997,1200.001277023,1508.408721405,300.00031925499997,377.102180351,3.000003192557484E11,300.00026944900003,300.000341601,1.140352964916667E-9,3.3769112587047156E-5,0.003333329786059331,0.0026518011618739987,11.999987229813591,9.546484182746395
