	order	filter_in	limit	distinct	triplePattern	tp_?po	union	tp_?p?	aggregation_count	tp_sp?	bgp	graph	optional	keys	filter	tp_???	group	query	jsonLines	jsonSize	depth
xaa	0.0	2.0	0.0	1.0	14.0	0.0	1.0	8.0	1.0	0.0	3.0	0.0	1.0	49.0	13.0	6.0	0.0	3.0	313.0	10373.0	5.0
xab	1.0	1.0	1.0	1.0	5.0	0.0	0.0	3.0	1.0	0.0	4.0	0.0	2.0	35.0	5.0	2.0	0.0	2.0	180.0	4114.0	4.0
xac	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	26.0	609.0	2.0
xad	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	839.0	2.0
xae	0.0	1.0	0.0	1.0	4.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	1.0	23.0	5.0	2.0	0.0	1.0	127.0	2775.0	3.0
xaf	1.0	2.0	1.0	1.0	15.0	0.0	1.0	9.0	1.0	0.0	4.0	0.0	2.0	61.0	13.0	6.0	0.0	4.0	366.0	12468.0	6.0
xag	0.0	2.0	0.0	1.0	8.0	0.0	1.0	6.0	1.0	0.0	3.0	0.0	1.0	33.0	5.0	2.0	0.0	3.0	195.0	6552.0	5.0
xah	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	839.0	2.0
xai	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	859.0	2.0
xaj	1.0	2.0	1.0	1.0	6.0	0.0	0.0	3.0	1.0	0.0	4.0	0.0	2.0	41.0	8.0	3.0	0.0	2.0	500.0	26710.0	4.0
xak	0.0	2.0	0.0	1.0	11.0	0.0	1.0	7.0	1.0	0.0	3.0	0.0	1.0	41.0	9.0	4.0	0.0	3.0	254.0	8465.0	5.0
xal	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	26.0	610.0	2.0
xam	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	839.0	2.0
xan	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	26.0	609.0	2.0
xao	1.0	0.0	0.0	0.0	10.0	1.0	0.0	9.0	0.0	0.0	8.0	0.0	7.0	37.0	0.0	0.0	0.0	1.0	161.0	3685.0	3.0
xap	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	839.0	2.0
xaq	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	26.0	610.0	2.0
xar	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	33.0	737.0	2.0
xas	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	855.0	2.0
xat	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	26.0	610.0	2.0
xau	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	39.0	1008.0	2.0
xav	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	859.0	2.0
xaw	0.0	1.0	0.0	1.0	4.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	1.0	23.0	5.0	2.0	0.0	1.0	127.0	2719.0	3.0
xax	0.0	2.0	0.0	1.0	8.0	0.0	1.0	6.0	1.0	0.0	3.0	0.0	1.0	33.0	5.0	2.0	0.0	3.0	195.0	6561.0	5.0
xay	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	838.0	2.0
xaz	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	26.0	610.0	2.0
xba	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	839.0	2.0
xbb	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	839.0	2.0
xbc	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	26.0	609.0	2.0
xbd	1.0	2.0	1.0	1.0	9.0	0.0	1.0	7.0	1.0	0.0	4.0	0.0	2.0	45.0	5.0	2.0	0.0	4.0	248.0	8192.0	6.0
xbe	0.0	2.0	0.0	1.0	11.0	0.0	1.0	7.0	1.0	0.0	3.0	0.0	1.0	41.0	9.0	4.0	0.0	3.0	254.0	8510.0	5.0
xbf	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	839.0	2.0
xbg	0.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	11.0	2.0	1.0	0.0	1.0	64.0	1427.0	2.0
xbh	0.0	2.0	0.0	1.0	11.0	0.0	1.0	7.0	1.0	0.0	3.0	0.0	1.0	41.0	9.0	4.0	0.0	3.0	254.0	8448.0	5.0
xbi	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	837.0	2.0
xbj	0.0	1.0	0.0	1.0	5.0	0.0	1.0	2.0	1.0	0.0	5.0	0.0	2.0	41.0	8.0	3.0	2.0	1.0	200.0	4649.0	4.0
xbk	0.0	2.0	0.0	1.0	5.0	0.0	0.0	3.0	1.0	0.0	4.0	0.0	2.0	31.0	7.0	2.0	0.0	1.0	451.0	24104.0	3.0
xbl	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	33.0	842.0	2.0
xbm	0.0	2.0	0.0	1.0	11.0	0.0	1.0	7.0	1.0	0.0	6.0	0.0	3.0	57.0	12.0	4.0	0.0	3.0	325.0	10412.0	5.0
xbn	0.0	2.0	0.0	1.0	20.0	0.0	3.0	12.0	1.0	0.0	10.0	0.0	3.0	93.0	20.0	8.0	4.0	3.0	510.0	17028.0	6.0
