Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
214.87310681600002,71.624368938,215.061562045,377.983869399,71.68718734800001,125.994623133,71.6848054102761,71.019741612,72.443711442,0.5128737344964609,0.7161520330882689,50.218178912837985,28.572647867677954
Options Summary,
Query Endpoint,http://ec2-54-175-238-122.compute-1.amazonaws.com:80/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,1200s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,71.535667678,71.598108991,0.0017778149999999999,2.185682618
2,74.669197447,74.732119934,0.00172673,2.030936879
3,70.956935683,71.019741612,0.001695439,2.086690361
4,72.380503455,72.443711442,0.0017469380000000002,2.044190672
5,70.321396434,70.38376226800001,0.00184988,2.059010269
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/queries/xaa,Remote SPARQL Query,0.073916666,0.018479165999999998,0.074295059,0.117029786,0.018573764,0.029257446000000003,1.8539688614327636E7,0.017002844,0.019670182,1.6650163909662508E-6,0.0012903551414111738,53.839383336624714,34.17933335671199,193821.78001184898,123045.60008416318
templated/queries/xab,Remote SPARQL Query,0.03755527,0.009388816999999999,0.037721736,0.054626798000000004,0.009430434,0.013656699,9429942.321076943,0.009332929,0.009540940000000001,1.2367214114000033E-8,1.1120797684518874E-4,106.039658408086,73.2241371066317,381742.7702691096,263606.8935838741
templated/queries/xac,Remote SPARQL Query,0.011611233,0.0029028079999999998,0.011789286999999999,0.020602225000000002,0.002947321,0.005150556,2941861.4096811707,0.0027354470000000002,0.003234117,4.383401647158334E-8,2.0936574808593536E-4,339.29117323834083,194.1537962115158,1221448.223658027,698953.666361457
templated/queries/xad,Remote SPARQL Query,0.012267319,0.0030668289999999996,0.012414235,0.019231582,0.003103558,0.004807895,3081835.2368212976,0.0025065260000000002,0.0033617490000000002,1.6488275064758332E-7,4.0605757060739963E-4,322.21083027931166,207.99123108969724,1159958.9890055219,748768.43192291
templated/queries/xae,Remote SPARQL Query,0.027071413,0.006767853,0.027389325,0.043862549,0.006847331,0.010965636999999999,6830101.6450765375,0.006082144,0.007391863,3.0422053642425E-7,5.515619062482922E-4,146.04230465855966,91.19397258909812,525752.2967708148,328298.30132075323
templated/queries/xaf,Remote SPARQL Query,0.113621907,0.028405476,0.113784512,0.177355677,0.028446128,0.044338919,2.8384467685001187E7,0.025984559,0.030874174,4.6632507989886665E-6,0.0021594561349998907,35.154169312603806,22.553549399794797,126555.00952537371,81192.77783926127
templated/queries/xag,Remote SPARQL Query,0.040057670999999996,0.010014417,0.040440510000000006,0.059803933000000004,0.010110127,0.014950983000000001,1.0098798693982745E7,0.009651149,0.010825910999999999,3.094478930196668E-7,5.562804086247032E-4,98.9107258494379,66.88523423510013,356078.6130579764,240786.84324636043
templated/queries/xah,Remote SPARQL Query,0.014537388,0.003634347,0.014706183,0.024870904,0.003676545,0.006217726,3633344.360120907,0.003116093,0.004467036000000001,4.3161602905625E-7,6.569749074783983E-4,271.9944948314246,160.83050298453165,979180.1813931287,578989.810744314
templated/queries/xai,Remote SPARQL Query,0.012212055,0.003053013,0.012382759,0.020085830000000002,0.003095689,0.005021457,3095179.871309203,0.003015756,0.003174528,4.206614757583342E-9,6.48584208687148E-5,323.0298650801163,199.14538748415052,1162907.5142884185,716923.3949429418
templated/queries/xaj,Remote SPARQL Query,0.288527363,0.07213184,0.28869521800000003,0.46523415999999995,0.07217380400000001,0.11630853999999999,7.213771380372402E7,0.070705453,0.076170739,7.113988980209667E-6,0.002667206212539568,13.855442620150656,8.597820933871237,49879.59343254236,30952.155361936453
