Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
75058.16910176,25019.389700585998,75078.52575559901,52222.712240876,25026.175251866003,17407.570746957997,25026.037291635428,24915.537161095002,25115.682626043,10349.432172665865,101.73215898950473,0.14384938824128057,0.20680657010278738
Options Summary,
Query Endpoint,http://193.190.127.240:8890/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,1200s
Max Delay between Operations,1000s
Result Limit,Query Specified
Result Counting Limit,Disabled
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,24868.112544228,24875.474761213,0.002018387,1200.001142756
2,24908.745402793,24915.537161095002,0.002011979,1200.0009896
3,25040.767471073003,25047.305968460998,0.001482491,1200.000915942
4,25108.656227894,25115.682626043,0.002059861,1200.002284736
5,25393.787694813,25400.603372434998,0.001537549,1200.001141596
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/queries/xaa,Remote SPARQL Query,0.227699119,0.056924779,0.22881220500000002,0.39010650700000005,0.057203051000000005,0.09752662599999999,5.684427830716158E7,0.052741584,0.06869631699999999,5.926302130648225E-5,0.007698247937451888,17.481585029441874,10.25361012694113,62933.70610599074,36912.99645698807
templated/queries/xab,Remote SPARQL Query,0.13613881900000002,0.034034704,0.137438525,0.22562704,0.034359631,0.05640676,3.408660584573656E7,0.031444382,0.042195239,2.739270047084625E-5,0.005233803633195103,29.10392140125137,17.728371563975664,104774.11704450492,63822.1376303124
templated/queries/xac,Remote SPARQL Query,0.010678142,0.0026695350000000002,0.011552174,0.032686302,0.0028880430000000003,0.008171575,2884623.2123847427,0.002701533,0.00309206,2.644686913766667E-8,1.626249339359333E-4,346.2552323493798,122.37542946127276,1246518.8364577673,440551.5460605819
templated/queries/xad,Remote SPARQL Query,0.010818811999999999,0.0027047029999999997,0.011471895,0.019996495,0.0028679730000000002,0.004999123,2864144.677934273,0.002682336,0.003097702,2.9663602430916692E-8,1.7223124696441323E-4,348.6783174039644,200.0350861541114,1255241.9426542718,720126.3101548011
templated/queries/xae,Remote SPARQL Query,0.022021066000000002,0.005505266,0.022939059,0.043333503999999995,0.005734764,0.010833375999999999,5714232.997520823,0.00524311,0.00626398,3.1362958471158323E-7,5.600264142980965E-4,174.37509198286102,92.30732875882828,627750.3311382997,332306.38353178184
templated/queries/xaf,Remote SPARQL Query,0.399496443,0.09987411,0.40024877400000003,0.680907369,0.100062193,0.17022684200000002,8.813918527919675E7,0.038224106,0.16183346,0.0027219866281435827,0.05217266169310881,9.99378456556514,5.874514196768097,35977.6244360345,21148.25110836515
templated/queries/xag,Remote SPARQL Query,1.7872355709999999,0.446808892,1.788682871,2.751632339,0.44717071700000005,0.687908084,4.466501175423117E8,0.430220029,0.48406888600000003,6.400587569173074E-4,0.025299382540238155,2.2362823905573403,1.4536825823957027,8050.616606006425,5233.25729662453
templated/queries/xah,Remote SPARQL Query,0.012236592,0.003059148,0.012927804999999999,0.024589855,0.003231951,0.006147463,3229180.070484625,0.0030883539999999998,0.0034315889999999996,2.414134694824998E-8,1.5537485944724127E-4,309.41063153494594,162.66873017373183,1113878.2735258054,585607.4286254346
templated/queries/xai,Remote SPARQL Query,0.020252036,0.005063009,0.021436463,0.040857099,0.005359115,0.010214273999999999,4452306.880736105,0.003002449,0.011760585,1.8241090077779586E-5,0.0042709589178285936,186.59797373260324,97.90221018155574,671752.7054373716,352447.9566536007
templated/queries/xaj,Remote SPARQL Query,1.572447628,0.393111907,1.573948081,2.5966256010000004,0.39348701999999997,0.6491564,3.934296223588605E8,0.385548956,0.401681822,6.023874313492152E-5,0.0077613621958340226,2.541379891006316,1.540460819611422,9148.967607622737,5545.658950601119
templated/queries/xak,Remote SPARQL Query,4.194544361,1.04863609,4.195925024999999,6.393499768,1.048981256,1.598374942,1.0480276436714574E9,1.009407683,1.1261820230000001,0.0027447530258233933,0.05239039058666573,0.9533058806152777,0.6256354336666021,3431.9011702149996,2252.287561199768
templated/queries/xal,Remote SPARQL Query,0.01085604,0.00271401,0.011776145,0.023799943,0.002944036,0.005949985,2939817.140373474,0.002722667,0.00314694,3.289547780091666E-8,1.8137110519847604E-4,339.6697594730499,168.06765059071577,1222811.1341029797,605043.5421265769
templated/queries/xam,Remote SPARQL Query,0.012819045,0.003204761,0.013416425000000001,93.06618205699999,0.003354106,23.266545514,3251415.7335287025,0.0023391220000000003,0.004700832,9.668953155375833E-7,9.83308352215918E-4,298.1420384448196,0.04298016649692485,1073311.3384013504,154.72859938892947
templated/queries/xan,Remote SPARQL Query,0.010341454,0.0025853630000000002,0.011227007,0.031355188,0.002806751,0.007838797,2790968.376665077,0.002475106,0.003209448,1.1917064511491667E-7,3.452110153441177E-4,356.2838313765631,127.57059533497296,1282621.7929556272,459254.14320590266
