Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
31403.167347348,10467.722449116001,31555.428115173,23332.680128406,10518.476038391,7777.560042802001,10518.406422060963,10464.407074387998,10546.154043741999,2193.003773569634,46.829518186392164,0.3422549033586702,0.4628701006727346
Options Summary,
Query Endpoint,http://ec2-54-174-198-211.compute-1.amazonaws.com:80/sparql/
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,10337.440863611,10388.64569179,0.006317255,180.39490387400002
2,10413.058476352,10464.407074387998,0.0046993270000000005,178.61438115
3,10494.133693823,10544.866997043,0.004751478,178.750747794
4,10495.975177173,10546.154043741999,0.005860519,177.05777231500002
5,10556.50667198,10607.842841415999,0.00548226,178.759167352
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,229.69290509700002,57.423226274,229.770861334,410.80477236,57.442715333,102.70119309,5.743735283685543E10,56.121747548,58.154276259,0.814011513029288,0.902225865861364,0.017408647801604088,0.009736985227850969,62.67113208577472,35.053146820263485
templated/C1/C1_split1.sparql,Remote SPARQL Query,245.193257123,61.29831428,245.256083545,471.156596465,61.314020886,117.789149116,6.0163624181268456E10,53.175451025,83.286622165,215.36347876396937,14.67526758747415,0.01630948330495697,0.008489746360381543,58.714139897845094,30.56308689737356
templated/C1/C1_split2.sparql,Remote SPARQL Query,366.156142591,91.53903564699999,366.215060492,591.161811578,91.553765123,147.790452894,8.231102345095297E10,56.949256139,168.460450647,2783.571113292905,52.7595594493823,0.010922543695024744,0.006766336934613982,39.32115730208908,24.358812964610333
templated/C1/C1_split3.sparql,Remote SPARQL Query,250.665012953,62.666253237999996,250.717426122,480.519854963,62.67935653,120.12996374000001,6.162839638028623E10,53.418008678,83.516195262,197.78975257618555,14.063774478289446,0.015954216114541214,0.008324317837673893,57.435178012348366,29.967544215626013
templated/C1/C1_split4.sparql,Remote SPARQL Query,250.67000490599997,62.667501226,250.730110545,477.565162272,62.682527635999996,119.391290568,6.163616636359548E10,53.253416881,83.417017874,196.55936882870608,14.019963224941288,0.01595340899153016,0.008375820340349234,57.432272369508574,30.15295322525724
templated/C1/C1_split5.sparql,Remote SPARQL Query,246.83295264100002,61.70823816,246.8831565,451.427282871,61.720789125,112.85682071699999,6.0557656380248245E10,52.713724766,83.560856685,217.08866270858056,14.733928963741494,0.016201996348017365,0.008860784785951061,58.32718685286252,31.898825229423817
templated/C1/C1_split6.sparql,Remote SPARQL Query,290.577747396,72.644436849,290.62803106900003,506.377495222,72.657007767,126.59437380499999,6.69799768641314E10,51.94654301600001,129.067508162,1417.3286004972565,37.64742488533919,0.013763297316163202,0.007899245202953117,49.54787033818753,28.437282730631225
templated/C1/C1_split7.sparql,Remote SPARQL Query,375.08681946999997,93.771704867,375.143221983,599.360077708,93.78580549499999,149.840019427,8.384988523998189E10,57.994564986,175.59105290800002,3114.1921793855895,55.80494762461112,0.010662594352333127,0.006673784505795439,38.385339668399254,24.025624220863577
templated/C1/C1_split8.sparql,Remote SPARQL Query,219.84642617699998,54.961606544,219.91517237600002,422.252169523,54.978793094000004,105.56304238,5.493390787444788E10,52.818010233,58.374723287,6.667278810100819,2.582107435816879,0.018188831433426516,0.009473012310504044,65.47979316033546,34.10284431781456
templated/C1/C1_split9.sparql,Remote SPARQL Query,301.153950814,75.288487703,301.221863857,527.590709866,75.305465964,131.897677466,7.007173641331934E10,54.314533085,129.850574098,1331.0830750907207,36.484011225339806,0.013279248553857337,0.007581634636878087,47.80529479388641,27.293884692761115
