Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
28892.654781319,9630.884927106,29410.713246657,17686.580717668,9803.571082219001,5895.526905889,9803.56985424338,9798.781111728,9810.315114587,36.12207385221361,6.010164211751091,0.3672131277274478,0.6106324434553908
Options Summary,
Query Endpoint,http://ec2-52-23-231-173.compute-1.amazonaws.com:80/sparql/
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,9624.631380890001,9798.630461974,0.003479819,45.254618642000004
2,9627.014720417,9798.781111728,0.003312007,45.988295095
3,9636.977343515,9810.315114587,0.002996683,46.386459140999996
4,9628.662717387,9801.617020342,0.003416323,45.946632052
5,9646.563243021,9819.410870534999,0.003439518,47.790684150000004
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,67.20282839900001,16.800707099,67.263698639,97.094589338,16.815924659,24.273647334,1.6813884461864647E10,16.443091713999998,17.183774723,0.09144375971623024,0.30239669263441066,0.059467440552832936,0.0411969402966197,214.08278599019857,148.30898506783092
templated/C1/C1_split1.sparql,Remote SPARQL Query,65.468104225,16.367026056,65.50714356,95.420983927,16.37678589,23.855245981,1.6375613325107996E10,16.099146021,16.653002817,0.05119766915078716,0.22626901942331204,0.061062042742502994,0.04191950067488177,219.82335387301077,150.91020242957435
templated/C1/C1_split2.sparql,Remote SPARQL Query,66.10214996500001,16.525537490999998,66.15717926,96.86734448600001,16.539294815,24.216836121,1.6500386159978352E10,14.952959021,17.783519963,1.6910866001281692,1.3004178559709834,0.060462069948294825,0.04129358579310179,217.66345181386137,148.65690885516648
templated/C1/C1_split3.sparql,Remote SPARQL Query,62.407226014,15.601806503,62.493611526,90.58877699899999,15.623402881,22.647194249,1.5598939935682003E10,14.23405826,16.482183348,0.9900518926907723,0.9950135138231905,0.06400654246816641,0.044155580113159294,230.4235528853991,158.96008840737346
templated/C1/C1_split4.sparql,Remote SPARQL Query,65.539393573,16.384848393,65.58769236,92.34935008400001,16.39692309,23.087337521000002,1.6374528056978312E10,15.03049992,17.316683012000002,0.9538549489274936,0.9766549794720208,0.06098705193109495,0.043313786143179586,219.55338695194183,155.9296301154465
templated/C1/C1_split5.sparql,Remote SPARQL Query,64.622539225,16.155634806,64.689856663,97.344927095,16.172464165,24.336231772999998,1.6152946719566193E10,15.085668486000001,17.273189263,0.8410460817247097,0.9170856457958055,0.061833496107796135,0.04109099589976197,222.6005859880661,147.9275852391431
templated/C1/C1_split6.sparql,Remote SPARQL Query,67.446006788,16.861501697,67.492257189,93.74818026599999,16.873064297,23.437045066,1.686166723356738E10,16.25817976,17.795842686,0.5179490158860561,0.7196867484441104,0.05926605756950729,0.04266749486481531,213.35780725022624,153.60298151333512
templated/C1/C1_split7.sparql,Remote SPARQL Query,65.353006308,16.338251577,65.432391141,96.49132256600001,16.358097785,24.122830641,1.627319728688002E10,13.940245242000001,18.000877641,3.582526406995694,1.892756298892093,0.06113180231242884,0.04145450485816392,220.07448832474384,149.23621748939013
templated/C1/C1_split8.sparql,Remote SPARQL Query,66.622680633,16.655670158,66.66251601900001,93.652532777,16.665629004,23.413133193999997,1.6632454769054396E10,14.993340029999999,17.801875967,1.4279951109089644,1.1949874940387302,0.06000373581819115,0.04271107124851904,216.01344894548814,153.75985649466855
templated/C1/C1_split9.sparql,Remote SPARQL Query,65.26642175799999,16.316605439,65.323580929,96.221965298,16.330895232,24.055491324,1.6304063753630264E10,14.774572519,17.116907522,1.1225583720262788,1.059508552125125,0.06123363023237843,0.041570549798012515,220.44106883656235,149.65397927284505
templated/C1/C1_split10.sparql,Remote SPARQL Query,69.068077158,17.267019289,69.11331298099999,101.165109583,17.278328245,25.291277395,1.727762868222492E10,17.058890381,17.465547641,0.03218794091219368,0.17940997996821045,0.057875969585736965,0.039539323553412,208.35349050865307,142.34156479228318
templated/C1/C1_split11.sparql,Remote SPARQL Query,67.205722114,16.801430528,67.26467350200001,94.037927286,16.816168375,23.509481821,1.6795357422837725E10,15.578785553,17.690998763,0.9187159697394571,0.9584967239064812,0.05946657869379236,0.04253602897817779,214.0796832976525,153.12970432144004
templated/C1/C1_split12.sparql,Remote SPARQL Query,66.67174004,16.66793501,66.72107047200001,98.008396612,16.680267618000002,24.502099153,1.6662281390819221E10,15.502876686,17.612415272,0.7882980174042151,0.8878614854830764,0.0599510764995689,0.040812829699024444,215.82387539844802,146.92618691648798
templated/C1/C1_split13.sparql,Remote SPARQL Query,64.370791099,16.092697774,64.412732919,93.91713133200001,16.103183229,23.479282833000003,1.6099873602422384E10,15.574564281999999,16.442179199999998,0.140635913213313,0.3750145506687881,0.06209952316751348,0.042590738699842465,223.55828340304853,153.32665931943288
templated/C1/C1_split14.sparql,Remote SPARQL Query,67.14144369899999,16.785360924,67.208694639,98.017624231,16.802173659,24.504406057,1.6796261689020327E10,16.470681074,17.57542455,0.2700294048644698,0.5196435363443577,0.059516109063921914,0.040808987480614206,214.2579926301189,146.91235493021114
templated/C1/C1_split15.sparql,Remote SPARQL Query,67.580420969,16.895105242000003,67.658656296,98.51022037999999,16.914664074,24.627555094999998,1.690792885171975E10,16.440937918,17.719051984999997,0.30891044837912135,0.5557971287971191,0.05912029914546915,0.04060492388069105,212.83307692368894,146.17772597048778
templated/C1/C1_split16.sparql,Remote SPARQL Query,66.71420567300001,16.678551417999998,66.76924328700001,93.075252498,16.692310821,23.268813124,1.6689564931262533E10,16.320564889,17.129942318,0.12258750357692959,0.35012498279461524,0.059907822872668756,0.04297597796118688,215.66816234160754,154.71352066027276
templated/C1/C1_split17.sparql,Remote SPARQL Query,64.62926482,16.157316205,64.68412049700001,94.828063466,16.171030124,23.707015866000003,1.6161710627778378E10,15.328851379,16.771631837,0.39684728914494133,0.6299581645990004,0.0618389794794745,0.042181605886305346,222.62032612610818,151.85378119069927
