Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
826.822398327,137.80373305400002,913.003034888,1442.265092438,152.167172481,240.377515406,152.1648993814156,151.104745963,153.266367207,0.8303903427168602,0.9112575611301452,23.65819079965822,14.976442342868735
Options Summary,
Query Endpoint,http://ec2-52-90-96-178.compute-1.amazonaws.com:80/sparql/
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,3
Runs,10
Random Operation Order,true
Outliers,2
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,138.95415293099998,153.266367207,0.0026310950000000004,1.739916045
2,140.375653493,154.736101272,0.002266371,1.915534455
3,138.674389463,153.082715494,0.0022403400000000004,2.002716614
4,137.040205153,151.358391076,0.0023566850000000003,1.6768759439999998
5,139.35294057599998,153.664667827,0.002188067,1.854852727
6,136.82140324899999,151.104745963,0.002208099,1.7570075950000001
7,137.281859139,151.70023306299998,0.002578032,1.8041436739999999
8,138.050388392,152.490582085,0.0027077969999999996,2.044770785
9,126.63047612199999,140.945397858,0.0025412919999999997,1.611864102
10,126.25416451299999,140.564710736,0.002632368,1.625556467
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,0.11069663,0.012299625000000002,0.11196028599999999,0.175590018,0.012440030999999999,0.019510002,1.1645893943703027E7,0.008230848,0.020930955,2.6122357799314945E-5,0.005111003600009977,80.38565177208964,51.25576101939918,289388.3463795227,184520.73966983706
templated/C1/C1_split1.sparql,Remote SPARQL Query,0.074941505,0.008326833,0.076056345,0.121657071,0.008450705,0.013517452000000001,8448406.563697912,0.008255981,0.008945994,4.46995984062499E-8,2.1142279537989726E-4,118.33332248611211,73.9784391318719,425999.9609500036,266322.3808747388
templated/C1/C1_split2.sparql,Remote SPARQL Query,0.103733099,0.011525899000000001,0.104904077,0.168985945,0.011656008,0.018776216000000002,1.0734575669469433E7,0.008216572,0.021198579,3.089462990962703E-5,0.005558293794828322,85.79266589384633,53.25886749492017,308853.5972178468,191731.9229817126
templated/C1/C1_split3.sparql,Remote SPARQL Query,0.091095325,0.010121702000000002,0.092280856,0.172519947,0.010253428,0.019168883,9703152.418703958,0.008197935,0.021214103,1.8708306712954525E-5,0.004325310013508225,97.52835832074892,52.16788062194338,351102.08995469613,187804.37023899617
templated/C1/C1_split4.sparql,Remote SPARQL Query,0.118829617,0.013203290000000001,0.120786441,0.18904769300000002,0.013420715,0.021005299,1.2307807715059053E7,0.008226976,0.021458546,3.673883264518475E-5,0.006061256688607137,74.51167840163508,47.60703477727215,268242.0422458863,171385.32519817975
templated/C1/C1_split5.sparql,Remote SPARQL Query,0.083399659,0.009266628,0.084626262,0.130734248,0.009402918,0.014526026999999999,9328153.088478489,0.008407128,0.01196358,1.7040588184287503E-6,0.0013053960389202775,106.34996497895654,68.84194831800878,382859.87392424355,247831.0139448316
templated/C1/C1_split6.sparql,Remote SPARQL Query,0.089973286,0.009997031,0.09124447399999999,0.171847665,0.010138274,0.019094185,9596143.66817669,0.008225386999999999,0.021302425,1.8697047535068608E-5,0.004324008271854785,98.6361189291195,52.37196560104555,355090.0281448302,188539.076163764
templated/C1/C1_split7.sparql,Remote SPARQL Query,0.13366270700000002,0.014851411,0.13493496300000002,0.23059002899999997,0.014992773,0.025621113999999997,1.3699047553590715E7,0.00832945,0.02143466,4.06682561114035E-5,0.006377166777762951,66.69880214954232,39.030309142685994,240115.68773835234,140509.11291366958
templated/C1/C1_split8.sparql,Remote SPARQL Query,0.10390754699999999,0.011545283,0.10501714599999999,0.18517293599999998,0.011668571,0.02057477,1.0776548020585664E7,0.008266708,0.021170940000000003,2.9962018392275945E-5,0.005473757246378027,85.7002969772391,48.60321646365914,308521.0691180608,174971.5792691729
templated/C1/C1_split9.sparql,Remote SPARQL Query,0.07731269399999999,0.008590299,0.078527486,0.143146458,0.008725275999999999,0.015905162,8673112.32125396,0.008099583,0.011574916,1.1979623598649438E-6,0.001094514668638545,114.60955504444789,62.87266989169931,412594.39816001244,226341.6116101175
templated/C1/C1_split10.sparql,Remote SPARQL Query,0.08172489299999999,0.009080543,0.08296547800000001,0.147175155,0.009218386,0.016352795,9085821.672613868,0.008211238,0.012547767999999999,3.165410293313278E-6,0.0017791599965470439,108.47885953137566,61.1516257618346,390523.8943129524,220145.85274260456
templated/C1/C1_split11.sparql,Remote SPARQL Query,0.07608397700000001,0.008453775,0.077293264,0.11955619799999999,0.00858814,0.013284022,8584615.303412836,0.008330583,0.009011184,6.90679464905277E-8,2.628078128414901E-4,116.43964816595911,75.27840589243227,419182.7333974528,271002.2612127562
templated/C1/C1_split12.sparql,Remote SPARQL Query,0.07377307799999999,0.008197008,0.07486334700000001,0.12911104399999998,0.008318149,0.014345670999999999,8316824.105418472,0.008097156,0.008584251,2.494501816274996E-8,1.5793991947177244E-4,120.21905354183966,69.70743996568721,432788.5927506227,250946.78387647396
templated/C1/C1_split13.sparql,Remote SPARQL Query,0.086743499,0.009638166,0.087879137,0.151698165,0.009764348,0.016855350999999998,9576781.476265954,0.008196189999999999,0.013183631999999999,4.493002604142276E-6,0.0021196703998834997,102.41339206673092,59.32834029976594,368688.2114402313,213582.02507915738
templated/C1/C1_split14.sparql,Remote SPARQL Query,0.092732632,0.010303625,0.09393676200000001,0.15859260800000002,0.010437417999999999,0.017621400000000002,1.0198092587246612E7,0.00830323,0.014727024,5.944160935161998E-6,0.002438064998141353,95.80913593764282,56.74917997434936,344912.8893755142,204297.04790765772
templated/C1/C1_split15.sparql,Remote SPARQL Query,0.086088442,0.009565381999999999,0.087258501,0.151337794,0.009695389,0.01681531,9522695.780745517,0.008209212,0.012499473,4.075155024426501E-6,0.002018701321252478,103.14181308248693,59.46961429792255,371310.52709695295,214090.61147252118
templated/C1/C1_split16.sparql,Remote SPARQL Query,0.08425471,0.009361634,0.085408761,0.153346706,0.009489862,0.017038522,9354795.6178657,0.008211178999999999,0.012521978000000001,3.2081661817554997E-6,0.001791135444838134,105.375610309191,58.69053665570288,379352.19711308763,211285.93196053038
templated/C1/C1_split17.sparql,Remote SPARQL Query,0.088315277,0.009812808000000001,0.089489124,0.155882058,0.009943236000000001,0.017320228,9428682.787122492,0.008258535000000001,0.021134359,1.8000123411618748E-5,0.004242655231293105,100.5708805463332,57.73596051968831,362055.1699667995,207849.4578708779
