Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
5953.811982374001,1984.6039941239999,6063.43961756,4092.1401587240002,2021.146539186,1364.046719574,2021.1252467667352,2008.164387655,2029.20184997,128.8490249833396,11.351168441325308,1.7811672385961042,2.6392057899045436
Options Summary,
Query Endpoint,http://ec2-184-72-78-182.compute-1.amazonaws.com:80/sparql/
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,300s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,1971.551367476,2008.164387655,0.003977396,53.372012679
2,1970.1017629120001,2006.801402,0.0037237330000000003,55.742127231
3,1989.668111906,2026.073379935,0.00399868,55.571522399
4,1992.592502992,2029.20184997,0.0034360140000000003,54.890160533
5,2002.5708919869999,2039.431369924,0.003515795,57.188817784
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/C1/C1_split0.sparql,Remote SPARQL Query,199.686864074,49.921716018,199.71363330399998,300.58980770200003,49.928408325999996,75.147451925,4.9891985842393936E10,48.074759014,53.092190435,4.949169181163455,2.2246728256450328,0.020028677731335858,0.01330717109341296,72.1032398328091,47.90581593628665
templated/C1/C1_split1.sparql,Remote SPARQL Query,194.037843254,48.509460813,194.064285027,287.85400501000004,48.516071256000004,71.963501252,4.8496359071531E10,46.815565379,50.106234832,2.5471540719754686,1.5959805988718874,0.02061172667348512,0.013895933113346234,74.20221602454643,50.025359208046446
templated/C1/C1_split2.sparql,Remote SPARQL Query,192.009438047,48.002359511,192.035921412,273.068725255,48.008980353,68.267181313,4.800358125802085E10,47.293263552999996,48.903559742,0.6918469638284491,0.8317733849002679,0.02082943633976829,0.014648327069709728,74.98597082316584,52.733977450955024
templated/C1/C1_split3.sparql,Remote SPARQL Query,190.70662023900002,47.676655059,190.734192737,285.050957188,47.683548184,71.262739297,4.767539845840431E10,46.268809272,48.679329909,1.0275001939654298,1.013656842311751,0.020971593727489128,0.014032578734201112,75.49773741896085,50.517283443124
templated/C1/C1_split4.sparql,Remote SPARQL Query,199.752415494,49.938103873,199.779163262,299.015526839,49.944790815,74.753881709,4.9864388124907875E10,45.515540257,53.200080108,10.454507823926118,3.233343134269253,0.020022108085387524,0.013377231752228927,72.07958910739508,48.158034308024135
templated/C1/C1_split5.sparql,Remote SPARQL Query,199.300560359,49.825140089,199.32724316000002,264.728085646,49.831810790000006,66.182021411,4.982079293711307E10,48.318750433,50.982548345000005,1.4568429461557384,1.2069974921911555,0.020067502748679463,0.015109843711026206,72.24300989524606,54.39543735969434
templated/C1/C1_split6.sparql,Remote SPARQL Query,193.170610991,48.292652747,193.198385909,288.670006221,48.299596477,72.167501555,4.827572562899964E10,46.808684177,50.550141241,3.100597643058514,1.7608513972105977,0.020704106720150228,0.013856652626915234,74.53478419254083,49.88394945689484
templated/C1/C1_split7.sparql,Remote SPARQL Query,210.28252327,52.570630816999994,210.30899223400002,316.30277389900004,52.577248057999995,79.075693474,5.256940967608179E10,51.468968163,54.00426371,1.1052267649975387,1.0512976576581623,0.01901963371869257,0.012646111037000248,68.47068138729324,45.5259997332009
templated/C1/C1_split8.sparql,Remote SPARQL Query,197.280889213,49.320222303,197.30754060499999,294.10826941,49.326885151,73.527067352,4.926712580046761E10,46.430619048,52.367395291,7.864917657719829,2.804446051846929,0.020272920070642797,0.013600433636400148,72.98251225431407,48.96156109104053
templated/C1/C1_split9.sparql,Remote SPARQL Query,198.427083296,49.606770824,198.452934584,294.145685269,49.613233646,73.536421317,4.959511336979241E10,47.615171913,51.082988528,2.377959836647565,1.5420634995510285,0.02015591257637414,0.01359870363678987,72.56128527494691,48.955333092443524
templated/C1/C1_split10.sparql,Remote SPARQL Query,203.92344579299998,50.980861448000006,203.949926007,299.198282357,50.987481501000005,74.799570589,5.097637219901918E10,49.432228622000004,52.151472266,1.5023586525101178,1.2257074090133082,0.019612657275107564,0.01336906070617282,70.60556619038722,48.12861854222215
templated/C1/C1_split11.sparql,Remote SPARQL Query,193.734043084,48.433510771,193.761840522,204.861717439,48.44046013,51.215429359,4.843295396796685E10,47.355181513000005,49.343919782,0.9681462256856017,0.9839442187876312,0.02064389969286611,0.019525365939830234,74.318038894318,70.29131738338884
templated/C1/C1_split12.sparql,Remote SPARQL Query,198.262826286,49.565706571,198.299232976,267.21176826,49.574808244,66.802942065,4.95209813085205E10,46.912869877,53.15754747,7.218074356794045,2.6866474195163836,0.02017153541125455,0.014969400584587862,72.61752748051637,53.889842104516305
templated/C1/C1_split13.sparql,Remote SPARQL Query,189.491299309,47.372824826999995,189.518075103,285.93490873,47.379518774999994,71.483727182,4.735627346336284E10,45.903505214999996,49.745626683000005,2.9764495848521926,1.7252389935461674,0.021106166247675237,0.01398919781356624,75.98219849163085,50.361112128838464
templated/C1/C1_split14.sparql,Remote SPARQL Query,194.230727054,48.557681763,194.25730678099998,263.092840464,48.564326695000005,65.773210116,4.852189961759677E10,46.402577997,50.990484921000004,5.500051099102273,2.34521877425162,0.02059124604527784,0.01520375846391508,74.12848576300023,54.73353047009429
templated/C1/C1_split15.sparql,Remote SPARQL Query,207.38933668800001,51.847334172000004,207.416122822,307.455073196,51.854030705,76.863768299,5.1836431148062004E10,50.23664643,53.349095575,2.4312163766283392,1.5592358309852743,0.01928490391979452,0.01301003089140778,69.42565411126029,46.83611120906801
templated/C1/C1_split16.sparql,Remote SPARQL Query,207.136868145,51.784217036,207.16388058,307.204882312,51.790970145,76.801220578,5.177535427438481E10,50.294486956,53.278704052,2.1561414136214343,1.4683805411477755,0.019308385172169668,0.013020626397263976,69.51018661981081,46.87425503015031
templated/C1/C1_split17.sparql,Remote SPARQL Query,202.472782841,50.61819571,202.499007877,302.52975122500004,50.624751968999995,75.632437806,5.061627096953436E10,49.164321365000006,51.46313869,1.1353926306310593,1.06554804238526,0.01975318319805989,0.013221840112638402,71.1114595130156,47.59862440549825
templated/C1/C1_split18.sparql,Remote SPARQL Query,201.507781026,50.376945256,201.534596871,276.640615805,50.383649217,69.160153951,5.036703739284469E10,48.787476369000004,52.315351122,2.243873588609031,1.4979564708659032,0.019847708840879056,0.014459192799201987,71.4517518271646,52.05309407712715
templated/C1/C1_split19.sparql,Remote SPARQL Query,206.630719326,51.657679831,206.656642602,307.938347174,51.66416065,76.98458679299999,5.158007361029101E10,48.788108369,55.742127231,11.683658355624676,3.4181366788975356,0.01935577753356959,0.012989613137612209,69.68079912085052,46.76260729540395
templated/C2/C2_split0.sparql,Remote SPARQL Query,38.772516515,9.693129128,38.779589852,58.327990281,9.694897463,14.58199757,9.684516840615051E9,9.048509257,10.208111786,0.2654630464594035,0.5152310612331166,0.10314704243303661,0.06857770996048794,371.3293527589318,246.8797558577566
templated/C2/C2_split1.sparql,Remote SPARQL Query,44.038936932,11.009734233,44.045905143000006,67.893154741,11.011476285,16.973288685,1.0973714135909697E10,9.690666477,12.036622617999999,1.0835786775795528,1.040950852624442,0.09081434442738755,0.05891610156161083,326.9316399385952,212.097965621799
