Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
20628.00936396,6876.00312132,20629.777395383,18377.017677204003,6876.592465127,6125.672559068,6876.3666628343535,6827.341106475999,6954.649689762,4674.202280830613,68.36813790670777,0.5235151011575199,0.5876905703473853
Options Summary,
Query Endpoint,http://ec2-54-242-178-176.compute-1.amazonaws.com:80/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,1200s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,6748.39187292,6748.533814719,0.0013917139999999998,1200.001376516
2,6825.7294558779995,6827.341106475999,0.001388351,1200.000345566
3,6847.670304048,6847.786599145,0.001381265,1200.000476811
4,6954.609604034,6954.649689762,0.001380294,1200.000467969
5,6986.717643145,6988.248379796,0.0013886019999999998,1200.000465546
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/queries/xaa,Remote SPARQL Query,0.11315806,0.028289515,0.113327143,0.190533748,0.028331785,0.047633437,9584366.406126268,0.0016453260000000001,0.059393489,9.603007824538755E-4,0.030988720245500225,35.296046472186624,20.99365619995047,127065.76729987185,75577.16231982168
templated/queries/xab,Remote SPARQL Query,0.064320256,0.016080064,0.064589094,0.11139226499999999,0.016147272999999997,0.027848065999999998,6972691.998600793,0.0015217380000000001,0.034335486000000005,2.911148850823897E-4,0.017062089118346255,61.92996179602588,35.90913638311544,222947.86246569318,129272.89097921559
templated/queries/xac,Remote SPARQL Query,0.010952535,0.002738133,0.011020369,0.020522489,0.002755092,0.005130622,2205538.250787071,0.001419018,0.006337305,5.7347881249815835E-6,0.0023947417658239443,362.9642857661378,194.9081417418785,1306671.428758096,701669.3102707625
templated/queries/xad,Remote SPARQL Query,0.012474561,0.00311864,0.012560508,0.024125475,0.003140127,0.006031368,2743257.008296412,0.0015867359999999998,0.005186817999999999,3.235260402344667E-6,0.0017986829632663636,318.4584572534805,165.79986497258997,1146450.4461125298,596879.5139013239
templated/queries/xae,Remote SPARQL Query,0.031521222,0.007880305,0.031742484,0.046025825,0.007935621,0.011506456,6306795.517618473,0.0015576099999999999,0.010678559,1.827379120148333E-5,0.004274785515260776,126.0140825777844,86.90773249382781,453650.6972800238,312867.8369777801
templated/queries/xaf,Remote SPARQL Query,0.37359913899999997,0.093399784,0.37359913899999997,3.339176288,0.093399784,0.834794072,1.598059466973288E7,0.001625089,0.284426442,0.017796449291956135,0.13340333313660546,10.706662876222497,1.1979002170010618,38543.98635440099,4312.440781203823
templated/queries/xag,Remote SPARQL Query,0.260697871,0.06517446700000001,0.260949736,0.361127216,0.065237434,0.090281804,3.198540277284642E7,0.0016240410000000001,0.090726234,0.0018096031046154618,0.042539429998713685,15.328622520622133,11.076429088634518,55183.04107423968,39875.14471908426
templated/queries/xah,Remote SPARQL Query,0.020671698,0.005167924,0.02081039,0.072473739,0.005202597,0.018118434,4607704.938855099,0.001846486,0.007521755,5.910740398407E-6,0.002431201431063868,192.21169735038097,55.192407908983746,691962.1104613715,198692.6684723415
templated/queries/xai,Remote SPARQL Query,0.027872866,0.006968216,0.028104956,0.048369948999999995,0.007026239,0.012092487,5645309.943896975,0.001482232,0.010310257,1.4733758770515333E-5,0.003838457863584715,142.3236528105577,82.69597478169709,512365.1501180077,297705.5092141095
templated/queries/xaj,Remote SPARQL Query,0.6564656999999999,0.16411642499999998,0.656950239,1.197454466,0.164237559,0.299363616,1.4333107175082657E8,0.06059478,0.279051063,0.008135879346407955,0.09019910945462796,6.088741248279268,3.340419297981756,21919.468493805365,12025.509472734322
