Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
6.8860555539999995,2.295351851,6.8860555539999995,7149.115651073999,2.295351851,2383.038550358,2.2953326532958847,2.284608489,2.307484573,1.3227654431160435E-4,0.011501154042599566,1568.38699846022,1.5106763587434109
Options Summary,
Query Endpoint,http://ec2-54-175-153-239.compute-1.amazonaws.com:80/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,1200s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,2.309704245,2.309704245,0.0012662370000000001,0.020025377
2,2.284608489,2.284608489,0.001264836,0.014652858999999999
3,2.280949982,2.280949982,0.001267927,0.020320378
4,2.307484573,2.307484573,0.001272689,0.013799602999999999
5,2.293962492,2.293962492,0.001277846,0.019718695
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/queries/xaa,Remote SPARQL Query,0.006605511,0.001651377,0.006605511,0.015469851,0.001651377,0.0038674620000000003,1648168.1602976648,0.0015581179999999998,0.001817124,1.4518018434916666E-8,1.2049074003804885E-4,605.5552426853468,258.56750499423134,2179998.8736672485,930843.0179792328
templated/queries/xab,Remote SPARQL Query,0.00594754,0.001486885,0.00594754,0.011379232,0.001486885,0.002844808,1486187.5732758152,0.001438918,0.001559164,2.799767934E-9,5.2912833358269515E-5,672.5469689989475,351.5175716603722,2421169.0883962107,1265463.25797734
templated/queries/xac,Remote SPARQL Query,0.006330541,0.001582635,0.006330541,0.010699498,0.001582635,0.002674874,1574556.0741522904,0.001446409,0.001854748,3.6029271276916665E-8,1.8981378052427246E-4,631.8576298388447,373.84938505514657,2274687.467419841,1345857.7861985276
templated/queries/xad,Remote SPARQL Query,0.005709337,0.0014273340000000002,0.005709337,0.00979068,0.0014273340000000002,0.00244767,1427136.8140029628,0.001403175,0.001462278,7.547651742499986E-10,2.747298990372178E-5,700.6068656670407,408.5518064118121,2522184.7164013465,1470786.5030825234
templated/queries/xae,Remote SPARQL Query,0.005996747,0.001499186,0.005996747,0.011049937,0.001499186,0.002762484,1498492.6253829962,0.001446833,0.001567412,2.7960546149166666E-9,5.287773269455363E-5,667.0286408757819,361.99304683755634,2401303.107152815,1303174.968615203
templated/queries/xaf,Remote SPARQL Query,0.00712434,0.001781085,0.00712434,0.016872808,0.001781085,0.004218202,1776258.6076197822,0.0016576,0.002006535,2.3966649740666665E-8,1.5481165893002592E-4,561.4555172830045,237.06783127029004,2021239.862218816,853444.1925730442
templated/queries/xag,Remote SPARQL Query,0.006087431999999999,0.0015218579999999998,0.006087431999999999,0.013450545999999999,0.0015218579999999998,0.003362636,1521460.552118467,0.001479179,0.001575508,1.6232279406666638E-9,4.028930305511208E-5,657.0915289074277,297.38574142428735,2365529.5040667397,1070588.6691274345
templated/queries/xah,Remote SPARQL Query,0.006034434,0.001508608,0.006034434,0.010205249999999999,0.001508608,0.0025513119999999996,1504944.6455502077,0.001414415,0.001678599,1.5192528501666666E-8,1.2325797540794944E-4,662.862718479552,391.95519795305324,2386305.786526387,1411038.7126309916
templated/queries/xai,Remote SPARQL Query,0.005817091999999999,0.0014542729999999999,0.005817091999999999,0.010505164,0.0014542729999999999,0.002626291,1453730.1961996641,0.001399358,0.001511582,2.107301154E-9,4.590534994965183E-5,687.6288014698754,380.7651170414855,2475463.6852915515,1370754.4213493478
templated/queries/xaj,Remote SPARQL Query,0.009240498,0.002310124,0.009240498,0.042016170000000005,0.002310124,0.010504042,2304191.077707195,0.0021104929999999997,0.00247898,3.637245990833335E-8,1.907156519752203E-4,432.8771962024549,95.20144721431997,1558357.9063288376,342725.2099715519
