Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
304.345373489,101.448457829,304.345373489,9168.123346166,101.448457829,3056.041115388,101.44845141224779,101.41193981100001,101.497590137,0.0019533347949010653,0.04419654731877893,35.48600025116307,1.1779946224784146
Options Summary,
Query Endpoint,http://ec2-52-87-187-104.compute-1.amazonaws.com:8890/sparql
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,2
Warmups,1
Runs,5
Random Operation Order,true
Outliers,1
Timeout,1200s
Max Delay between Operations,1000s
Result Limit,Query Specified
Result Counting Limit,Disabled
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,8
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,101.393514595,101.393514595,0.081516712,0.09343705699999999
2,101.435843541,101.435843541,0.08165592499999999,0.112388087
3,101.504584751,101.504584751,0.08154937,0.111299526
4,101.497590137,101.497590137,0.08161478999999999,0.133612624
5,101.41193981100001,101.41193981100001,0.08157276799999999,0.094440863
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
templated/queries/xaa,Remote SPARQL Query,0.331278706,0.082819676,0.331278706,0.517671254,0.082819676,0.129417813,8.281962645194387E7,0.082714214,0.082920368,1.1053053199E-8,1.0513350179176948E-4,12.074425405866114,7.726911596010358,43467.93146111801,27816.88174563729
templated/queries/xab,Remote SPARQL Query,0.33125298299999995,0.082813245,0.33125298299999995,0.504298955,0.082813245,0.126074738,8.281310993371479E7,0.08257333,0.08298686200000001,2.997013969758413E-8,1.731188600285484E-4,12.075363065413027,7.931803118242451,43471.3070354869,28554.491225672824
templated/queries/xac,Remote SPARQL Query,0.330681784,0.082670446,0.330681784,0.499332206,0.082670446,0.124833051,8.26703125728203E7,0.082499804,0.082891652,2.9428394365333026E-8,1.715470616633611E-4,12.096221181630012,8.01069902553291,43546.39625386804,28838.516491918475
templated/queries/xad,Remote SPARQL Query,0.330637485,0.082659371,0.330637485,0.499666559,0.082659371,0.12491663900000001,8.265923407150443E7,0.08241164399999999,0.082787785,3.020616877025E-8,1.7379921970552686E-4,12.097841876875643,8.005338664291152,43552.23075675232,28819.219191448145
templated/queries/xae,Remote SPARQL Query,0.330851684,0.082712921,0.330851684,0.501648231,0.082712921,0.125412057,8.271285244856678E7,0.082561986,0.082835588,1.5116772758666668E-8,1.229502857201506E-4,12.090009491987352,7.973714999348109,43524.03417115447,28705.373997653194
templated/queries/xaf,Remote SPARQL Query,0.331579006,0.082894751,0.331579006,0.521138183,0.082894751,0.130284545,8.289469100284436E7,0.08278551899999999,0.083043777,1.3377550742999766E-8,1.1566136236012338E-4,12.063490003124564,7.675507482487658,43428.56401124843,27631.826936955567
templated/queries/xag,Remote SPARQL Query,0.331255576,0.082813894,0.331255576,0.5146156519999999,0.082813894,0.12865391299999998,8.281388505162571E7,0.08276716999999999,0.08287415199999999,1.976442676666633E-9,4.445720050415493E-5,12.075268432613493,7.77279117814318,43470.96635740858,27982.048241315446
templated/queries/xah,Remote SPARQL Query,0.330538494,0.082634623,0.330538494,0.49883595000000003,0.082634623,0.124708987,8.263455732318461E7,0.082464525,0.082738134,1.4573082761666666E-8,1.2071902402548931E-4,12.101465023928286,8.018668293729306,43565.274086141835,28867.2058574255
templated/queries/xai,Remote SPARQL Query,0.330589498,0.082647374,0.330589498,0.49853959600000003,0.082647374,0.12463489900000001,8.264723275885347E7,0.082432193,0.082819519,3.1228604699667373E-8,1.7671616988738573E-4,12.099597986017075,8.023434912881022,43558.552749661474,28884.36568637168
templated/queries/xaj,Remote SPARQL Query,0.331983274,0.082995818,0.331983274,1.1986848950000002,0.082995818,0.299671223,8.29944721613464E7,0.082682413,0.083813793,2.9925636800366765E-7,5.470432962788847E-4,12.048799856397585,3.3369904189966215,43375.6794830313,12013.165508387838
