sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag
Flu_N1_64_Ont_Def_2	queries/xtf	1	warmup	1	1	0.027565891000000002	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xpd	1	warmup	2	5	0.014655360999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xdg	1	warmup	3	1	0.010933730000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzado	1	warmup	4	0	0.012384703	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xck	1	warmup	5	1	0.788722851	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xai	1	warmup	6	1	0.011840144	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xku	1	warmup	7	1	0.008482103999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xke	1	warmup	8	1	2.2313796590000003	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzasc	1	warmup	9	0	0.020522208	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzaej	1	warmup	10	1	0.049488712	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzabs	1	warmup	11	1	0.009404734	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xyg	1	warmup	12	0	0.008356608	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xwm	1	warmup	13	1	0.024739249999999997	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xhp	1	warmup	14	1	0.010360766	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xux	1	warmup	15	1	0.009187084	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xsx	1	warmup	16	0	0.009921659999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzaut	1	warmup	17	3	65.746667202	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzapu	1	warmup	18	1	0.010703149	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xex	1	warmup	19	1	1.06783381	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzano	1	warmup	20	1	0.037045813000000004	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xem	1	warmup	21	1	0.008986011	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xal	1	warmup	22	1	0.008963473000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzard	1	warmup	23	1	678.691093401	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzamz	1	warmup	24	1	0.013984893	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzank	1	warmup	25	1	0.009021915	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xkd	1	warmup	26	2	0.008778301	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xqm	1	warmup	27	1	2.067440922	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzahb	1	warmup	28	20	1.083863459	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xlq	1	warmup	29	1	0.008520096999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzagx	1	warmup	30	0	0.010685412	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xve	1	warmup	31	1	0.013837388	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xrv	1	warmup	32	1	1.150406172	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzadb	1	warmup	33	0	0.286655916	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzamf	1	warmup	34	14	0.5602648779999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xgb	1	warmup	35	0	0.010285367	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xwn	1	warmup	36	0	0.008850277	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzagk	1	warmup	37	1	0.015833451000000002	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xwg	1	warmup	38	1	0.008037657	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzahq	1	warmup	39	0	0.008751989	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzaud	1	warmup	40	1	65.371367647	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xqj	1	warmup	41	3	0.011855029999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xnp	1	warmup	42	0	0.009385567	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xdp	1	warmup	43	0	0.23678431900000002	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xnk	1	warmup	44	0	0.008954717000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzatz	1	warmup	45	0	0.009299695	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzafr	1	warmup	46	0	0.010463374	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xfh	1	warmup	47	1	0.008312004	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xco	1	warmup	48	6	0.009660899	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzajm	1	warmup	49	1	1.785822512	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xcm	1	warmup	50	1	0.024492263	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzagn	1	warmup	51	2	91.133798829	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzase	1	warmup	52	1	0.024165517	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xaw	1	warmup	53	1	0.011022469	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzahf	1	warmup	54	1	0.012204429	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xra	1	warmup	55	1	0.008128034	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xqg	1	warmup	56	1	0.007686594000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xwd	1	warmup	57	0	0.009746026000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xpj	1	warmup	58	1	0.008592034	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzavy	1	warmup	59	2	0.008500942999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xpq	1	warmup	60	1	0.010502591	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xqq	1	warmup	61	1	0.008272165	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xdi	1	warmup	62	0	0.009363835999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzasl	1	warmup	63	1	0.007569006	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzaqc	1	warmup	64	-1	-1	ERROR
Flu_N1_64_Ont_Def_2	queries/xzajh	1	warmup	65	1	0.009200672	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzasp	1	warmup	66	0	0.008526083	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzaoa	1	warmup	67	1	0.007408280000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzamh	1	warmup	68	1	0.009088203999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xkl	1	warmup	69	1	0.038086365999999997	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzavb	1	warmup	70	1001	0.059365012	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzauo	1	warmup	71	0	0.008521515	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xtc	1	warmup	72	1	0.008145665	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xyj	1	warmup	73	0	0.008411324000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzagw	1	warmup	74	1	0.008519721000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzahg	1	warmup	75	1	0.05338111	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xaf	1	warmup	76	0	0.203704296	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xjo	1	warmup	77	1	1.361258	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xeu	1	warmup	78	1	0.022136041999999998	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xjg	1	warmup	79	1	8.134254146	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xss	1	warmup	80	1	8.145317903	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzagb	1	warmup	81	0	0.010424639000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xlk	1	warmup	82	1	1142.083683887	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xag	1	warmup	83	1	0.484244371	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xft	1	warmup	84	1	0.008944945000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xyw	1	warmup	85	1	0.020657411	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzagu	1	warmup	86	2	4.624343627	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzasd	1	warmup	87	1	0.012302184	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xtz	1	warmup	88	1	0.7492149010000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xcc	1	warmup	89	10	0.018011453	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xjp	1	warmup	90	16	2.297231753	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzaip	1	warmup	91	1	0.010330199	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xsb	1	warmup	92	1	0.05715816	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xhs	1	warmup	93	1	0.007061875	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xuy	1	warmup	94	0	0.0068342049999999994	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzafx	1	warmup	95	0	0.008929361	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xhb	1	warmup	96	1	0.0066387239999999995	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xev	1	warmup	97	1	0.461786881	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzabq	1	warmup	98	1	0.007264700999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzade	1	warmup	99	1	0.011894399	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzajp	1	warmup	100	1	0.008452548	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzamy	1	warmup	101	1	13.960275019000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzavt	1	warmup	102	1	210.470354926	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xfw	1	warmup	103	1	2.180808147	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xht	1	warmup	104	0	0.249178341	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzakr	1	warmup	105	1	0.006955510000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xak	1	warmup	106	1	1.2584480960000002	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xyb	1	warmup	107	0	0.008548375	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzake	1	warmup	108	1	0.413557217	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzarx	1	warmup	109	2	0.008328568000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzarl	1	warmup	110	0	0.009650909000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xnh	1	warmup	111	0	0.007895622	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xit	1	warmup	112	1	0.019772806	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xpe	1	warmup	113	1	0.022050319999999998	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzadu	1	warmup	114	1	0.005839123	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xhr	1	warmup	115	1	0.02719574	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzady	1	warmup	116	1	2.174481826	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzadz	1	warmup	117	0	0.009566709	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xub	1	warmup	118	1	0.007642144	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzalx	1	warmup	119	1	0.00626321	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzaaz	1	warmup	120	0	0.007444578	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xdq	1	warmup	121	1	0.007921207	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzalg	1	warmup	122	0	0.008450530000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xaz	1	warmup	123	1	0.008413361	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xfe	1	warmup	124	1	0.009048752	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xis	1	warmup	125	2	0.009748165999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzakf	1	warmup	126	1	2.143715396	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xgm	1	warmup	127	0	0.010037072999999999	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzauf	1	warmup	128	1	0.033189343	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xut	1	warmup	129	1	3.763265837	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzadn	1	warmup	130	5	0.016180117	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzahj	1	warmup	131	3	68.42350952700001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzaiv	1	warmup	132	0	0.010771076000000001	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xlv	1	warmup	133	0	0.008305994	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xep	1	warmup	134	1	0.011308695	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xnq	1	warmup	135	1	3.06066306	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzapk	1	warmup	136	0	0.008162502	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xar	1	warmup	137	1	0.022339618000000002	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xhg	1	warmup	138	1	0.008358679	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzadt	1	warmup	139	1	0.030833209	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xsh	1	warmup	140	1	0.009994712	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xcl	1	warmup	141	1	0.218435011	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xin	1	warmup	142	0	0.007955446	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xyc	1	warmup	143	1	2.117795965	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzavm	1	warmup	144	1	0.010440494	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xab	1	warmup	145	2	0.040591512	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzasv	1	warmup	146	0	0.008893224	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xli	1	warmup	147	0	0.308187975	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzadi	1	warmup	148	1	0.048251342999999995	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xtb	1	warmup	149	1	0.033222427000000006	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzaer	1	warmup	150	1	0.570017825	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzald	1	warmup	151	1	0.022087838000000002	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzatk	1	warmup	152	0	0.007124326	SUCCESS
Flu_N1_64_Ont_Def_2	queries/xzaei	1	warmup	153	1	0.030581596000000003	SUCCESS
