sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag
Flu_N3_64_W100_Def	F1/F1_split11.sparql	1	warmup	1	2	8.646807594	SUCCESS
Flu_N3_64_W100_Def	S4/S4_split2.sparql	1	warmup	2	0	6.27947014	SUCCESS
Flu_N3_64_W100_Def	F4/F4_split14.sparql	1	warmup	3	299	6.934620978	SUCCESS
Flu_N3_64_W100_Def	S3/S3_split9.sparql	1	warmup	4	0	13.365095899	SUCCESS
Flu_N3_64_W100_Def	C2/C2_split18.sparql	1	warmup	5	22	251.371213238	SUCCESS
Flu_N3_64_W100_Def	L5/L5_split19.sparql	1	warmup	6	2681	35.87338796	SUCCESS
Flu_N3_64_W100_Def	L3/L3_split9.sparql	1	warmup	7	34	0.15200771	SUCCESS
Flu_N3_64_W100_Def	S2/S2_split6.sparql	1	warmup	8	346	5.694649801	SUCCESS
Flu_N3_64_W100_Def	S4/S4_split8.sparql	1	warmup	9	34	90.06443236599999	SUCCESS
Flu_N3_64_W100_Def	C2/C2_split5.sparql	1	warmup	10	22	251.672540487	SUCCESS
Flu_N3_64_W100_Def	L4/L4_split18.sparql	1	warmup	11	628	3.850347895	SUCCESS
Flu_N3_64_W100_Def	F5/F5_split15.sparql	1	warmup	12	55	0.6881170019999999	SUCCESS
Flu_N3_64_W100_Def	S6/S6_split10.sparql	1	warmup	13	72	3.963975147	SUCCESS
Flu_N3_64_W100_Def	L1/L1_split18.sparql	1	warmup	14	0	0.072680938	SUCCESS
Flu_N3_64_W100_Def	S7/S7_split19.sparql	1	warmup	15	0	0.128263093	SUCCESS
Flu_N3_64_W100_Def	L2/L2_split16.sparql	1	warmup	16	1906	25.384001471	SUCCESS
Flu_N3_64_W100_Def	S3/S3_split5.sparql	1	warmup	17	0	14.650057124000002	SUCCESS
Flu_N3_64_W100_Def	L2/L2_split18.sparql	1	warmup	18	1906	24.518181102	SUCCESS
Flu_N3_64_W100_Def	S6/S6_split3.sparql	1	warmup	19	1	0.17292564300000002	SUCCESS
Flu_N3_64_W100_Def	S7/S7_split1.sparql	1	warmup	20	1	0.0365999	SUCCESS
Flu_N3_64_W100_Def	S5/S5_split1.sparql	1	warmup	21	0	11.373950888	SUCCESS
Flu_N3_64_W100_Def	C1/C1_split18.sparql	1	warmup	22	199	37.316532221	SUCCESS
Flu_N3_64_W100_Def	S5/S5_split2.sparql	1	warmup	23	0	10.959568699	SUCCESS
Flu_N3_64_W100_Def	F1/F1_split0.sparql	1	warmup	24	19	11.483606265	SUCCESS
Flu_N3_64_W100_Def	F5/F5_split1.sparql	1	warmup	25	15	0.181161128	SUCCESS
Flu_N3_64_W100_Def	S5/S5_split7.sparql	1	warmup	26	341	13.311283437	SUCCESS
Flu_N3_64_W100_Def	F1/F1_split13.sparql	1	warmup	27	0	7.403776866	SUCCESS
Flu_N3_64_W100_Def	L2/L2_split8.sparql	1	warmup	28	118	24.433089259	SUCCESS
Flu_N3_64_W100_Def	F2/F2_split2.sparql	1	warmup	29	124	10.567410858999999	SUCCESS
Flu_N3_64_W100_Def	S3/S3_split4.sparql	1	warmup	30	0	14.124140471999999	SUCCESS
Flu_N3_64_W100_Def	S4/S4_split10.sparql	1	warmup	31	0	7.823574426	SUCCESS
Flu_N3_64_W100_Def	C2/C2_split15.sparql	1	warmup	32	22	255.91584762899998	SUCCESS
Flu_N3_64_W100_Def	C2/C2_split1.sparql	1	warmup	33	22	255.273224556	SUCCESS
Flu_N3_64_W100_Def	L3/L3_split4.sparql	1	warmup	34	53	0.060985579	SUCCESS
Flu_N3_64_W100_Def	C2/C2_split16.sparql	1	warmup	35	22	255.890153525	SUCCESS
Flu_N3_64_W100_Def	S1/S1_split19.sparql	1	warmup	36	12	1.090170876	SUCCESS
Flu_N3_64_W100_Def	F3/F3_split11.sparql	1	warmup	37	29	0.7192859549999999	SUCCESS
Flu_N3_64_W100_Def	S3/S3_split18.sparql	1	warmup	38	0	14.701148773000002	SUCCESS
Flu_N3_64_W100_Def	S1/S1_split5.sparql	1	warmup	39	5	0.318079301	SUCCESS
