sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
Bla_N1_32_W1000_Def	F3/F3_split71.sparql	1	warmup	1	375	10.498607854	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F3/F3_split71.sparql	1	warmup	873	375	3.507295565	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F3/F3_split71.sparql	96	stress	925	375	13.151181955	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F3/F3_split71.sparql	98	stress	821	375	13.072199950999998	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F3/F3_split71.sparql	97	stress	212	375	37.731054363000005	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split37.sparql	1	warmup	2	71	0.237529542	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split37.sparql	1	warmup	974	71	0.103027836	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split37.sparql	96	stress	943	71	0.5682171079999999	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split37.sparql	98	stress	1729	71	0.952094833	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split37.sparql	97	stress	1849	71	1.172348025	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F5/F5_split19.sparql	1	warmup	3	62	0.46536239799999995	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F5/F5_split19.sparql	1	warmup	996	62	0.18322402699999998	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F5/F5_split19.sparql	96	stress	1651	62	2.97960608	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F5/F5_split19.sparql	98	stress	1925	62	1.72956074	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F5/F5_split19.sparql	97	stress	411	62	0.77608645	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F1/F1_split21.sparql	1	warmup	4	5	9.788816817999999	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F1/F1_split21.sparql	96	stress	342	5	26.125331469000002	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F1/F1_split21.sparql	98	stress	1192	5	0.9511802079999999	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F1/F1_split21.sparql	97	stress	1226	5	0.651024143	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F5/F5_split29.sparql	1	warmup	5	47	0.437491405	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F5/F5_split29.sparql	96	stress	688	47	1.7281541850000002	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F5/F5_split29.sparql	98	stress	1693	47	2.410221143	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F5/F5_split29.sparql	97	stress	1572	47	2.3122174419999997	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C1/C1_split26.sparql	1	warmup	6	1424	150.249567353	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C1/C1_split26.sparql	96	stress	1951	1424	11.212872925	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C1/C1_split26.sparql	98	stress	1884	1424	12.209851640999998	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C1/C1_split26.sparql	97	stress	209	1424	7.63535013	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C3/C3_split99.sparql	1	warmup	7	-1	300.0	TIMEOUT	INCORRECT
Bla_N1_32_W1000_Def	C3/C3_split99.sparql	96	stress	1099	-1	300.0	TIMEOUT	INCORRECT
Bla_N1_32_W1000_Def	C3/C3_split99.sparql	98	stress	137	-1	300.0	TIMEOUT	INCORRECT
Bla_N1_32_W1000_Def	C3/C3_split99.sparql	97	stress	478	-1	300.0	TIMEOUT	INCORRECT
Bla_N1_32_W1000_Def	L3/L3_split25.sparql	1	warmup	8	70	0.549253544	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split25.sparql	96	stress	388	70	1.997455789	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split25.sparql	98	stress	1338	70	1.499889883	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split25.sparql	97	stress	1994	70	0.64993398	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C2/C2_split56.sparql	1	warmup	9	-1	300.0	TIMEOUT	INCORRECT
Bla_N1_32_W1000_Def	C2/C2_split56.sparql	96	stress	1579	342	55.282847974	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C2/C2_split56.sparql	98	stress	285	-1	300.0	TIMEOUT	INCORRECT
Bla_N1_32_W1000_Def	C2/C2_split56.sparql	97	stress	531	342	47.466547373000004	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C1/C1_split67.sparql	1	warmup	10	1424	6.453224124	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C1/C1_split67.sparql	96	stress	1832	1424	6.044521607999999	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C1/C1_split67.sparql	98	stress	585	1424	7.104309657000001	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C1/C1_split67.sparql	97	stress	860	1424	7.888558371	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	C3/C3_split51.sparql	1	warmup	11	-1	300.0	TIMEOUT	INCORRECT
Bla_N1_32_W1000_Def	C3/C3_split51.sparql	96	stress	881	-1	300.0	TIMEOUT	INCORRECT
Bla_N1_32_W1000_Def	C3/C3_split51.sparql	98	stress	1999	-1	300.0	TIMEOUT	INCORRECT
Bla_N1_32_W1000_Def	C3/C3_split51.sparql	97	stress	311	-1	300.0	TIMEOUT	INCORRECT
Bla_N1_32_W1000_Def	L3/L3_split38.sparql	1	warmup	12	30	1.526035971	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split38.sparql	96	stress	1823	30	1.964817655	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split38.sparql	98	stress	1004	30	1.331782016	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L3/L3_split38.sparql	97	stress	1428	30	2.075387386	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S5/S5_split92.sparql	1	warmup	13	0	14.628091650999998	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S5/S5_split92.sparql	96	stress	912	0	11.314891889	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S5/S5_split92.sparql	98	stress	2000	0	1.565818898	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S5/S5_split92.sparql	97	stress	1067	0	0.6815457239999999	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F2/F2_split2.sparql	1	warmup	14	29	3.745725221	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F2/F2_split2.sparql	96	stress	778	29	5.582062859	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F2/F2_split2.sparql	98	stress	143	29	11.622356307	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F2/F2_split2.sparql	97	stress	977	29	6.8603603810000005	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S3/S3_split41.sparql	1	warmup	15	0	53.053499884	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S3/S3_split41.sparql	96	stress	188	0	36.997559884000005	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S3/S3_split41.sparql	98	stress	952	0	14.288395454000002	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S3/S3_split41.sparql	97	stress	333	0	51.096364611999995	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S6/S6_split4.sparql	1	warmup	16	36	2.166393941	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S6/S6_split4.sparql	96	stress	541	36	6.480048751	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S6/S6_split4.sparql	98	stress	652	36	6.332921138	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S6/S6_split4.sparql	97	stress	1972	36	9.167819063	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S6/S6_split67.sparql	1	warmup	17	129	4.515522048	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S6/S6_split67.sparql	96	stress	954	129	4.0312302	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S6/S6_split67.sparql	98	stress	1689	129	4.364428637	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S6/S6_split67.sparql	97	stress	356	129	11.800279283	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F4/F4_split45.sparql	1	warmup	18	2722	25.725084937	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F4/F4_split45.sparql	96	stress	649	2722	57.44731893300001	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F4/F4_split45.sparql	98	stress	1149	2722	32.093036125	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F4/F4_split45.sparql	97	stress	303	2722	124.39133249700001	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F2/F2_split16.sparql	1	warmup	19	14	1.7973301899999998	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F2/F2_split16.sparql	96	stress	1397	14	7.302920610999999	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F2/F2_split16.sparql	98	stress	634	14	2.782516783	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	F2/F2_split16.sparql	97	stress	825	14	2.804902738	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L2/L2_split33.sparql	1	warmup	20	2063	39.077884465	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L2/L2_split33.sparql	96	stress	184	2063	5.355045819	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L2/L2_split33.sparql	98	stress	1244	2063	134.96199161500002	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L2/L2_split33.sparql	97	stress	1141	2063	76.469566269	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L4/L4_split16.sparql	1	warmup	21	5810	75.282196528	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L4/L4_split16.sparql	96	stress	1181	5810	153.896946761	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L4/L4_split16.sparql	98	stress	1719	5810	176.46680585	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	L4/L4_split16.sparql	97	stress	1640	5810	184.061597837	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S2/S2_split92.sparql	1	warmup	22	4417	43.299137914	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S2/S2_split92.sparql	96	stress	374	4417	97.892619109	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S2/S2_split92.sparql	98	stress	1142	4417	5.211615367	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S2/S2_split92.sparql	97	stress	1300	4417	89.518649118	SUCCESS	CORRECT
Bla_N1_32_W1000_Def	S3/S3_split84.sparql	1	warmup	23	0	12.133983436	SUCCESS	CORRECT
