sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
ES_N1_64_Ont_Def	queries/xzasi	1	warmup	1	1	4.327735604000002	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzasi	53	stress	1029	1	13.472665145	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzasi	51	stress	601	1	28.591349735999998	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzasi	52	stress	1179	1	29.814030512	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzasi	49	stress	777	-1	-1.0	ERROR	INCORRECT
ES_N1_64_Ont_Def	queries/xzasi	50	stress	357	1	127.481508818	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzaqx	1	warmup	2	0	0.10097303	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzaqx	53	stress	727	-1	1200.0	TIMEOUT	INCORRECT
ES_N1_64_Ont_Def	queries/xzaqx	51	stress	228	0	6.192855088	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzaqx	52	stress	756	0	0.578661484	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzaqx	49	stress	72	0	3.659633387	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzaqx	50	stress	877	-1	1200.0	TIMEOUT	INCORRECT
ES_N1_64_Ont_Def	queries/xzafb	1	warmup	3	0	0.068252429	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzafb	53	stress	89	0	0.51148287	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzafb	51	stress	411	0	1.377274535	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzafb	52	stress	413	0	0.91890673	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzafb	49	stress	167	0	2.387739921	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xzafb	50	stress	41	0	0.43540788	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xsc	1	warmup	4	0	0.114804183	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xsc	53	stress	61	0	0.634270754	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xsc	51	stress	686	0	0.8707354810000001	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xsc	52	stress	155	0	1.5836589	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xsc	49	stress	177	0	71.84321559000001	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xsc	50	stress	684	0	0.490755368	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xbk	1	warmup	5	1	4.105375544	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xbk	53	stress	51	1	50.092181395	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xbk	51	stress	1036	1	11.703530532	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xbk	52	stress	436	-1	1200.0	TIMEOUT	INCORRECT
ES_N1_64_Ont_Def	queries/xbk	49	stress	251	1	53.253986086000005	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xbk	50	stress	463	-1	1200.0	TIMEOUT	INCORRECT
ES_N1_64_Ont_Def	queries/xzaru	1	warmup	6	-1	-1.0	ERROR	INCORRECT
ES_N1_64_Ont_Def	queries/xzaru	53	stress	347	-1	-1.0	ERROR	INCORRECT
ES_N1_64_Ont_Def	queries/xzaru	51	stress	669	-1	-1.0	ERROR	INCORRECT
ES_N1_64_Ont_Def	queries/xzaru	52	stress	256	-1	1200.0	TIMEOUT	INCORRECT
ES_N1_64_Ont_Def	queries/xzaru	49	stress	558	-1	-1.0	ERROR	INCORRECT
ES_N1_64_Ont_Def	queries/xzaru	50	stress	633	-1	-1.0	ERROR	INCORRECT
ES_N1_64_Ont_Def	queries/xrz	1	warmup	7	1	0.049937726	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xrz	53	stress	447	-1	1200.0	TIMEOUT	INCORRECT
ES_N1_64_Ont_Def	queries/xrz	51	stress	639	1	0.334566622	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xrz	52	stress	1123	1	0.232145422	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xrz	49	stress	1163	1	0.398561832	SUCCESS	CORRECT
ES_N1_64_Ont_Def	queries/xrz	50	stress	936	1	0.430550373	SUCCESS	CORRECT
