sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
ES_N1_64_W1000_Def	F5/F5_split0.sparql	1	warmup	1	37	1.90878398	SUCCESS	CORRECT
ES_N1_64_W1000_Def	F5/F5_split0.sparql	57	stress	228	37	2.3819220810000004	SUCCESS	CORRECT
ES_N1_64_W1000_Def	F5/F5_split0.sparql	53	stress	65	37	2.19262169	SUCCESS	CORRECT
ES_N1_64_W1000_Def	F5/F5_split0.sparql	55	stress	198	37	2.439400788	SUCCESS	CORRECT
ES_N1_64_W1000_Def	F5/F5_split0.sparql	56	stress	85	37	2.603253901	SUCCESS	CORRECT
ES_N1_64_W1000_Def	F5/F5_split0.sparql	54	stress	262	37	1.597482251	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S7/S7_split15.sparql	1	warmup	2	2	0.295053715	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S7/S7_split15.sparql	57	stress	395	2	0.578172157	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S7/S7_split15.sparql	53	stress	41	2	0.496711467	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S7/S7_split15.sparql	55	stress	189	2	0.438991609	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S7/S7_split15.sparql	56	stress	31	2	0.288174445	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S7/S7_split15.sparql	54	stress	214	2	0.5974456810000001	SUCCESS	CORRECT
ES_N1_64_W1000_Def	C3/C3_split15.sparql	1	warmup	3	-1	300.0	TIMEOUT	INCORRECT
ES_N1_64_W1000_Def	C3/C3_split15.sparql	57	stress	175	-1	300.0	TIMEOUT	INCORRECT
ES_N1_64_W1000_Def	C3/C3_split15.sparql	53	stress	256	-1	300.0	TIMEOUT	INCORRECT
ES_N1_64_W1000_Def	C3/C3_split15.sparql	55	stress	179	-1	300.0	TIMEOUT	INCORRECT
ES_N1_64_W1000_Def	C3/C3_split15.sparql	56	stress	346	-1	300.0	TIMEOUT	INCORRECT
ES_N1_64_W1000_Def	C3/C3_split15.sparql	54	stress	308	-1	300.0	TIMEOUT	INCORRECT
ES_N1_64_W1000_Def	S2/S2_split9.sparql	1	warmup	4	3380	17.357819372	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S2/S2_split9.sparql	57	stress	268	3380	50.937765268	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S2/S2_split9.sparql	53	stress	43	3380	28.361505403000002	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S2/S2_split9.sparql	55	stress	180	3380	53.826609355	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S2/S2_split9.sparql	56	stress	14	3380	39.283478098	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S2/S2_split9.sparql	54	stress	57	3380	53.612637497	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S5/S5_split1.sparql	1	warmup	5	0	26.266220823	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S5/S5_split1.sparql	57	stress	249	0	21.040503469	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S5/S5_split1.sparql	53	stress	254	0	20.711634725	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S5/S5_split1.sparql	55	stress	209	0	197.702813652	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S5/S5_split1.sparql	56	stress	24	0	15.737509992	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S5/S5_split1.sparql	54	stress	96	0	169.361349881	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S4/S4_split6.sparql	1	warmup	6	114	25.594113757	SUCCESS	CORRECT
ES_N1_64_W1000_Def	S4/S4_split6.sparql	57	stress	394	114	34.850439318	SUCCESS	CORRECT
