sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
Flu_N3_64_W1000_Def	L4/L4_split4.sparql	1	warmup	1	5952	37.702362819	SUCCESS	CORRECT
Flu_N3_64_W1000_Def	L4/L4_split4.sparql	426	stress	50	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split4.sparql	429	stress	227	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split4.sparql	434	stress	310	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split4.sparql	427	stress	172	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split4.sparql	428	stress	284	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S5/S5_split4.sparql	1	warmup	2	0	112.30699760799999	SUCCESS	CORRECT
Flu_N3_64_W1000_Def	S5/S5_split4.sparql	426	stress	399	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S5/S5_split4.sparql	429	stress	42	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	S5/S5_split4.sparql	434	stress	106	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S5/S5_split4.sparql	427	stress	33	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	S5/S5_split4.sparql	428	stress	370	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F4/F4_split10.sparql	1	warmup	3	2203	61.347327	SUCCESS	CORRECT
Flu_N3_64_W1000_Def	F4/F4_split10.sparql	426	stress	238	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F4/F4_split10.sparql	429	stress	259	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F4/F4_split10.sparql	434	stress	89	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F4/F4_split10.sparql	427	stress	297	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F4/F4_split10.sparql	428	stress	377	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F2/F2_split1.sparql	1	warmup	4	793	60.748212102	SUCCESS	CORRECT
Flu_N3_64_W1000_Def	F2/F2_split1.sparql	426	stress	183	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F2/F2_split1.sparql	429	stress	354	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F2/F2_split1.sparql	434	stress	55	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	F2/F2_split1.sparql	427	stress	91	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F2/F2_split1.sparql	428	stress	195	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	C3/C3_split4.sparql	1	warmup	5	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	C3/C3_split4.sparql	426	stress	48	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	C3/C3_split4.sparql	429	stress	187	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	C3/C3_split4.sparql	434	stress	241	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	C3/C3_split4.sparql	427	stress	113	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	C3/C3_split4.sparql	428	stress	54	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	L5/L5_split2.sparql	1	warmup	6	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	L5/L5_split2.sparql	426	stress	282	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L5/L5_split2.sparql	429	stress	163	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L5/L5_split2.sparql	434	stress	326	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L5/L5_split2.sparql	427	stress	260	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L5/L5_split2.sparql	428	stress	315	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L1/L1_split18.sparql	1	warmup	7	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	L1/L1_split18.sparql	426	stress	388	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L1/L1_split18.sparql	429	stress	274	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L1/L1_split18.sparql	434	stress	357	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L1/L1_split18.sparql	427	stress	287	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L1/L1_split18.sparql	428	stress	394	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split10.sparql	1	warmup	8	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split10.sparql	426	stress	137	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split10.sparql	429	stress	341	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split10.sparql	434	stress	167	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split10.sparql	427	stress	86	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split10.sparql	428	stress	232	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split15.sparql	1	warmup	9	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split15.sparql	426	stress	270	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split15.sparql	429	stress	24	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split15.sparql	434	stress	12	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split15.sparql	427	stress	183	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split15.sparql	428	stress	334	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split1.sparql	1	warmup	10	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split1.sparql	426	stress	63	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split1.sparql	429	stress	169	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split1.sparql	434	stress	3	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split1.sparql	427	stress	266	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L4/L4_split1.sparql	428	stress	226	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	C1/C1_split1.sparql	1	warmup	11	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	C1/C1_split1.sparql	426	stress	363	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	C1/C1_split1.sparql	429	stress	349	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	C1/C1_split1.sparql	434	stress	218	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	C1/C1_split1.sparql	427	stress	300	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	C1/C1_split1.sparql	428	stress	9	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	L3/L3_split2.sparql	1	warmup	12	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	L3/L3_split2.sparql	426	stress	160	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L3/L3_split2.sparql	429	stress	260	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L3/L3_split2.sparql	434	stress	84	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L3/L3_split2.sparql	427	stress	222	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L3/L3_split2.sparql	428	stress	253	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S6/S6_split15.sparql	1	warmup	13	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	S6/S6_split15.sparql	426	stress	276	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S6/S6_split15.sparql	429	stress	266	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S6/S6_split15.sparql	434	stress	237	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S6/S6_split15.sparql	427	stress	11	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	S6/S6_split15.sparql	428	stress	305	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split3.sparql	1	warmup	14	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split3.sparql	426	stress	252	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split3.sparql	429	stress	173	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split3.sparql	434	stress	329	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split3.sparql	427	stress	147	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split3.sparql	428	stress	264	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split18.sparql	1	warmup	15	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split18.sparql	426	stress	134	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split18.sparql	429	stress	70	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split18.sparql	434	stress	298	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split18.sparql	427	stress	149	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	S2/S2_split18.sparql	428	stress	182	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F3/F3_split9.sparql	1	warmup	16	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	F3/F3_split9.sparql	426	stress	248	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F3/F3_split9.sparql	429	stress	211	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	F3/F3_split9.sparql	434	stress	34	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	F3/F3_split9.sparql	427	stress	64	-1	300.0	TIMEOUT	INCORRECT
Flu_N3_64_W1000_Def	F3/F3_split9.sparql	428	stress	133	-1	-1.0	ERROR	INCORRECT
Flu_N3_64_W1000_Def	L2/L2_split8.sparql	1	warmup	17	-1	300.0	TIMEOUT	INCORRECT
