sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
Fus_N1_64_Ont_Def	queries/xhf	1	warmup	1	0	0.281765686	SUCCESS	CORRECT
Fus_N1_64_Ont_Def	queries/xhf	536	stress	240	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xhf	533	stress	15	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzany	1	warmup	2	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzany	538	stress	18	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzany	533	stress	4	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xrr	1	warmup	3	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzark	1	warmup	4	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzape	1	warmup	5	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzape	536	stress	89	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzack	1	warmup	6	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzack	537	stress	205	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzack	535	stress	52	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xuj	1	warmup	7	0	0.017050155	SUCCESS	CORRECT
Fus_N1_64_Ont_Def	queries/xuj	535	stress	186	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzauh	1	warmup	8	1	0.011952997	SUCCESS	CORRECT
Fus_N1_64_Ont_Def	queries/xzauh	535	stress	32	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xwd	1	warmup	9	146	0.910000413	SUCCESS	INCORRECT
Fus_N1_64_Ont_Def	queries/xzajc	1	warmup	10	0	0.010266175	SUCCESS	CORRECT
Fus_N1_64_Ont_Def	queries/xzali	1	warmup	11	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzali	538	stress	190	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzali	536	stress	236	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzali	533	stress	282	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xgd	1	warmup	12	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xgd	538	stress	283	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xgd	535	stress	53	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xvo	1	warmup	13	1	0.083522442	SUCCESS	CORRECT
Fus_N1_64_Ont_Def	queries/xvo	537	stress	66	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xvo	533	stress	55	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xvo	535	stress	179	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaqd	1	warmup	14	1	0.076341174	SUCCESS	CORRECT
Fus_N1_64_Ont_Def	queries/xzaqd	538	stress	123	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzabj	1	warmup	15	1344	8.160655495	SUCCESS	INCORRECT
Fus_N1_64_Ont_Def	queries/xzabj	538	stress	272	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xsg	1	warmup	16	1	0.009885799999999998	SUCCESS	CORRECT
Fus_N1_64_Ont_Def	queries/xsg	535	stress	197	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaff	1	warmup	17	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaff	536	stress	208	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzamv	1	warmup	18	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzakz	1	warmup	19	1	0.098535656	SUCCESS	INCORRECT
Fus_N1_64_Ont_Def	queries/xzajd	1	warmup	20	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzajd	538	stress	256	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzajd	535	stress	238	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzafi	1	warmup	21	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzafi	537	stress	164	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xvn	1	warmup	22	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xvn	537	stress	283	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xyt	1	warmup	23	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzasc	1	warmup	24	0	0.060382687000000004	SUCCESS	INCORRECT
Fus_N1_64_Ont_Def	queries/xzabg	1	warmup	25	1	0.04697433	SUCCESS	CORRECT
Fus_N1_64_Ont_Def	queries/xkh	1	warmup	26	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzavl	1	warmup	27	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzavl	536	stress	258	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzavl	535	stress	222	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzajf	1	warmup	28	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzajf	535	stress	253	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xjb	1	warmup	29	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xcn	1	warmup	30	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xcn	537	stress	2	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xcn	535	stress	224	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaar	1	warmup	31	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaar	538	stress	150	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaar	533	stress	10	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaln	1	warmup	32	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaln	537	stress	209	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaln	538	stress	45	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzang	1	warmup	33	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzang	533	stress	26	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzapv	1	warmup	34	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzapv	538	stress	121	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzapv	536	stress	17	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzapv	533	stress	37	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzanw	1	warmup	35	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzanw	538	stress	169	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzanw	536	stress	192	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xcp	1	warmup	36	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xcp	533	stress	249	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xcp	535	stress	203	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xnm	1	warmup	37	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xnm	535	stress	205	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xhl	1	warmup	38	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xhl	538	stress	267	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xhl	533	stress	146	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzabo	1	warmup	39	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaeq	1	warmup	40	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xsc	1	warmup	41	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xsc	537	stress	280	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xuh	1	warmup	42	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xuh	536	stress	131	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xuh	533	stress	94	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xpm	1	warmup	43	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xpm	538	stress	260	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xpx	1	warmup	44	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xpx	536	stress	189	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xpx	535	stress	169	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzalm	1	warmup	45	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaqc	1	warmup	46	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzapm	1	warmup	47	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xef	1	warmup	48	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xnz	1	warmup	49	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzawa	1	warmup	50	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzawa	536	stress	106	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xos	1	warmup	51	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xbq	1	warmup	52	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xho	1	warmup	53	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xho	536	stress	243	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaeu	1	warmup	54	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xkv	1	warmup	55	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xkv	538	stress	229	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaai	1	warmup	56	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xnj	1	warmup	57	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xnj	537	stress	235	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaub	1	warmup	58	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzauc	1	warmup	59	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzauc	533	stress	34	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzauc	535	stress	149	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xxz	1	warmup	60	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzagn	1	warmup	61	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzagn	537	stress	113	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xib	1	warmup	62	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xib	536	stress	184	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xin	1	warmup	63	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xin	538	stress	263	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xin	536	stress	24	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xin	535	stress	223	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaor	1	warmup	64	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaor	538	stress	258	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xcq	1	warmup	65	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xjj	1	warmup	66	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xjj	535	stress	248	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xtm	1	warmup	67	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xtm	537	stress	128	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xtm	536	stress	85	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzavk	1	warmup	68	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzavk	536	stress	68	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzavk	533	stress	58	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaoo	1	warmup	69	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xas	1	warmup	70	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xas	537	stress	122	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xas	535	stress	73	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzafj	1	warmup	71	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xsq	1	warmup	72	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzalc	1	warmup	73	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzalc	536	stress	110	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzavz	1	warmup	74	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzavz	537	stress	114	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xkb	1	warmup	75	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xkb	536	stress	251	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xkb	533	stress	96	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xxa	1	warmup	76	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xxa	535	stress	51	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzadk	1	warmup	77	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzadk	538	stress	191	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xrv	1	warmup	78	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xjw	1	warmup	79	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xjw	538	stress	264	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xjw	536	stress	165	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaqg	1	warmup	80	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzaqg	537	stress	126	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xzagv	1	warmup	81	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xzagv	536	stress	224	-1	1200.0	TIMEOUT	INCORRECT
Fus_N1_64_Ont_Def	queries/xen	1	warmup	82	-1	-1.0	ERROR	INCORRECT
Fus_N1_64_Ont_Def	queries/xen	538	stress	232	-1	1200.0	TIMEOUT	INCORRECT
