sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
Gra_N1_64_W1000_Opt	S4/S4_split8.sparql	1	warmup	1	10	1.065069501	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S4/S4_split8.sparql	32	stress	48	10	0.360404581	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S4/S4_split8.sparql	34	stress	147	10	0.36191352200000004	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S4/S4_split8.sparql	35	stress	196	10	0.437745355	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S4/S4_split8.sparql	36	stress	230	10	0.379783854	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S4/S4_split8.sparql	33	stress	199	10	0.44566177100000004	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	F1/F1_split8.sparql	1	warmup	2	166	3.801639802	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	F1/F1_split8.sparql	32	stress	160	166	0.5602678499999999	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	F1/F1_split8.sparql	34	stress	158	166	0.45800860200000004	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	F1/F1_split8.sparql	35	stress	201	166	0.432234406	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	F1/F1_split8.sparql	36	stress	23	166	0.26074848100000003	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	F1/F1_split8.sparql	33	stress	205	166	0.458306014	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split10.sparql	1	warmup	3	1616	4.3347164409999985	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split10.sparql	32	stress	328	1616	2.2783502	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split10.sparql	34	stress	216	1616	1.561187423	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split10.sparql	35	stress	52	1616	0.554713607	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split10.sparql	36	stress	137	1616	0.886131837	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split10.sparql	33	stress	60	1616	1.7372113519999999	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split18.sparql	1	warmup	4	5814	9.775980039	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split18.sparql	32	stress	338	5814	9.762398345	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split18.sparql	34	stress	204	5814	4.010716698	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split18.sparql	35	stress	76	5814	3.697346869	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split18.sparql	36	stress	325	5814	6.080687155	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split18.sparql	33	stress	361	5814	7.558381886	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L1/L1_split2.sparql	1	warmup	5	7	0.048761512	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L1/L1_split2.sparql	32	stress	108	7	0.005036792	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L1/L1_split2.sparql	34	stress	81	7	0.006092303	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L1/L1_split2.sparql	35	stress	182	7	0.005155661000000001	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L1/L1_split2.sparql	36	stress	233	7	0.016329978999999998	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L1/L1_split2.sparql	33	stress	47	7	0.012455083	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split12.sparql	1	warmup	6	852	1.054974539	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split12.sparql	32	stress	276	852	0.7236209240000001	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split12.sparql	34	stress	231	852	0.536114533	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split12.sparql	35	stress	39	852	0.214882077	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split12.sparql	36	stress	400	852	0.797281975	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split12.sparql	33	stress	314	852	0.866733341	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split8.sparql	1	warmup	7	1567	3.823521651	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split8.sparql	32	stress	127	1567	0.8565804530000001	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split8.sparql	34	stress	239	1567	1.644506966	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split8.sparql	35	stress	187	1567	1.1394139090000002	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split8.sparql	36	stress	80	1567	0.7363293270000001	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split8.sparql	33	stress	275	1567	1.7660521830000002	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split12.sparql	1	warmup	8	5788	8.878610415999997	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split12.sparql	32	stress	16	5788	0.45774593799999996	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split12.sparql	34	stress	146	5788	2.507996554	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split12.sparql	35	stress	111	5788	3.5700440010000003	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split12.sparql	36	stress	209	5788	4.126738825	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split12.sparql	33	stress	130	5788	2.579767371	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	C1/C1_split11.sparql	1	warmup	9	1424	53.48095213	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	C1/C1_split11.sparql	32	stress	310	1424	42.372661171	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	C1/C1_split11.sparql	34	stress	13	1424	37.677028547	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	C1/C1_split11.sparql	35	stress	308	1424	43.074599178	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	C1/C1_split11.sparql	36	stress	208	1424	41.72659172	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	C1/C1_split11.sparql	33	stress	98	1424	42.35612496	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	C3/C3_split10.sparql	1	warmup	10	-1	300.0	TIMEOUT	INCORRECT
Gra_N1_64_W1000_Opt	C3/C3_split10.sparql	32	stress	26	-1	300.0	TIMEOUT	INCORRECT
Gra_N1_64_W1000_Opt	C3/C3_split10.sparql	34	stress	330	-1	300.0	TIMEOUT	INCORRECT
Gra_N1_64_W1000_Opt	C3/C3_split10.sparql	35	stress	105	-1	300.0	TIMEOUT	INCORRECT
Gra_N1_64_W1000_Opt	C3/C3_split10.sparql	36	stress	293	-1	300.0	TIMEOUT	INCORRECT
Gra_N1_64_W1000_Opt	C3/C3_split10.sparql	33	stress	344	-1	300.0	TIMEOUT	INCORRECT
Gra_N1_64_W1000_Opt	L2/L2_split9.sparql	1	warmup	11	3191	4.027303968	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split9.sparql	32	stress	380	3191	3.6548211960000003	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split9.sparql	34	stress	232	3191	2.151370318	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split9.sparql	35	stress	127	3191	1.7575995180000001	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split9.sparql	36	stress	45	3191	0.712873237	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split9.sparql	33	stress	375	3191	2.243278174	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split15.sparql	1	warmup	12	80	0.16751518599999998	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split15.sparql	32	stress	346	80	0.179773212	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split15.sparql	34	stress	341	80	0.208457565	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split15.sparql	35	stress	217	80	0.12081174199999999	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split15.sparql	36	stress	193	80	0.05938903	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	S6/S6_split15.sparql	33	stress	76	80	0.027648189	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split1.sparql	1	warmup	13	5894	15.859290819000002	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split1.sparql	32	stress	85	5894	1.514910234	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split1.sparql	34	stress	338	5894	7.235130627999999	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split1.sparql	35	stress	50	5894	4.172957297	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split1.sparql	36	stress	256	5894	4.1818897690000005	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split1.sparql	33	stress	172	5894	3.57935622	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split16.sparql	1	warmup	14	16363	21.780956934000002	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split16.sparql	32	stress	118	16363	5.400232312999999	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split16.sparql	34	stress	400	16363	16.423858495999998	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split16.sparql	35	stress	247	16363	21.398513645	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split16.sparql	36	stress	367	16363	16.470399328	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L2/L2_split16.sparql	33	stress	319	16363	13.495636175	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split5.sparql	1	warmup	15	5814	12.422192011	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split5.sparql	32	stress	294	5814	6.863537271999999	SUCCESS	CORRECT
Gra_N1_64_W1000_Opt	L4/L4_split5.sparql	34	stress	380	5814	6.731437027	SUCCESS	CORRECT
