sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
LDF_N3_64_W100_Def	C2/C2_split7.sparql	1	warmup	1	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C2/C2_split7.sparql	117	stress	3	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C2/C2_split7.sparql	116	stress	210	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C2/C2_split7.sparql	114	stress	35	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C2/C2_split7.sparql	115	stress	160	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C2/C2_split7.sparql	112	stress	178	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	S4/S4_split19.sparql	1	warmup	2	10	60.74550148	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S4/S4_split19.sparql	117	stress	358	10	46.374309181	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S4/S4_split19.sparql	116	stress	369	10	66.223066278	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S4/S4_split19.sparql	114	stress	361	10	33.469323779	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S4/S4_split19.sparql	115	stress	122	10	58.67802416	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S4/S4_split19.sparql	112	stress	185	10	76.760865638	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split0.sparql	1	warmup	3	34	20.225038009000002	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split0.sparql	117	stress	273	34	32.523393018	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split0.sparql	116	stress	208	34	34.56910308	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split0.sparql	114	stress	281	34	32.219185941	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split0.sparql	115	stress	20	34	38.544379586000005	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split0.sparql	112	stress	83	34	19.270164132999998	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split0.sparql	1	warmup	4	249	56.05558209	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split0.sparql	117	stress	172	249	112.906140826	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split0.sparql	116	stress	249	249	105.47950914100001	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split0.sparql	114	stress	201	249	32.405326143	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split0.sparql	115	stress	16	249	98.587867746	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split0.sparql	112	stress	314	249	63.345245105	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F1/F1_split8.sparql	1	warmup	5	0	30.360113886	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F1/F1_split8.sparql	117	stress	305	0	34.722857207000004	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F1/F1_split8.sparql	116	stress	362	0	31.25730454	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F1/F1_split8.sparql	114	stress	85	0	19.310764016	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F1/F1_split8.sparql	115	stress	288	0	17.623445463	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F1/F1_split8.sparql	112	stress	383	0	24.716411779	SUCCESS	CORRECT
LDF_N3_64_W100_Def	C3/C3_split15.sparql	1	warmup	6	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C3/C3_split15.sparql	117	stress	5	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C3/C3_split15.sparql	116	stress	122	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C3/C3_split15.sparql	114	stress	323	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C3/C3_split15.sparql	115	stress	78	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C3/C3_split15.sparql	112	stress	33	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C1/C1_split10.sparql	1	warmup	7	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C1/C1_split10.sparql	117	stress	208	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C1/C1_split10.sparql	116	stress	145	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C1/C1_split10.sparql	114	stress	324	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C1/C1_split10.sparql	115	stress	254	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	C1/C1_split10.sparql	112	stress	212	-1	300.0	TIMEOUT	INCORRECT
LDF_N3_64_W100_Def	F2/F2_split3.sparql	1	warmup	8	7	6.6696665920000004	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split3.sparql	117	stress	333	7	14.920473889	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split3.sparql	116	stress	271	7	4.956824773999999	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split3.sparql	114	stress	343	7	3.482056577	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split3.sparql	115	stress	68	7	12.167221887	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F2/F2_split3.sparql	112	stress	3	7	6.979975492	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split7.sparql	1	warmup	9	113	20.220355187000003	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split7.sparql	117	stress	226	113	14.637469883	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split7.sparql	116	stress	42	113	14.701602022000001	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split7.sparql	114	stress	21	113	13.422405534000001	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split7.sparql	115	stress	216	113	15.49042208	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split7.sparql	112	stress	14	113	39.6969896	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F5/F5_split14.sparql	1	warmup	10	41	2.039308732	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F5/F5_split14.sparql	117	stress	117	41	4.158684378999999	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F5/F5_split14.sparql	116	stress	192	41	2.46150435	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F5/F5_split14.sparql	114	stress	178	41	4.278810417	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F5/F5_split14.sparql	115	stress	107	41	3.0486783889999995	SUCCESS	CORRECT
LDF_N3_64_W100_Def	F5/F5_split14.sparql	112	stress	182	41	1.600781781	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L1/L1_split4.sparql	1	warmup	11	1	0.7062599390000001	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L1/L1_split4.sparql	117	stress	263	1	0.6879362729999999	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L1/L1_split4.sparql	116	stress	163	1	1.989475645	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L1/L1_split4.sparql	114	stress	152	1	0.6489486729999999	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L1/L1_split4.sparql	115	stress	264	1	0.616254376	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L1/L1_split4.sparql	112	stress	272	1	0.6205281779999999	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S7/S7_split11.sparql	1	warmup	12	0	0.35199481200000005	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S7/S7_split11.sparql	117	stress	314	0	0.32189187	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S7/S7_split11.sparql	116	stress	360	0	0.317956542	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S7/S7_split11.sparql	114	stress	364	0	0.3626083	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S7/S7_split11.sparql	115	stress	117	0	0.322382881	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S7/S7_split11.sparql	112	stress	325	0	0.363370665	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L4/L4_split9.sparql	1	warmup	13	569	55.64513912899999	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L4/L4_split9.sparql	117	stress	11	569	58.130097318000004	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L4/L4_split9.sparql	116	stress	72	569	35.322102113	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L4/L4_split9.sparql	114	stress	91	569	33.775360000999996	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L4/L4_split9.sparql	115	stress	340	569	82.70690420000003	SUCCESS	CORRECT
LDF_N3_64_W100_Def	L4/L4_split9.sparql	112	stress	176	569	44.953929271999996	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split9.sparql	1	warmup	14	109	17.86183591	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split9.sparql	117	stress	49	109	27.548014611	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split9.sparql	116	stress	240	109	36.248279328	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split9.sparql	114	stress	307	109	13.277526367	SUCCESS	CORRECT
LDF_N3_64_W100_Def	S2/S2_split9.sparql	115	stress	94	109	19.662598877	SUCCESS	CORRECT
