sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
Vir_N1_32_Ont_Opt	queries/xzadq	1	warmup	1	0	0.008964334000000001	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzadq	17	stress	766	0	0.004940626	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzadq	13	stress	830	0	0.0035135059999999996	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzadq	19	stress	105	0	0.0036203529999999998	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzadq	18	stress	1090	0	0.0031013	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzadq	20	stress	1090	0	0.00321209	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xbg	1	warmup	2	1	0.007244969	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xbg	17	stress	196	1	0.0037800209999999997	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xbg	13	stress	531	1	0.005257935	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xbg	19	stress	158	1	0.005197594	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xbg	18	stress	232	1	0.005789557	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xbg	20	stress	1053	1	0.005348689	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xki	1	warmup	3	0	0.006560456	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xki	17	stress	177	0	0.002396499	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xki	13	stress	336	0	0.002676852	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xki	19	stress	309	0	0.003371578	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xki	18	stress	50	0	0.003336026	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xki	20	stress	97	0	0.00236336	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xzaev	1	warmup	4	1	3.896563511	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzaev	17	stress	76	1	1.176029465	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzaev	13	stress	582	1	1.24127828	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzaev	19	stress	628	1	1.689622217	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzaev	18	stress	546	1	1.1841736719999998	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzaev	20	stress	1046	1	1.235713917	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzass	1	warmup	5	1	0.011432101	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzass	17	stress	690	1	0.011154011	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzass	13	stress	690	1	0.01154272	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzass	19	stress	296	1	0.010123086	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzass	18	stress	762	1	0.011449023999999999	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xzass	20	stress	1104	1	0.021805099	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xda	1	warmup	6	0	0.004726318	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xda	17	stress	977	0	0.002608123	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xda	13	stress	623	0	0.003227324	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xda	19	stress	163	0	0.0028578410000000003	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xda	18	stress	813	0	0.003555525	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xda	20	stress	1048	0	0.002770769	SUCCESS	INCORRECT
Vir_N1_32_Ont_Opt	queries/xdf	1	warmup	7	0	0.004326013	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xdf	17	stress	134	0	0.003175719	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xdf	13	stress	361	0	0.003009276	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xdf	19	stress	515	0	0.002491684	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xdf	18	stress	957	0	0.002323983	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xdf	20	stress	972	0	0.0031441430000000003	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xtf	1	warmup	8	1	0.006831126999999999	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xtf	17	stress	843	1	0.006936159	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xtf	13	stress	1018	1	0.004105405	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xtf	19	stress	397	1	0.002431018	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xtf	18	stress	899	1	0.006792311999999999	SUCCESS	CORRECT
Vir_N1_32_Ont_Opt	queries/xtf	20	stress	375	1	0.004751399999999999	SUCCESS	CORRECT
