sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
Vir_N1_32_W1000_Def_RERUN	S5/S5_split71.sparql	1	warmup	1	0	0.758813815	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S5/S5_split71.sparql	17	stress	940	0	0.15477549699999998	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S5/S5_split71.sparql	13	stress	1498	0	0.141208867	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S5/S5_split71.sparql	19	stress	355	0	0.21353748	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S5/S5_split71.sparql	14	stress	306	0	0.183857312	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S5/S5_split71.sparql	20	stress	1313	0	0.203741923	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S7/S7_split99.sparql	1	warmup	2	0	0.735292478	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S7/S7_split99.sparql	17	stress	652	0	0.005818659	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S7/S7_split99.sparql	13	stress	1564	0	0.005061414	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S7/S7_split99.sparql	19	stress	1177	0	0.006430888	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S7/S7_split99.sparql	14	stress	677	0	0.006051459	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S7/S7_split99.sparql	20	stress	538	0	0.006828562	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L3/L3_split93.sparql	1	warmup	3	63	1.08033231	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L3/L3_split93.sparql	17	stress	1799	63	0.009584832	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L3/L3_split93.sparql	13	stress	108	63	0.009447728	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L3/L3_split93.sparql	19	stress	548	63	0.00909175	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L3/L3_split93.sparql	14	stress	548	63	0.006353308	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L3/L3_split93.sparql	20	stress	1501	63	0.009348853	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split49.sparql	1	warmup	4	342	25.43265007	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split49.sparql	17	stress	947	342	18.791030374	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split49.sparql	13	stress	97	342	15.838866992	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split49.sparql	19	stress	900	342	17.165636287	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split49.sparql	14	stress	10	342	17.366443108	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split49.sparql	20	stress	1530	342	16.628538367	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split83.sparql	1	warmup	5	1048576	31.704252345	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split83.sparql	17	stress	25	1048576	38.116560516999996	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split83.sparql	13	stress	682	1048576	39.887000531999995	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split83.sparql	19	stress	352	1048576	33.103407525	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split83.sparql	14	stress	608	1048576	42.249100696999996	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split83.sparql	20	stress	166	1048576	41.971214818	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split12.sparql	1	warmup	6	342	12.480430747	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split12.sparql	17	stress	1849	342	13.313327787	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split12.sparql	13	stress	987	342	17.678321596	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split12.sparql	19	stress	1240	342	17.988072585999998	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split12.sparql	14	stress	1163	342	16.781651558	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C2/C2_split12.sparql	20	stress	1309	342	19.11670184	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split43.sparql	1	warmup	7	1048576	29.020817059000002	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split43.sparql	17	stress	1701	1048576	43.378882407	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split43.sparql	13	stress	1846	1048576	37.539019073000006	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split43.sparql	19	stress	37	1048576	38.999161588	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split43.sparql	14	stress	40	1048576	43.734087476999996	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	C3/C3_split43.sparql	20	stress	135	1048576	35.456332922	SUCCESS	INCORRECT
Vir_N1_32_W1000_Def_RERUN	F1/F1_split22.sparql	1	warmup	8	303	1.033190331	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F1/F1_split22.sparql	17	stress	216	303	0.150991536	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F1/F1_split22.sparql	13	stress	178	303	0.191516709	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F1/F1_split22.sparql	19	stress	577	303	0.099397767	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F1/F1_split22.sparql	14	stress	1014	303	0.08696264199999999	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F1/F1_split22.sparql	20	stress	494	303	0.117775866	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F3/F3_split70.sparql	1	warmup	9	5105	3.982132535	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F3/F3_split70.sparql	17	stress	648	5105	1.4495481780000001	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F3/F3_split70.sparql	13	stress	1566	5105	1.214371398	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F3/F3_split70.sparql	19	stress	858	5105	0.642806957	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F3/F3_split70.sparql	14	stress	1929	5105	1.3318353040000002	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F3/F3_split70.sparql	20	stress	22	5105	1.129981838	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F2/F2_split55.sparql	1	warmup	10	14	6.6015490660000005	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F2/F2_split55.sparql	17	stress	506	14	6.715850535	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F2/F2_split55.sparql	13	stress	1860	14	6.5508037130000005	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F2/F2_split55.sparql	19	stress	420	14	7.165615547000001	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F2/F2_split55.sparql	14	stress	651	14	6.736958955	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	F2/F2_split55.sparql	20	stress	54	14	8.200590531	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L4/L4_split3.sparql	1	warmup	11	5851	4.951071413999999	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L4/L4_split3.sparql	17	stress	316	5851	0.688773057	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L4/L4_split3.sparql	13	stress	1303	5851	0.44127445299999996	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L4/L4_split3.sparql	19	stress	261	5851	0.48240522	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L4/L4_split3.sparql	14	stress	99	5851	0.5174638779999999	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	L4/L4_split3.sparql	20	stress	1644	5851	0.571185057	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S3/S3_split54.sparql	1	warmup	12	0	9.297436149	SUCCESS	CORRECT
Vir_N1_32_W1000_Def_RERUN	S3/S3_split54.sparql	17	stress	1049	0	0.363162513	SUCCESS	CORRECT
