sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
Vir_N1_64_Ont_Opt_VWall	queries/xkq	1	warmup	1	1	11.361988970999999	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xkq	41	stress	643	1	1.895047454	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xkq	38	stress	190	1	1.798360247	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xkq	37	stress	1015	1	1.9252970090000001	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xkq	40	stress	411	1	1.7398746349999998	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xkq	39	stress	448	1	1.5922802269999998	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xzajv	1	warmup	2	2	0.07289709400000001	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xzajv	41	stress	860	2	0.004250668	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xzajv	38	stress	690	2	0.003615653	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xzajv	37	stress	143	2	0.003923384	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xzajv	40	stress	445	2	0.0039995740000000005	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xzajv	39	stress	338	2	0.003385588	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xwz	1	warmup	3	1	0.31146851	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xwz	41	stress	544	1	0.017957103000000002	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xwz	38	stress	1099	1	0.016989806000000003	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xwz	37	stress	1201	1	0.017749645999999997	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xwz	40	stress	175	1	0.019746338	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xwz	39	stress	294	1	0.017818745	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xix	1	warmup	4	1	0.340689821	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xix	41	stress	151	1	0.045739934	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xix	38	stress	445	1	0.04732370599999999	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xix	37	stress	147	1	0.050318627000000005	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xix	40	stress	1013	1	0.046083138	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xix	39	stress	597	1	0.047349322	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xak	1	warmup	5	1	1.620678626	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xak	41	stress	1122	1	1.028049651	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xak	38	stress	644	1	1.8175817140000001	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xak	37	stress	1167	1	1.0644504209999999	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xak	40	stress	822	1	27.249816244	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xak	39	stress	164	1	1.043529081	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xar	1	warmup	6	1	3.566937512	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xar	41	stress	717	1	0.002202986	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xar	38	stress	897	1	0.005119903	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xar	37	stress	360	1	0.003936813	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xar	40	stress	790	1	0.003107152	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xar	39	stress	1006	1	0.004157612000000001	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xca	1	warmup	7	1	0.035826588	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xca	41	stress	517	1	0.003531572	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xca	38	stress	354	1	0.002856017	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xca	37	stress	569	1	0.003169131	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xca	40	stress	124	1	0.003926198	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xca	39	stress	256	1	0.00309988	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xbj	1	warmup	8	1	0.920523512	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xbj	41	stress	612	1	0.095183239	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xbj	38	stress	565	1	0.081982445	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xbj	37	stress	1156	1	0.05758573	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xbj	40	stress	846	1	0.05645449700000001	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xbj	39	stress	638	1	0.06695451699999999	SUCCESS	CORRECT
Vir_N1_64_Ont_Opt_VWall	queries/xxa	1	warmup	9	2	0.06210776900000001	SUCCESS	CORRECT
