sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
Vir_N1_64_W1000_Opt	S5/S5_split14.sparql	1	warmup	1	0	0.873329978	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S5/S5_split14.sparql	17	stress	326	0	0.072055145	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S5/S5_split14.sparql	16	stress	134	0	0.04438962900000001	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S5/S5_split14.sparql	18	stress	214	0	0.07386796699999999	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S5/S5_split14.sparql	15	stress	135	0	0.07544323	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S5/S5_split14.sparql	14	stress	21	0	0.075409004	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	L1/L1_split17.sparql	1	warmup	2	0	1.318553437	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	L1/L1_split17.sparql	17	stress	393	0	0.006919611	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	L1/L1_split17.sparql	16	stress	88	0	0.004066772000000001	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	L1/L1_split17.sparql	18	stress	343	0	0.020589941	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	L1/L1_split17.sparql	15	stress	127	0	0.004474587	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	L1/L1_split17.sparql	14	stress	304	0	0.005882424000000001	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S1/S1_split12.sparql	1	warmup	3	9	5.462551909	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S1/S1_split12.sparql	17	stress	195	9	0.183547082	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S1/S1_split12.sparql	16	stress	155	9	0.027357151000000003	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S1/S1_split12.sparql	18	stress	351	9	0.008481825	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S1/S1_split12.sparql	15	stress	182	9	0.012353728000000001	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S1/S1_split12.sparql	14	stress	162	9	0.013388235	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S6/S6_split17.sparql	1	warmup	4	1567	4.722457805	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S6/S6_split17.sparql	17	stress	298	1567	4.701163263000001	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S6/S6_split17.sparql	16	stress	261	1567	3.4670032839999996	SUCCESS	CORRECT
Vir_N1_64_W1000_Opt	S6/S6_split17.sparql	18	stress	42	1567	4.394587112	SUCCESS	CORRECT
