sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
Vir_N3_32_W1000_Def	S7/S7_split66.sparql	1	warmup	1	0	4.633168346000001	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S7/S7_split66.sparql	17	stress	1258	0	2.486137345	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S7/S7_split66.sparql	22	stress	1413	0	3.5507425180000003	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S7/S7_split66.sparql	19	stress	1737	0	2.490154216	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S7/S7_split66.sparql	21	stress	1355	0	4.651336477	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S7/S7_split66.sparql	20	stress	1761	0	2.2968346790000003	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S6/S6_split21.sparql	1	warmup	2	187	3.1142629860000004	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S6/S6_split21.sparql	17	stress	255	187	3.8660428469999997	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S6/S6_split21.sparql	22	stress	1637	187	3.607434817	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S6/S6_split21.sparql	19	stress	854	187	3.776669163	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S6/S6_split21.sparql	21	stress	331	187	3.856065305	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S6/S6_split21.sparql	20	stress	1733	187	3.854193145	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split94.sparql	1	warmup	3	48	32.542486161	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split94.sparql	17	stress	179	48	70.916298137	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split94.sparql	22	stress	1021	48	56.78897898899999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split94.sparql	19	stress	1165	48	63.928692926999986	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split94.sparql	21	stress	1256	48	71.129611719	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split94.sparql	20	stress	440	48	74.61577036999998	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split56.sparql	1	warmup	4	342	19.852122742	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split56.sparql	17	stress	850	342	37.71570015	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split56.sparql	22	stress	375	342	47.380581279	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split56.sparql	19	stress	1296	342	36.181235414	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split56.sparql	21	stress	316	342	33.874181375	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split56.sparql	20	stress	1850	342	30.85261045	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split78.sparql	1	warmup	5	0	0.848624259	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split78.sparql	17	stress	1927	0	0.050747749	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split78.sparql	22	stress	1905	0	0.049464016	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split78.sparql	19	stress	216	0	0.04372112	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split78.sparql	21	stress	285	0	0.048752015	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split78.sparql	20	stress	760	0	0.072997523	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F1/F1_split91.sparql	1	warmup	6	0	15.705272584000001	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F1/F1_split91.sparql	17	stress	1933	0	43.204020942	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F1/F1_split91.sparql	22	stress	1719	0	69.923210772	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F1/F1_split91.sparql	19	stress	1637	0	51.086644345	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F1/F1_split91.sparql	21	stress	124	0	46.895470496	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F1/F1_split91.sparql	20	stress	1790	0	56.881465406000004	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split86.sparql	1	warmup	7	342	11.738175082	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split86.sparql	17	stress	1936	342	43.38784407399999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split86.sparql	22	stress	1053	342	29.150271561999997	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split86.sparql	19	stress	371	342	45.104587578	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split86.sparql	21	stress	433	342	35.873257847	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split86.sparql	20	stress	1008	342	35.658023958	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L5/L5_split95.sparql	1	warmup	8	8712	1.8972493000000001	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L5/L5_split95.sparql	17	stress	866	8712	0.980307224	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L5/L5_split95.sparql	22	stress	1810	8712	1.023535173	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L5/L5_split95.sparql	19	stress	388	8712	0.825279517	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L5/L5_split95.sparql	21	stress	775	8712	1.162400544	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L5/L5_split95.sparql	20	stress	1399	8712	1.14962952	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split52.sparql	1	warmup	9	0	1.981128581	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split52.sparql	17	stress	1098	0	0.054678523	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split52.sparql	22	stress	1110	0	0.05000002	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split52.sparql	19	stress	1750	0	0.087121239	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split52.sparql	21	stress	1936	0	0.05649214599999999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split52.sparql	20	stress	766	0	0.060995827999999995	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split21.sparql	1	warmup	10	3062	1.913216395	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split21.sparql	17	stress	1746	3062	0.420093648	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split21.sparql	22	stress	410	3062	0.267210149	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split21.sparql	19	stress	1568	3062	0.273922624	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split21.sparql	21	stress	1610	3062	0.26860306300000003	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split21.sparql	20	stress	707	3062	0.380842665	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split38.sparql	1	warmup	11	209	0.049077605	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split38.sparql	17	stress	1768	209	0.115978223	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split38.sparql	22	stress	1504	209	0.08619223399999999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split38.sparql	19	stress	1077	209	0.067463331	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split38.sparql	21	stress	554	209	0.127969736	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split38.sparql	20	stress	916	209	0.165420023	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split8.sparql	1	warmup	12	2758	2.235901337	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split8.sparql	17	stress	934	2758	0.8727939920000001	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split8.sparql	22	stress	202	2758	0.6731314549999999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split8.sparql	19	stress	1471	2758	1.408035469	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split8.sparql	21	stress	1365	2758	0.569918916	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split8.sparql	20	stress	272	2758	1.140070853	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split36.sparql	1	warmup	13	1	0.922448203	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split36.sparql	17	stress	1346	1	0.046623038	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split36.sparql	22	stress	942	1	0.021900121	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split36.sparql	19	stress	1036	1	0.018559358999999997	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split36.sparql	21	stress	606	1	0.031262749	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split36.sparql	20	stress	163	1	0.020330773	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split66.sparql	1	warmup	14	342	11.932994099	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split66.sparql	17	stress	868	342	38.500731583000004	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split66.sparql	22	stress	1400	342	43.11518346800001	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split66.sparql	19	stress	189	342	35.989493272	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split66.sparql	21	stress	1762	342	26.561673889	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C2/C2_split66.sparql	20	stress	1984	342	41.884671102	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C1/C1_split23.sparql	1	warmup	15	1424	5.612086672	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C1/C1_split23.sparql	17	stress	1353	1424	3.388942681	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C1/C1_split23.sparql	22	stress	1708	1424	2.429624013	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C1/C1_split23.sparql	19	stress	1169	1424	2.1354642210000003	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C1/C1_split23.sparql	21	stress	1946	1424	2.783813807	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C1/C1_split23.sparql	20	stress	1228	1424	2.510469865	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split5.sparql	1	warmup	16	3	0.011285193	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split5.sparql	17	stress	53	3	0.06788873599999999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split5.sparql	22	stress	1011	3	0.01826211	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split5.sparql	19	stress	1714	3	0.022319112	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split5.sparql	21	stress	277	3	0.017559615	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split5.sparql	20	stress	1613	3	0.076725953	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split17.sparql	1	warmup	17	0	0.033741559000000004	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split17.sparql	17	stress	1231	0	0.043636284	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split17.sparql	22	stress	847	0	0.07114298	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split17.sparql	19	stress	751	0	0.203560723	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split17.sparql	21	stress	1820	0	0.043173329	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S5/S5_split17.sparql	20	stress	508	0	0.033218454	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L3/L3_split58.sparql	1	warmup	18	39	0.010433806	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L3/L3_split58.sparql	17	stress	1171	39	0.018754134	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L3/L3_split58.sparql	22	stress	1820	39	0.04210534	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L3/L3_split58.sparql	19	stress	1206	39	0.04004307	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L3/L3_split58.sparql	21	stress	910	39	0.030759952000000004	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L3/L3_split58.sparql	20	stress	1899	39	0.035104584	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split2.sparql	1	warmup	19	4	0.01108174	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split2.sparql	17	stress	1436	4	0.08478381900000001	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split2.sparql	22	stress	1860	4	0.008010548000000001	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split2.sparql	19	stress	1785	4	0.017992445	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split2.sparql	21	stress	1698	4	0.030723474	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split2.sparql	20	stress	76	4	0.040906617	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S2/S2_split25.sparql	1	warmup	20	3380	1.4108842279999998	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S2/S2_split25.sparql	17	stress	1850	3380	0.964462807	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S2/S2_split25.sparql	22	stress	492	3380	0.766983943	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S2/S2_split25.sparql	19	stress	417	3380	0.652655546	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S2/S2_split25.sparql	21	stress	918	3380	0.628780304	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S2/S2_split25.sparql	20	stress	556	3380	1.3860681419999998	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F3/F3_split76.sparql	1	warmup	21	1893	4.199016089	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	F3/F3_split76.sparql	17	stress	308	1893	7.1919144820000005	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	F3/F3_split76.sparql	22	stress	1379	1893	6.673236602	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	F3/F3_split76.sparql	19	stress	613	1893	7.882907324	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	F3/F3_split76.sparql	21	stress	276	1897	7.003568297	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F3/F3_split76.sparql	20	stress	1548	1893	5.997814649	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	L1/L1_split84.sparql	1	warmup	22	3	0.01208794	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split84.sparql	17	stress	1382	3	0.108085405	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split84.sparql	22	stress	1996	3	0.043242707000000005	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split84.sparql	19	stress	1184	3	0.024918829	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split84.sparql	21	stress	1823	3	0.016747101	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L1/L1_split84.sparql	20	stress	222	3	0.025950742	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	C3/C3_split18.sparql	1	warmup	23	1048576	25.346202646	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	C3/C3_split18.sparql	17	stress	430	1048576	38.518736949	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	C3/C3_split18.sparql	22	stress	1851	1048576	40.953757161	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	C3/C3_split18.sparql	19	stress	1894	1048576	43.568860369	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	C3/C3_split18.sparql	21	stress	494	1048576	41.92630625	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	C3/C3_split18.sparql	20	stress	1501	1048576	39.695438589	SUCCESS	INCORRECT
Vir_N3_32_W1000_Def	F5/F5_split39.sparql	1	warmup	24	34	28.870426114	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split39.sparql	17	stress	541	34	76.769186977	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split39.sparql	22	stress	1183	34	64.556066993	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split39.sparql	19	stress	359	34	73.920867442	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split39.sparql	21	stress	692	34	62.368748569000005	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F5/F5_split39.sparql	20	stress	1257	34	62.599336956	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split20.sparql	1	warmup	25	0	0.026907942999999997	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split20.sparql	17	stress	1886	0	0.033797798	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split20.sparql	22	stress	1216	0	0.0715838	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split20.sparql	19	stress	413	0	0.041462716	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split20.sparql	21	stress	1073	0	0.049482592	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split20.sparql	20	stress	1710	0	0.032174057	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split55.sparql	1	warmup	26	4359	0.6240834710000001	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split55.sparql	17	stress	1618	4359	1.48956398	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split55.sparql	22	stress	172	4359	1.356277716	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split55.sparql	19	stress	400	4359	1.224028223	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split55.sparql	21	stress	230	4359	1.028895638	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F4/F4_split55.sparql	20	stress	21	4359	1.004999041	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split60.sparql	1	warmup	27	114	0.041603501	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split60.sparql	17	stress	296	114	0.055842235	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split60.sparql	22	stress	1269	114	0.084684286	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split60.sparql	19	stress	689	114	0.06695497	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split60.sparql	21	stress	661	114	0.07060710199999999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split60.sparql	20	stress	217	114	0.12031822199999999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L2/L2_split99.sparql	1	warmup	28	797	0.462724177	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L2/L2_split99.sparql	17	stress	1854	797	1.540422636	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L2/L2_split99.sparql	22	stress	36	797	1.603735584	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L2/L2_split99.sparql	19	stress	1817	797	2.380404066	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L2/L2_split99.sparql	21	stress	926	797	2.305296104	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	L2/L2_split99.sparql	20	stress	229	797	1.120549598	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F3/F3_split30.sparql	1	warmup	29	311	0.101312938	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F3/F3_split30.sparql	17	stress	1497	311	0.19177140899999998	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F3/F3_split30.sparql	22	stress	1654	311	0.42767823899999996	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F3/F3_split30.sparql	19	stress	1703	311	0.19840162	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F3/F3_split30.sparql	21	stress	1136	311	0.22271393899999997	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	F3/F3_split30.sparql	20	stress	1554	311	0.21712372100000002	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split80.sparql	1	warmup	30	0	0.028624764	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split80.sparql	17	stress	130	0	0.053125783	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split80.sparql	22	stress	920	0	0.058794091	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split80.sparql	19	stress	1269	0	0.12350067599999999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split80.sparql	21	stress	45	0	0.104066575	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S3/S3_split80.sparql	20	stress	412	0	0.037139423	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split94.sparql	1	warmup	31	207	0.041613811	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split94.sparql	17	stress	778	207	0.14787931099999999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split94.sparql	22	stress	754	207	0.075460821	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split94.sparql	19	stress	1485	207	0.067317932	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split94.sparql	21	stress	1151	207	0.229423087	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split94.sparql	20	stress	312	207	0.103836191	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S1/S1_split95.sparql	1	warmup	32	9	3.31718587	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S1/S1_split95.sparql	17	stress	703	9	0.171721873	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S1/S1_split95.sparql	22	stress	1270	9	0.113845774	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S1/S1_split95.sparql	19	stress	352	9	0.337113469	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S1/S1_split95.sparql	21	stress	375	9	0.11825180199999999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S1/S1_split95.sparql	20	stress	1463	9	0.0957908	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split51.sparql	1	warmup	33	114	0.025126614	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split51.sparql	17	stress	1587	114	0.119815679	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split51.sparql	22	stress	360	114	0.050720432	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split51.sparql	19	stress	302	114	0.08859816499999999	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split51.sparql	21	stress	530	114	0.159132668	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split51.sparql	20	stress	948	114	0.24553128600000002	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split87.sparql	1	warmup	34	209	0.032918441	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split87.sparql	17	stress	182	209	0.090759934	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split87.sparql	22	stress	832	209	0.07736588700000001	SUCCESS	CORRECT
Vir_N3_32_W1000_Def	S4/S4_split87.sparql	19	stress	985	209	0.067265908	SUCCESS	CORRECT
