sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct
Vir_N3_64_Ont_Opt_0	queries/xio	1	warmup	1	1	3.081895772	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xio	22	stress	1087	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xio	26	stress	973	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xio	23	stress	178	1	2.298759311	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xio	25	stress	15	1	2.464540506	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xio	24	stress	922	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzadr	1	warmup	2	1	0.023789118	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzadr	22	stress	944	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzadr	26	stress	502	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzadr	23	stress	705	1	0.006467078	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzadr	25	stress	53	1	0.005595111999999999	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzadr	24	stress	290	1	0.005044467	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzaha	1	warmup	3	1	0.31319092800000004	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzaha	22	stress	205	1	0.346302395	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzaha	26	stress	770	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzaha	23	stress	78	1	0.33817929700000005	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzaha	25	stress	117	1	1.70763004	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzaha	24	stress	95	1	0.369790671	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzajk	1	warmup	4	1	2.3908978860000003	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzajk	22	stress	559	1	0.048238015	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzajk	26	stress	575	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzajk	23	stress	305	1	0.040188529	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzajk	25	stress	350	1	0.044185829	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzajk	24	stress	817	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzact	1	warmup	5	0	0.009218485	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzact	22	stress	513	0	0.00695613	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzact	26	stress	683	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzact	23	stress	1030	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzact	25	stress	958	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzact	24	stress	5	0	0.014169622	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xaf	1	warmup	6	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xaf	22	stress	1124	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xaf	26	stress	573	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xaf	23	stress	376	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xaf	25	stress	535	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xaf	24	stress	182	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xax	1	warmup	7	1	1.2793797569999998	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xax	22	stress	705	1	0.095754579	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xax	26	stress	987	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xax	23	stress	584	1	0.107076091	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xax	25	stress	89	1	0.09977014	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xax	24	stress	202	1	0.08495166800000001	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzads	1	warmup	8	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzads	22	stress	419	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzads	26	stress	1209	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzads	23	stress	976	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzads	25	stress	1071	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzads	24	stress	432	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xdf	1	warmup	9	0	0.007396186999999999	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xdf	22	stress	961	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xdf	26	stress	207	0	0.005850556999999999	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xdf	23	stress	75	0	0.005368571999999999	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xdf	25	stress	585	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xdf	24	stress	1021	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzarg	1	warmup	10	1	0.008329665	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzarg	22	stress	4	1	0.015849394	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzarg	26	stress	185	1	0.045067022000000005	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzarg	23	stress	747	-1	-1.0	ERROR	INCORRECT
Vir_N3_64_Ont_Opt_0	queries/xzarg	25	stress	303	1	0.006877016999999999	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xzarg	24	stress	29	1	0.007078455	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xgr	1	warmup	11	1	0.05781159	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xgr	22	stress	568	1	0.021803002000000002	SUCCESS	CORRECT
Vir_N3_64_Ont_Opt_0	queries/xgr	26	stress	255	1	0.04246653400000001	SUCCESS	CORRECT
