	Bla_N1_64_Ont_Opt	Gra_N1_64_Ont_Opt	ES_N1_64_Ont_Def	Vir_N1_64_Ont_Opt	Vir_N1_64_Ont_Opt_VWall	Vir_N1_32_Ont_Opt_VWall	consensus
xaa		1.0	1.0	1.0	1.0	1.0	1.0
xab		2.0		2.0	2.0	2.0	2.0
xac		1.0	1.0	1.0	1.0	1.0	1.0
xad		0.0	0.0	0.0	0.0	0.0	0.0
xae		1.0	1.0	1.0	1.0	1.0	1.0
xaf				0.0	0.0	0.0	-456.0
xag		1.0	1.0	1.0	1.0	1.0	1.0
xah		0.0	0.0	0.0	0.0	0.0	0.0
xai		1.0	1.0	1.0	1.0	1.0	1.0
xaj				2.0	2.0	2.0	2.0
xak			1.0	1.0	1.0	1.0	1.0
xal		1.0	1.0	1.0	1.0	1.0	1.0
xam		0.0	0.0	0.0	0.0	0.0	0.0
xan		1.0	1.0	1.0	1.0	1.0	1.0
xao		0.0	0.0	0.0	0.0	0.0	0.0
xap		0.0	0.0	0.0	0.0	0.0	0.0
xaq		1.0	1.0	1.0	1.0	1.0	1.0
xar	1.0	1.0	1.0	1.0	1.0	1.0	1.0
xas		5.0	5.0	5.0	5.0	5.0	5.0
xat		1.0	1.0	1.0	1.0	1.0	1.0
xau		0.0	0.0	0.0	0.0	0.0	0.0
xav		4.0	4.0	4.0	4.0	4.0	4.0
xaw		1.0	1.0	1.0	1.0	1.0	1.0
xax			1.0	1.0	1.0	1.0	1.0
xay		0.0	0.0	0.0	0.0	0.0	0.0
xaz		1.0	1.0	1.0	1.0	1.0	1.0
xba		0.0	0.0	0.0	0.0	0.0	0.0
xbb		0.0	0.0	0.0	0.0	0.0	0.0
xbc		1.0	1.0	1.0	1.0	1.0	1.0
xbd				0.0	0.0	0.0	-456.0
xbe		1.0	1.0	1.0	1.0	1.0	1.0
xbf		0.0	0.0	0.0	0.0	0.0	0.0
xbg		1.0	1.0	1.0	1.0	1.0	1.0
xbh		1.0	1.0	1.0	1.0	1.0	1.0
xbi		0.0	0.0	0.0	0.0	0.0	0.0
xbj		1.0	1.0	1.0	1.0	1.0	1.0
xbk			1.0	1.0	1.0	1.0	1.0
xbl		0.0	0.0	0.0	0.0	0.0	0.0
xbm		1.0		1.0	1.0	1.0	1.0
xbn		1.0		1.0	1.0	1.0	1.0
xbo		1.0	1.0	1.0	1.0	1.0	1.0
xbp							-123.0
xbq		1.0	1.0	1.0	1.0	1.0	1.0
xbr							-123.0
xbs				1.0	1.0	1.0	1.0
xbt		1.0	1.0	1.0	1.0	1.0	1.0
xbu		1.0	1.0	1.0	1.0	1.0	1.0
xbv		1.0		1.0	1.0	1.0	1.0
xbw		0.0	0.0	0.0	0.0	0.0	0.0
xbx		1.0		1.0	1.0	1.0	1.0
xby		0.0	0.0	0.0	0.0	0.0	0.0
xbz		18.0		18.0	18.0	18.0	18.0
xca		1.0	1.0	1.0	1.0	1.0	1.0
xcb		1.0	1.0	1.0	1.0	1.0	1.0
xcc		10.0		10.0	10.0	10.0	10.0
xcd		1.0	1.0	1.0	1.0	1.0	1.0
xce			20.0	20.0	20.0	20.0	20.0
