	sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct	cumul_time	overall_order_id	cumul_results
0	ES_N1_32_W1000_Def	S4/S4_split98.sparql	1	warmup	1	3062	68.098128339	SUCCESS	CORRECT	68.098128339	0	3062
1	ES_N1_32_W1000_Def	F1/F1_split77.sparql	1	warmup	2	303	10.074080147	SUCCESS	CORRECT	413.87023449200007	1	3365
2	ES_N1_32_W1000_Def	S3/S3_split91.sparql	1	warmup	3	0	24.304985763	SUCCESS	CORRECT	438.17522025500006	2	3365
3	ES_N1_32_W1000_Def	C2/C2_split52.sparql	1	warmup	4	-1	300.0	TIMEOUT	INCORRECT	1130.801832019	3	3365
4	ES_N1_32_W1000_Def	S7/S7_split99.sparql	1	warmup	5	0	0.592448043	SUCCESS	CORRECT	1261.089037922	4	3365
5	ES_N1_32_W1000_Def	F5/F5_split50.sparql	1	warmup	6	66	7.8608533189999985	SUCCESS	CORRECT	1568.949891241	5	3431
6	ES_N1_32_W1000_Def	L5/L5_split28.sparql	1	warmup	7	4425	214.32122104200002	SUCCESS	CORRECT	1783.2711122829999	6	7856
7	ES_N1_32_W1000_Def	L4/L4_split22.sparql	1	warmup	8	5893	102.81375013700001	SUCCESS	CORRECT	1933.115217785	7	13749
8	ES_N1_32_W1000_Def	C1/C1_split21.sparql	1	warmup	9	-1	300.0	TIMEOUT	INCORRECT	2233.115217785	8	13749
9	ES_N1_32_W1000_Def	S6/S6_split13.sparql	1	warmup	10	524	35.99437515600001	SUCCESS	CORRECT	2394.827641708	9	14273
10	ES_N1_32_W1000_Def	L4/L4_split58.sparql	1	warmup	11	5898	44.626970575	SUCCESS	CORRECT	2445.0228847920002	10	20171
11	ES_N1_32_W1000_Def	S7/S7_split65.sparql	1	warmup	12	0	0.397961364	SUCCESS	CORRECT	2466.073413129	11	20171
12	ES_N1_32_W1000_Def	C2/C2_split76.sparql	1	warmup	13	-1	300.0	TIMEOUT	INCORRECT	2805.150234518	12	20171
13	ES_N1_32_W1000_Def	S6/S6_split87.sparql	1	warmup	14	66	4.067055964	SUCCESS	CORRECT	2991.116576295	13	20237
14	ES_N1_32_W1000_Def	S7/S7_split29.sparql	1	warmup	15	2	0.185019582	SUCCESS	CORRECT	2991.301595877	14	20239
15	ES_N1_32_W1000_Def	F4/F4_split67.sparql	1	warmup	16	2758	86.91140200400001	SUCCESS	CORRECT	3378.2129978810003	15	22997
16	ES_N1_32_W1000_Def	L3/L3_split7.sparql	1	warmup	17	16	3.577486174	SUCCESS	CORRECT	3981.7904840550004	16	23013
17	ES_N1_32_W1000_Def	L5/L5_split50.sparql	1	warmup	18	26082	93.46270140799999	SUCCESS	CORRECT	4075.2531854630006	17	49095
18	ES_N1_32_W1000_Def	S6/S6_split91.sparql	1	warmup	19	99	6.614943759	SUCCESS	CORRECT	4393.711975951001	18	49194
19	ES_N1_32_W1000_Def	F2/F2_split92.sparql	1	warmup	20	426	25.272960246999997	SUCCESS	CORRECT	4555.784602586001	19	49620
20	ES_N1_32_W1000_Def	C2/C2_split10.sparql	1	warmup	21	-1	300.0	TIMEOUT	INCORRECT	4855.784602586001	20	49620
21	ES_N1_32_W1000_Def	S3/S3_split35.sparql	1	warmup	22	0	23.107493724	SUCCESS	CORRECT	5078.65305898	21	49620
22	ES_N1_32_W1000_Def	L1/L1_split32.sparql	1	warmup	23	1	3.425098658	SUCCESS	CORRECT	5082.078157638	22	49621
23	ES_N1_32_W1000_Def	L5/L5_split19.sparql	1	warmup	24	13001	85.361456836	SUCCESS	CORRECT	5467.439614474	23	62622
24	ES_N1_32_W1000_Def	F3/F3_split35.sparql	1	warmup	25	-1	300.0	TIMEOUT	INCORRECT	5993.730570591	24	62622
25	ES_N1_32_W1000_Def	F1/F1_split91.sparql	1	warmup	26	0	8.765538193000001	SUCCESS	CORRECT	6461.783203492	25	62622
26	ES_N1_32_W1000_Def	S2/S2_split17.sparql	1	warmup	27	26586	22.712119912	SUCCESS	CORRECT	6484.495323404	26	89208
27	ES_N1_32_W1000_Def	S4/S4_split96.sparql	1	warmup	28	969	88.634957515	SUCCESS	CORRECT	6623.279005978	27	90177
28	ES_N1_32_W1000_Def	F1/F1_split75.sparql	1	warmup	29	395	10.654184629	SUCCESS	CORRECT	6638.090173836	28	90572
29	ES_N1_32_W1000_Def	S3/S3_split80.sparql	1	warmup	30	0	20.493530225	SUCCESS	CORRECT	6675.218508102999	29	90572
30	ES_N1_32_W1000_Def	S7/S7_split34.sparql	1	warmup	31	0	0.101255834	SUCCESS	CORRECT	6978.924130218999	30	90572
31	ES_N1_32_W1000_Def	S2/S2_split42.sparql	1	warmup	32	1535	28.641761007	SUCCESS	CORRECT	7007.565891226	31	92107
32	ES_N1_32_W1000_Def	S7/S7_split66.sparql	1	warmup	33	0	0.110058604	SUCCESS	CORRECT	7607.67594983	32	92107
33	ES_N1_32_W1000_Def	L4/L4_split1.sparql	1	warmup	34	5906	33.353854620999996	SUCCESS	CORRECT	7641.029804451	33	98013
34	ES_N1_32_W1000_Def	C2/C2_split39.sparql	1	warmup	35	-1	300.0	TIMEOUT	INCORRECT	8245.635896097	34	98013
35	ES_N1_32_W1000_Def	L2/L2_split95.sparql	1	warmup	36	641	27.907034905	SUCCESS	CORRECT	8343.359428353999	35	98654
36	ES_N1_32_W1000_Def	S1/S1_split92.sparql	1	warmup	37	9	12.462177598	SUCCESS	CORRECT	8655.821605951998	36	98663
37	ES_N1_32_W1000_Def	S5/S5_split98.sparql	1	warmup	38	-1	300.0	TIMEOUT	INCORRECT	9255.821605951998	37	98663
38	ES_N1_32_W1000_Def	F3/F3_split82.sparql	1	warmup	39	-1	300.0	TIMEOUT	INCORRECT	9555.821605951998	38	98663
39	ES_N1_32_W1000_Def	S2/S2_split8.sparql	1	warmup	40	26586	31.098845771	SUCCESS	CORRECT	9886.920451722997	39	125249
40	ES_N1_32_W1000_Def	F3/F3_split6.sparql	1	warmup	41	-1	300.0	TIMEOUT	INCORRECT	10206.899791832997	40	125249
41	ES_N1_32_W1000_Def	L2/L2_split72.sparql	1	warmup	42	797	24.470972501	SUCCESS	CORRECT	10250.954416904997	41	126046
42	ES_N1_32_W1000_Def	F5/F5_split14.sparql	1	warmup	43	52	5.56234989	SUCCESS	CORRECT	10273.700555401998	42	126098
43	ES_N1_32_W1000_Def	L1/L1_split28.sparql	1	warmup	44	2	2.528600916	SUCCESS	CORRECT	10352.294622278	43	126100
44	ES_N1_32_W1000_Def	F1/F1_split37.sparql	1	warmup	45	0	9.72456312	SUCCESS	CORRECT	10366.972783174	44	126100
45	ES_N1_32_W1000_Def	L4/L4_split38.sparql	1	warmup	46	5934	41.256842653	SUCCESS	CORRECT	10408.229625827	45	132034
46	ES_N1_32_W1000_Def	C3/C3_split48.sparql	1	warmup	47	-1	300.0	TIMEOUT	INCORRECT	11018.115981911	46	132034
47	ES_N1_32_W1000_Def	F2/F2_split76.sparql	1	warmup	48	61	20.539446617000003	SUCCESS	CORRECT	11038.655428528	47	132095
48	ES_N1_32_W1000_Def	L4/L4_split23.sparql	1	warmup	49	5817	82.073559179	SUCCESS	CORRECT	11570.24424215	48	137912
49	ES_N1_32_W1000_Def	S3/S3_split41.sparql	1	warmup	50	0	32.658757693000005	SUCCESS	CORRECT	11602.902999843	49	137912
50	ES_N1_32_W1000_Def	S5/S5_split88.sparql	1	warmup	51	-1	300.0	TIMEOUT	INCORRECT	12222.863673363	50	137912
51	ES_N1_32_W1000_Def	S2/S2_split82.sparql	1	warmup	52	1562	162.12027836	SUCCESS	CORRECT	12388.079935087999	51	139474
52	ES_N1_32_W1000_Def	S1/S1_split55.sparql	1	warmup	53	4	10.096094008	SUCCESS	CORRECT	12401.613590508	52	139478
53	ES_N1_32_W1000_Def	S2/S2_split76.sparql	1	warmup	54	1045	94.738729225	SUCCESS	CORRECT	12660.084484572	53	140523
54	ES_N1_32_W1000_Def	F4/F4_split46.sparql	1	warmup	55	-1	300.0	TIMEOUT	INCORRECT	12960.084484572	54	140523
55	ES_N1_32_W1000_Def	C1/C1_split44.sparql	1	warmup	56	-1	300.0	TIMEOUT	INCORRECT	13560.084484572	55	140523
56	ES_N1_32_W1000_Def	L5/L5_split1.sparql	1	warmup	57	26082	144.96250004499996	SUCCESS	CORRECT	13777.194566466	56	166605
57	ES_N1_32_W1000_Def	S2/S2_split66.sparql	1	warmup	58	2474	42.506090091	SUCCESS	CORRECT	13831.488344193	57	169079
58	ES_N1_32_W1000_Def	S5/S5_split48.sparql	1	warmup	59	-1	300.0	TIMEOUT	INCORRECT	14135.746035454	58	169079
59	ES_N1_32_W1000_Def	L3/L3_split76.sparql	1	warmup	60	41	4.100705021	SUCCESS	CORRECT	14154.493691406999	59	169120
60	ES_N1_32_W1000_Def	S3/S3_split76.sparql	1	warmup	61	0	32.954568119	SUCCESS	CORRECT	14187.448259525998	60	169120
61	ES_N1_32_W1000_Def	S1/S1_split86.sparql	1	warmup	62	8	12.485717850999999	SUCCESS	CORRECT	14242.923891072998	61	169128
62	ES_N1_32_W1000_Def	C3/C3_split23.sparql	1	warmup	63	-1	300.0	TIMEOUT	INCORRECT	14682.078545367998	62	169128
63	ES_N1_32_W1000_Def	F1/F1_split26.sparql	1	warmup	64	463	17.769432306	SUCCESS	CORRECT	14999.847977673999	63	169591
64	ES_N1_32_W1000_Def	S3/S3_split93.sparql	1	warmup	65	0	33.568808834	SUCCESS	CORRECT	15333.416786507998	64	169591
65	ES_N1_32_W1000_Def	S1/S1_split69.sparql	1	warmup	66	10	10.904564501	SUCCESS	CORRECT	15344.321351008997	65	169601
66	ES_N1_32_W1000_Def	L1/L1_split12.sparql	1	warmup	67	2	2.630447358	SUCCESS	CORRECT	15620.097334871996	66	169603
67	ES_N1_32_W1000_Def	L3/L3_split8.sparql	1	warmup	68	21	1.505490657	SUCCESS	CORRECT	15655.136577863997	67	169624
68	ES_N1_32_W1000_Def	S5/S5_split40.sparql	1	warmup	69	-1	300.0	TIMEOUT	INCORRECT	15955.136577863997	68	169624
69	ES_N1_32_W1000_Def	S6/S6_split51.sparql	1	warmup	70	798	53.38284040600001	SUCCESS	CORRECT	16608.519418269996	69	170422
70	ES_N1_32_W1000_Def	F3/F3_split40.sparql	1	warmup	71	150	147.522097021	SUCCESS	CORRECT	16760.447217418994	70	170572
71	ES_N1_32_W1000_Def	F4/F4_split90.sparql	1	warmup	72	-1	300.0	TIMEOUT	INCORRECT	17101.063310448993	71	170572
72	ES_N1_32_W1000_Def	C3/C3_split6.sparql	1	warmup	73	-1	300.0	TIMEOUT	INCORRECT	17701.063310448993	72	170572
73	ES_N1_32_W1000_Def	S3/S3_split43.sparql	1	warmup	74	0	30.688859242	SUCCESS	CORRECT	17731.752169690993	73	170572
74	ES_N1_32_W1000_Def	C3/C3_split56.sparql	1	warmup	75	-1	300.0	TIMEOUT	INCORRECT	18076.780760627993	74	170572
75	ES_N1_32_W1000_Def	S5/S5_split11.sparql	1	warmup	76	-1	300.0	TIMEOUT	INCORRECT	18683.512870743994	75	170572
76	ES_N1_32_W1000_Def	L2/L2_split39.sparql	1	warmup	77	8008	33.532454157000004	SUCCESS	CORRECT	18857.013194757994	76	178580
77	ES_N1_32_W1000_Def	F1/F1_split71.sparql	1	warmup	78	110	16.085420665999994	SUCCESS	CORRECT	18989.277928584994	77	178690
78	ES_N1_32_W1000_Def	F4/F4_split30.sparql	1	warmup	79	-1	300.0	TIMEOUT	INCORRECT	19289.476067218995	78	178690
79	ES_N1_32_W1000_Def	S4/S4_split92.sparql	1	warmup	80	-1	300.0	TIMEOUT	INCORRECT	19724.948832950995	79	178690
80	ES_N1_32_W1000_Def	L1/L1_split71.sparql	1	warmup	81	5	6.261936112999999	SUCCESS	CORRECT	19731.210769063993	80	178695
81	ES_N1_32_W1000_Def	C3/C3_split40.sparql	1	warmup	82	-1	300.0	TIMEOUT	INCORRECT	20031.210769063993	81	178695
