	sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct	cumul_time	overall_order_id	cumul_results
0	Flu_N3_64_Ont_Def_2	queries/xdx	1.0	warmup	1.0	1.0	0.039536706000000005	SUCCESS	CORRECT	0.039536706000000005	0	1.0
1	Flu_N3_64_Ont_Def_2	queries/xzait	1.0	warmup	2.0	-1.0	-1.0	ERROR	INCORRECT	0.039537706000000006	1	1.0
2	Flu_N3_64_Ont_Def_2	queries/xyr	1.0	warmup	3.0	1.0	0.014555581	SUCCESS	CORRECT	0.054093287000000004	2	2.0
3	Flu_N3_64_Ont_Def_2	queries/xyl	1.0	warmup	4.0	0.0	0.010566504	SUCCESS	CORRECT	0.06465979100000001	3	2.0
4	Flu_N3_64_Ont_Def_2	queries/xlx	1.0	warmup	5.0	1.0	0.013525121999999999	SUCCESS	CORRECT	0.07818491300000001	4	3.0
5	Flu_N3_64_Ont_Def_2	queries/xqu	1.0	warmup	6.0	-1.0	1200.0	TIMEOUT	INCORRECT	1200.078184913	5	3.0
6	Flu_N3_64_Ont_Def_2	queries/xxw	1.0	warmup	7.0	-1.0	1200.0	TIMEOUT	INCORRECT	2400.078184913	6	3.0
7	Flu_N3_64_Ont_Def_2	queries/xff	1.0	warmup	8.0	-1.0	1200.0	TIMEOUT	INCORRECT	3600.078184913	7	3.0
8	Flu_N3_64_Ont_Def_2	queries/xzads	1.0	warmup	9.0	-1.0	-1.0	ERROR	INCORRECT	3600.0781859129997	8	3.0
9	Flu_N3_64_Ont_Def_2	queries/xcb	1.0	warmup	10.0	-1.0	1200.0	TIMEOUT	INCORRECT	4800.078185913	9	3.0
10	Flu_N3_64_Ont_Def_2	queries/xrd	1.0	warmup	11.0	-1.0	1200.0	TIMEOUT	INCORRECT	6000.078185913	10	3.0
11	Flu_N3_64_Ont_Def_2	queries/xcy	1.0	warmup	12.0	-1.0	1200.0	TIMEOUT	INCORRECT	7200.078185913	11	3.0
12	Flu_N3_64_Ont_Def_2	queries/xyd	1.0	warmup	13.0	-1.0	1200.0	TIMEOUT	INCORRECT	8400.078185913	12	3.0
13	Flu_N3_64_Ont_Def_2	queries/xzajb	1.0	warmup	14.0	-1.0	1200.0	TIMEOUT	INCORRECT	9600.078185913	13	3.0
14	Flu_N3_64_Ont_Def_2	queries/xzaiw	1.0	warmup	15.0	-1.0	1200.0	TIMEOUT	INCORRECT	10800.078185913	14	3.0
15	Flu_N3_64_Ont_Def_2	queries/xzamw	1.0	warmup	16.0	-1.0	1200.0	TIMEOUT	INCORRECT	12000.078185913	15	3.0
16	Flu_N3_64_Ont_Def_2	queries/xis	1.0	warmup	17.0	-1.0	1200.0	TIMEOUT	INCORRECT	13200.078185913	16	3.0
17	Flu_N3_64_Ont_Def_2	queries/xpe	1.0	warmup	18.0	-1.0	1200.0	TIMEOUT	INCORRECT	14400.078185913	17	3.0
18	Flu_N3_64_Ont_Def_2	queries/xzaqc	1.0	warmup	19.0	-1.0	1200.0	TIMEOUT	INCORRECT	15600.078185913	18	3.0
19	Flu_N3_64_Ont_Def_2	queries/xrj	1.0	warmup	20.0	-1.0	1200.0	TIMEOUT	INCORRECT	16800.078185913	19	3.0
20	Flu_N3_64_Ont_Def_2	queries/xzarz	1.0	warmup	21.0	-1.0	1200.0	TIMEOUT	INCORRECT	18000.078185913	20	3.0
21	Flu_N3_64_Ont_Def_2	queries/xwt	1.0	warmup	22.0	-1.0	1200.0	TIMEOUT	INCORRECT	19200.078185913	21	3.0
22	Flu_N3_64_Ont_Def_2	queries/xty	1.0	warmup	23.0	-1.0	1200.0	TIMEOUT	INCORRECT	20400.078185913	22	3.0
23	Flu_N3_64_Ont_Def_2	queries/xwi	1.0	warmup	24.0	-1.0	1200.0	TIMEOUT	INCORRECT	21600.078185913	23	3.0
24	Flu_N3_64_Ont_Def_2	queries/xsi	1.0	warmup	25.0	-1.0	1200.0	TIMEOUT	INCORRECT	22800.078185913	24	3.0
25	Flu_N3_64_Ont_Def_2	queries/xbe	1.0	warmup	26.0	-1.0	1200.0	TIMEOUT	INCORRECT	24000.078185913	25	3.0
26	Flu_N3_64_Ont_Def_2	queries/xzafd	1.0	warmup	27.0	-1.0	1200.0	TIMEOUT	INCORRECT	25200.078185913	26	3.0
27	Flu_N3_64_Ont_Def_2	queries/xgr	1.0	warmup	28.0	-1.0	1200.0	TIMEOUT	INCORRECT	26400.078185913	27	3.0
28	Flu_N3_64_Ont_Def_2	queries/xtv	1.0	warmup	29.0	-1.0	1200.0	TIMEOUT	INCORRECT	27600.078185913	28	3.0
29	Flu_N3_64_Ont_Def_2	queries/xzarr	1.0	warmup	30.0	-1.0	1200.0	TIMEOUT	INCORRECT	28800.078185913	29	3.0
30	Flu_N3_64_Ont_Def_2	queries/xzatc	1.0	warmup	31.0	-1.0	1200.0	TIMEOUT	INCORRECT	30000.078185913	30	3.0
31	Flu_N3_64_Ont_Def_2	queries/xzacm	1.0	warmup	32.0	-1.0	1200.0	TIMEOUT	INCORRECT	31200.078185913	31	3.0
32	Flu_N3_64_Ont_Def_2	queries/xzahl	1.0	warmup	33.0	-1.0	1200.0	TIMEOUT	INCORRECT	32400.078185913	32	3.0
33	Flu_N3_64_Ont_Def_2	queries/xzatq	1.0	warmup	34.0	-1.0	1200.0	TIMEOUT	INCORRECT	33600.078185913	33	3.0
34	Flu_N3_64_Ont_Def_2	queries/xzanf	1.0	warmup	35.0	-1.0	1200.0	TIMEOUT	INCORRECT	34800.078185913	34	3.0
35	Flu_N3_64_Ont_Def_2	queries/xae	1.0	warmup	36.0	-1.0	1200.0	TIMEOUT	INCORRECT	36000.078185913	35	3.0
36	Flu_N3_64_Ont_Def_2	queries/xzape	1.0	warmup	37.0	-1.0	1200.0	TIMEOUT	INCORRECT	37200.078185913	36	3.0
37	Flu_N3_64_Ont_Def_2	queries/xzaft	1.0	warmup	38.0	-1.0	1200.0	TIMEOUT	INCORRECT	38400.078185913	37	3.0
