	sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct	cumul_time	overall_order_id	cumul_results
0	Fus_N1_64_Ont_Def	queries/xhf	1	warmup	1	0	0.281765686	SUCCESS	CORRECT	0.281765686	0	0
1	Fus_N1_64_Ont_Def	queries/xzany	1	warmup	2	-1	1200.0	TIMEOUT	INCORRECT	1200.281765686	1	0
2	Fus_N1_64_Ont_Def	queries/xrr	1	warmup	3	-1	1200.0	TIMEOUT	INCORRECT	2400.2817656859997	2	0
3	Fus_N1_64_Ont_Def	queries/xzark	1	warmup	4	-1	1200.0	TIMEOUT	INCORRECT	3600.2817656859997	3	0
4	Fus_N1_64_Ont_Def	queries/xzape	1	warmup	5	-1	1200.0	TIMEOUT	INCORRECT	4800.281765686	4	0
5	Fus_N1_64_Ont_Def	queries/xzack	1	warmup	6	-1	1200.0	TIMEOUT	INCORRECT	6000.281765686	5	0
6	Fus_N1_64_Ont_Def	queries/xuj	1	warmup	7	0	0.017050155	SUCCESS	CORRECT	6000.298815841	6	0
7	Fus_N1_64_Ont_Def	queries/xzauh	1	warmup	8	1	0.011952997	SUCCESS	CORRECT	6000.310768838	7	1
8	Fus_N1_64_Ont_Def	queries/xwd	1	warmup	9	146	0.910000413	SUCCESS	INCORRECT	6001.220769250999	8	147
9	Fus_N1_64_Ont_Def	queries/xzajc	1	warmup	10	0	0.010266175	SUCCESS	CORRECT	6001.231035425999	9	147
10	Fus_N1_64_Ont_Def	queries/xzali	1	warmup	11	-1	1200.0	TIMEOUT	INCORRECT	7201.231035425999	10	147
11	Fus_N1_64_Ont_Def	queries/xgd	1	warmup	12	-1	1200.0	TIMEOUT	INCORRECT	8401.231035425999	11	147
12	Fus_N1_64_Ont_Def	queries/xvo	1	warmup	13	1	0.083522442	SUCCESS	CORRECT	8401.314557868	12	148
13	Fus_N1_64_Ont_Def	queries/xzaqd	1	warmup	14	1	0.076341174	SUCCESS	CORRECT	8401.390899042	13	149
14	Fus_N1_64_Ont_Def	queries/xzabj	1	warmup	15	1344	8.160655495	SUCCESS	INCORRECT	8409.551554537	14	1493
15	Fus_N1_64_Ont_Def	queries/xsg	1	warmup	16	1	0.009885799999999998	SUCCESS	CORRECT	8409.561440337	15	1494
16	Fus_N1_64_Ont_Def	queries/xzaff	1	warmup	17	-1	1200.0	TIMEOUT	INCORRECT	9609.561440337	16	1494
