	sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct	cumul_time	overall_order_id	cumul_results
0	Gra_N1_64_W1000_Opt	S4/S4_split8.sparql	1	warmup	1	10	1.065069501	SUCCESS	CORRECT	1.065069501	0	10
1	Gra_N1_64_W1000_Opt	F1/F1_split8.sparql	1	warmup	2	166	3.801639802	SUCCESS	CORRECT	4.866709303	1	176
2	Gra_N1_64_W1000_Opt	S6/S6_split10.sparql	1	warmup	3	1616	4.334716440999999	SUCCESS	CORRECT	9.201425744	2	1792
3	Gra_N1_64_W1000_Opt	L4/L4_split18.sparql	1	warmup	4	5814	9.775980039	SUCCESS	CORRECT	18.977405783000002	3	7606
4	Gra_N1_64_W1000_Opt	L1/L1_split2.sparql	1	warmup	5	7	0.048761512	SUCCESS	CORRECT	19.026167295	4	7613
5	Gra_N1_64_W1000_Opt	L2/L2_split12.sparql	1	warmup	6	852	1.054974539	SUCCESS	CORRECT	20.081141834	5	8465
6	Gra_N1_64_W1000_Opt	S6/S6_split8.sparql	1	warmup	7	1567	3.823521651	SUCCESS	CORRECT	23.904663485	6	10032
7	Gra_N1_64_W1000_Opt	L4/L4_split12.sparql	1	warmup	8	5788	8.878610415999997	SUCCESS	CORRECT	32.783273901	7	15820
8	Gra_N1_64_W1000_Opt	C1/C1_split11.sparql	1	warmup	9	1424	53.48095213	SUCCESS	CORRECT	86.26422603099999	8	17244
9	Gra_N1_64_W1000_Opt	C3/C3_split10.sparql	1	warmup	10	-1	300.0	TIMEOUT	INCORRECT	386.264226031	9	17244
10	Gra_N1_64_W1000_Opt	L2/L2_split9.sparql	1	warmup	11	3191	4.027303968	SUCCESS	CORRECT	390.29152999900003	10	20435
11	Gra_N1_64_W1000_Opt	S6/S6_split15.sparql	1	warmup	12	80	0.16751518599999998	SUCCESS	CORRECT	390.45904518500004	11	20515
12	Gra_N1_64_W1000_Opt	L4/L4_split1.sparql	1	warmup	13	5894	15.859290819000002	SUCCESS	CORRECT	406.31833600400006	12	26409
13	Gra_N1_64_W1000_Opt	L2/L2_split16.sparql	1	warmup	14	16363	21.780956934000002	SUCCESS	CORRECT	428.0992929380001	13	42772
14	Gra_N1_64_W1000_Opt	L4/L4_split5.sparql	1	warmup	15	5814	12.422192011	SUCCESS	CORRECT	440.52148494900007	14	48586
15	Gra_N1_64_W1000_Opt	F4/F4_split3.sparql	1	warmup	16	2984	7.083954329999999	SUCCESS	CORRECT	447.60543927900005	15	51570
16	Gra_N1_64_W1000_Opt	F4/F4_split5.sparql	1	warmup	17	2469	3.475941752	SUCCESS	CORRECT	451.08138103100003	16	54039
17	Gra_N1_64_W1000_Opt	S1/S1_split19.sparql	1	warmup	18	0	0.09349862	SUCCESS	CORRECT	451.174879651	17	54039
18	Gra_N1_64_W1000_Opt	S4/S4_split19.sparql	1	warmup	19	10	0.289355784	SUCCESS	CORRECT	451.46423543500003	18	54049
19	Gra_N1_64_W1000_Opt	F2/F2_split14.sparql	1	warmup	20	607	4.963867327	SUCCESS	CORRECT	456.42810276200004	19	54656
20	Gra_N1_64_W1000_Opt	L3/L3_split18.sparql	1	warmup	21	51	0.071333274	SUCCESS	CORRECT	456.499436036	20	54707
21	Gra_N1_64_W1000_Opt	L2/L2_split7.sparql	1	warmup	22	1121	0.7523456140000001	SUCCESS	CORRECT	457.25178165	21	55828
22	Gra_N1_64_W1000_Opt	S4/S4_split13.sparql	1	warmup	23	64	0.718541201	SUCCESS	CORRECT	457.970322851	22	55892
23	Gra_N1_64_W1000_Opt	S7/S7_split6.sparql	1	warmup	24	0	0.006533719	SUCCESS	CORRECT	457.97685657	23	55892
24	Gra_N1_64_W1000_Opt	F3/F3_split17.sparql	1	warmup	25	50	0.474461783	SUCCESS	CORRECT	458.451318353	24	55942
25	Gra_N1_64_W1000_Opt	L2/L2_split1.sparql	1	warmup	26	8008	7.919124685	SUCCESS	CORRECT	466.37044303799996	25	63950
26	Gra_N1_64_W1000_Opt	S3/S3_split17.sparql	1	warmup	27	0	0.567472577	SUCCESS	CORRECT	466.93791561499995	26	63950
27	Gra_N1_64_W1000_Opt	L2/L2_split19.sparql	1	warmup	28	1559	1.075226056	SUCCESS	CORRECT	468.01314167099997	27	65509
28	Gra_N1_64_W1000_Opt	S4/S4_split5.sparql	1	warmup	29	10	0.27088438000000004	SUCCESS	CORRECT	468.28402605099996	28	65519
29	Gra_N1_64_W1000_Opt	L3/L3_split10.sparql	1	warmup	30	12	0.031746662	SUCCESS	CORRECT	468.31577271299994	29	65531
30	Gra_N1_64_W1000_Opt	S7/S7_split8.sparql	1	warmup	31	0	0.005869421	SUCCESS	CORRECT	468.32164213399994	30	65531
31	Gra_N1_64_W1000_Opt	L2/L2_split3.sparql	1	warmup	32	1331	0.852311425	SUCCESS	CORRECT	469.1739535589999	31	66862
32	Gra_N1_64_W1000_Opt	C1/C1_split15.sparql	1	warmup	33	1424	29.467704416999997	SUCCESS	CORRECT	498.6416579759999	32	68286
33	Gra_N1_64_W1000_Opt	F3/F3_split4.sparql	1	warmup	34	3506	28.210570711	SUCCESS	CORRECT	526.8522286869999	33	71792
34	Gra_N1_64_W1000_Opt	L3/L3_split6.sparql	1	warmup	35	40	0.060460198	SUCCESS	CORRECT	526.9126888849999	34	71832
35	Gra_N1_64_W1000_Opt	S6/S6_split2.sparql	1	warmup	36	167	0.30862163	SUCCESS	CORRECT	527.2213105149998	35	71999
36	Gra_N1_64_W1000_Opt	S4/S4_split7.sparql	1	warmup	37	17	0.692938906	SUCCESS	CORRECT	527.9142494209998	36	72016
37	Gra_N1_64_W1000_Opt	S1/S1_split11.sparql	1	warmup	38	4	0.165712739	SUCCESS	CORRECT	528.0799621599998	37	72020
38	Gra_N1_64_W1000_Opt	F1/F1_split14.sparql	1	warmup	39	244	0.489881585	SUCCESS	CORRECT	528.5698437449998	38	72264
39	Gra_N1_64_W1000_Opt	S6/S6_split19.sparql	1	warmup	40	36	0.07133907499999999	SUCCESS	CORRECT	528.6411828199998	39	72300
40	Gra_N1_64_W1000_Opt	C2/C2_split11.sparql	1	warmup	41	342	50.073910932	SUCCESS	CORRECT	578.7150937519998	40	72642
41	Gra_N1_64_W1000_Opt	C1/C1_split2.sparql	1	warmup	42	1424	27.26263513	SUCCESS	CORRECT	605.9777288819998	41	74066
42	Gra_N1_64_W1000_Opt	L2/L2_split13.sparql	1	warmup	43	1331	0.114971932	SUCCESS	CORRECT	606.0927008139998	42	75397
43	Gra_N1_64_W1000_Opt	L4/L4_split8.sparql	1	warmup	44	5886	10.080980487	SUCCESS	CORRECT	616.1736813009999	43	81283
44	Gra_N1_64_W1000_Opt	C1/C1_split16.sparql	1	warmup	45	1424	27.56866052	SUCCESS	CORRECT	643.7423418209999	44	82707
45	Gra_N1_64_W1000_Opt	F3/F3_split6.sparql	1	warmup	46	1425	3.1869623369999998	SUCCESS	CORRECT	646.9293041579998	45	84132
46	Gra_N1_64_W1000_Opt	L5/L5_split7.sparql	1	warmup	47	1186	1.554131383	SUCCESS	CORRECT	648.4834355409998	46	85318
47	Gra_N1_64_W1000_Opt	S3/S3_split18.sparql	1	warmup	48	0	0.434358301	SUCCESS	CORRECT	648.9177938419998	47	85318
48	Gra_N1_64_W1000_Opt	L4/L4_split11.sparql	1	warmup	49	5810	8.710390849	SUCCESS	CORRECT	657.6281846909998	48	91128
49	Gra_N1_64_W1000_Opt	L3/L3_split3.sparql	1	warmup	50	13	0.040375798	SUCCESS	CORRECT	657.6685604889998	49	91141
50	Gra_N1_64_W1000_Opt	L5/L5_split14.sparql	1	warmup	51	5147	7.7892655789999985	SUCCESS	CORRECT	665.4578260679998	50	96288
