	sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct	cumul_time	overall_order_id	cumul_results
0	LDF_N3_64_W1000_Def	S6/S6_split3.sparql	1	warmup	1	36	31.203856742	SUCCESS	CORRECT	31.203856742	0	36
1	LDF_N3_64_W1000_Def	S5/S5_split9.sparql	1	warmup	2	-1	300.0	TIMEOUT	INCORRECT	331.20385674199997	1	36
2	LDF_N3_64_W1000_Def	S7/S7_split16.sparql	1	warmup	3	1	0.32640645	SUCCESS	CORRECT	331.53026319199995	2	37
3	LDF_N3_64_W1000_Def	C1/C1_split7.sparql	1	warmup	4	-1	300.0	TIMEOUT	INCORRECT	631.5302631919999	3	37
4	LDF_N3_64_W1000_Def	S4/S4_split19.sparql	1	warmup	5	-1	300.0	TIMEOUT	INCORRECT	931.5302631919999	4	37
5	LDF_N3_64_W1000_Def	F2/F2_split2.sparql	1	warmup	6	30	32.375191127	SUCCESS	CORRECT	963.9054543189999	5	67
6	LDF_N3_64_W1000_Def	L4/L4_split14.sparql	1	warmup	7	-1	300.0	TIMEOUT	INCORRECT	1263.905454319	6	67
7	LDF_N3_64_W1000_Def	L4/L4_split2.sparql	1	warmup	8	-1	300.0	TIMEOUT	INCORRECT	1563.905454319	7	67
8	LDF_N3_64_W1000_Def	F5/F5_split2.sparql	1	warmup	9	45	2.0144261	SUCCESS	CORRECT	1565.919880419	8	112
9	LDF_N3_64_W1000_Def	L1/L1_split10.sparql	1	warmup	10	4	0.694894982	SUCCESS	CORRECT	1566.614775401	9	116
10	LDF_N3_64_W1000_Def	S4/S4_split2.sparql	1	warmup	11	7	167.23063583299998	SUCCESS	CORRECT	1733.845411234	10	123
11	LDF_N3_64_W1000_Def	L4/L4_split18.sparql	1	warmup	12	-1	300.0	TIMEOUT	INCORRECT	2033.845411234	11	123
12	LDF_N3_64_W1000_Def	L3/L3_split0.sparql	1	warmup	13	43	0.843734275	SUCCESS	CORRECT	2034.6891455090001	12	166
13	LDF_N3_64_W1000_Def	C3/C3_split11.sparql	1	warmup	14	-1	300.0	TIMEOUT	INCORRECT	2334.689145509	13	166
14	LDF_N3_64_W1000_Def	S6/S6_split19.sparql	1	warmup	15	36	23.276491621999998	SUCCESS	CORRECT	2357.9656371309998	14	202
15	LDF_N3_64_W1000_Def	L4/L4_split19.sparql	1	warmup	16	-1	300.0	TIMEOUT	INCORRECT	2657.9656371309998	15	202
16	LDF_N3_64_W1000_Def	F1/F1_split16.sparql	1	warmup	17	-1	300.0	TIMEOUT	INCORRECT	2957.9656371309998	16	202
17	LDF_N3_64_W1000_Def	S2/S2_split5.sparql	1	warmup	18	-1	300.0	TIMEOUT	INCORRECT	3257.9656371309998	17	202
18	LDF_N3_64_W1000_Def	L3/L3_split6.sparql	1	warmup	19	40	0.5119848	SUCCESS	CORRECT	3258.4776219309997	18	242
19	LDF_N3_64_W1000_Def	S7/S7_split11.sparql	1	warmup	20	0	0.271916562	SUCCESS	CORRECT	3258.749538493	19	242
20	LDF_N3_64_W1000_Def	S1/S1_split18.sparql	1	warmup	21	0	0.617730577	SUCCESS	CORRECT	3259.36726907	20	242
