	sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag	correct	cumul_time	overall_order_id	cumul_results
0	Vir_N1_32_Ont_Opt	queries/xzadq	1	warmup	1	0	0.008964334000000001	SUCCESS	CORRECT	0.008964334000000001	0	0
1	Vir_N1_32_Ont_Opt	queries/xbg	1	warmup	2	1	0.007244969	SUCCESS	CORRECT	0.016209303	1	1
2	Vir_N1_32_Ont_Opt	queries/xki	1	warmup	3	0	0.006560456	SUCCESS	INCORRECT	0.022769759	2	1
3	Vir_N1_32_Ont_Opt	queries/xzaev	1	warmup	4	1	3.896563511	SUCCESS	CORRECT	3.91933327	3	2
4	Vir_N1_32_Ont_Opt	queries/xzass	1	warmup	5	1	0.011432101	SUCCESS	CORRECT	3.930765371	4	3
5	Vir_N1_32_Ont_Opt	queries/xda	1	warmup	6	0	0.004726318	SUCCESS	INCORRECT	3.935491689	5	3
6	Vir_N1_32_Ont_Opt	queries/xdf	1	warmup	7	0	0.004326013	SUCCESS	CORRECT	3.939817702	6	3
7	Vir_N1_32_Ont_Opt	queries/xtf	1	warmup	8	1	0.006831126999999999	SUCCESS	CORRECT	3.946648829	7	4
8	Vir_N1_32_Ont_Opt	queries/xzann	1	warmup	9	1	0.010094236	SUCCESS	CORRECT	3.956743065	8	5
9	Vir_N1_32_Ont_Opt	queries/xzafm	1	warmup	10	0	0.004410964	SUCCESS	INCORRECT	3.961154029	9	5
10	Vir_N1_32_Ont_Opt	queries/xzalk	1	warmup	11	1	0.015425706	SUCCESS	CORRECT	3.9765797349999996	10	6
11	Vir_N1_32_Ont_Opt	queries/xzans	1	warmup	12	1	0.017567512	SUCCESS	CORRECT	3.9941472469999995	11	7
12	Vir_N1_32_Ont_Opt	queries/xzapn	1	warmup	13	1	0.038282091000000004	SUCCESS	CORRECT	4.032429337999999	12	8
13	Vir_N1_32_Ont_Opt	queries/xzagj	1	warmup	14	1	0.007408084	SUCCESS	CORRECT	4.039837421999999	13	9
14	Vir_N1_32_Ont_Opt	queries/xrg	1	warmup	15	0	0.035582371	SUCCESS	INCORRECT	4.075419792999999	14	9
15	Vir_N1_32_Ont_Opt	queries/xel	1	warmup	16	0	0.111720103	SUCCESS	UNCERTAIN	4.187139895999999	15	9
16	Vir_N1_32_Ont_Opt	queries/xkf	1	warmup	17	1	0.006155364	SUCCESS	CORRECT	4.193295259999998	16	10
17	Vir_N1_32_Ont_Opt	queries/xzafx	1	warmup	18	0	0.004573318999999999	SUCCESS	CORRECT	4.197868578999999	17	10
18	Vir_N1_32_Ont_Opt	queries/xzall	1	warmup	19	1	0.016731951999999998	SUCCESS	CORRECT	4.2146005309999985	18	11
19	Vir_N1_32_Ont_Opt	queries/xkh	1	warmup	20	1	0.013031297	SUCCESS	CORRECT	4.227631827999999	19	12
20	Vir_N1_32_Ont_Opt	queries/xtb	1	warmup	21	1	0.015907526	SUCCESS	CORRECT	4.243539353999999	20	13
21	Vir_N1_32_Ont_Opt	queries/xzaok	1	warmup	22	1	0.017823352	SUCCESS	CORRECT	4.261362705999999	21	14
22	Vir_N1_32_Ont_Opt	queries/xcu	1	warmup	23	1	1.1609762670000001	SUCCESS	CORRECT	5.422338972999999	22	15
23	Vir_N1_32_Ont_Opt	queries/xxb	1	warmup	24	1	0.020691049	SUCCESS	CORRECT	5.4430300219999985	23	16
24	Vir_N1_32_Ont_Opt	queries/xdn	1	warmup	25	0	0.005072455	SUCCESS	CORRECT	5.448102476999998	24	16
25	Vir_N1_32_Ont_Opt	queries/xzara	1	warmup	26	1	1.166244537	SUCCESS	CORRECT	6.614347013999998	25	17
26	Vir_N1_32_Ont_Opt	queries/xuc	1	warmup	27	0	0.003977082	SUCCESS	INCORRECT	6.618324095999998	26	17
27	Vir_N1_32_Ont_Opt	queries/xzaps	1	warmup	28	0	0.012665258	SUCCESS	INCORRECT	6.630989353999998	27	17
28	Vir_N1_32_Ont_Opt	queries/xzavg	1	warmup	29	0	0.003810694	SUCCESS	INCORRECT	6.634800047999998	28	17
29	Vir_N1_32_Ont_Opt	queries/xme	1	warmup	30	0	0.037069031	SUCCESS	INCORRECT	6.671869078999998	29	17
30	Vir_N1_32_Ont_Opt	queries/xzaqy	1	warmup	31	1	1.082917885	SUCCESS	CORRECT	7.754786963999997	30	18
31	Vir_N1_32_Ont_Opt	queries/xly	1	warmup	32	0	0.018348933	SUCCESS	INCORRECT	7.773135896999998	31	18
32	Vir_N1_32_Ont_Opt	queries/xzafb	1	warmup	33	0	0.004185426999999999	SUCCESS	CORRECT	7.777321323999998	32	18
33	Vir_N1_32_Ont_Opt	queries/xzatj	1	warmup	34	1	0.014608825	SUCCESS	CORRECT	7.791930148999998	33	19
34	Vir_N1_32_Ont_Opt	queries/xfl	1	warmup	35	0	0.004125139	SUCCESS	INCORRECT	7.796055287999998	34	19
35	Vir_N1_32_Ont_Opt	queries/xzash	1	warmup	36	1	0.015198349	SUCCESS	CORRECT	7.811253636999998	35	20
36	Vir_N1_32_Ont_Opt	queries/xzael	1	warmup	37	0	0.003685828	SUCCESS	INCORRECT	7.814939464999998	36	20
37	Vir_N1_32_Ont_Opt	queries/xal	1	warmup	38	0	0.004023491	SUCCESS	INCORRECT	7.818962955999998	37	20
38	Vir_N1_32_Ont_Opt	queries/xdk	1	warmup	39	1	0.013891735	SUCCESS	CORRECT	7.832854690999998	38	21
