sim_id	query_name	number_of_results
Bla_N1_64_Ont_Opt	queries/xar	1
Bla_N1_64_Ont_Opt	queries/xdm	0
Bla_N1_64_Ont_Opt	queries/xdq	1
Bla_N1_64_Ont_Opt	queries/xfu	1
Bla_N1_64_Ont_Opt	queries/xfx	1
Bla_N1_64_Ont_Opt	queries/xht	0
Bla_N1_64_Ont_Opt	queries/xid	1
Bla_N1_64_Ont_Opt	queries/xlv	0
Bla_N1_64_Ont_Opt	queries/xmr	1
Bla_N1_64_Ont_Opt	queries/xnl	1
Bla_N1_64_Ont_Opt	queries/xnt	1
Bla_N1_64_Ont_Opt	queries/xnx	7
Bla_N1_64_Ont_Opt	queries/xos	1
Bla_N1_64_Ont_Opt	queries/xow	0
Bla_N1_64_Ont_Opt	queries/xsg	1
Bla_N1_64_Ont_Opt	queries/xsl	1
Bla_N1_64_Ont_Opt	queries/xsx	0
Bla_N1_64_Ont_Opt	queries/xtt	1
Bla_N1_64_Ont_Opt	queries/xuq	1
Bla_N1_64_Ont_Opt	queries/xut	1
Bla_N1_64_Ont_Opt	queries/xuy	0
Bla_N1_64_Ont_Opt	queries/xwo	1
Bla_N1_64_Ont_Opt	queries/xzabc	1
Bla_N1_64_Ont_Opt	queries/xzabe	1
Bla_N1_64_Ont_Opt	queries/xzaca	1
Bla_N1_64_Ont_Opt	queries/xzado	0
Bla_N1_64_Ont_Opt	queries/xzadw	1
Bla_N1_64_Ont_Opt	queries/xzaeb	7
Bla_N1_64_Ont_Opt	queries/xzafx	0
Bla_N1_64_Ont_Opt	queries/xzaga	0
Bla_N1_64_Ont_Opt	queries/xzagg	1
Bla_N1_64_Ont_Opt	queries/xzahr	1
Bla_N1_64_Ont_Opt	queries/xzakg	0
Bla_N1_64_Ont_Opt	queries/xzaln	0
Bla_N1_64_Ont_Opt	queries/xzalo	1
Bla_N1_64_Ont_Opt	queries/xzaqv	1
Bla_N1_64_Ont_Opt	queries/xzaub	0
