sim_id	query_name	number_of_results
Bla_N1_64_W1000_Opt	C1/C1_split0.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split1.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split10.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split11.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split12.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split13.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split14.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split15.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split16.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split17.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split18.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split19.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split2.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split3.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split4.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split5.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split6.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split7.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split8.sparql	1424
Bla_N1_64_W1000_Opt	C1/C1_split9.sparql	1424
Bla_N1_64_W1000_Opt	C2/C2_split0.sparql	342
Bla_N1_64_W1000_Opt	C2/C2_split1.sparql	342
Bla_N1_64_W1000_Opt	C2/C2_split10.sparql	342
Bla_N1_64_W1000_Opt	C2/C2_split11.sparql	342
Bla_N1_64_W1000_Opt	C2/C2_split12.sparql	342
Bla_N1_64_W1000_Opt	C2/C2_split13.sparql	342
Bla_N1_64_W1000_Opt	C2/C2_split14.sparql	342
Bla_N1_64_W1000_Opt	C2/C2_split15.sparql	342
Bla_N1_64_W1000_Opt	C2/C2_split16.sparql	342
Bla_N1_64_W1000_Opt	C2/C2_split17.sparql	342
