sim_id	query_name	number_of_results
ES_N3_32_W1000_Def	F1/F1_split0.sparql	255
ES_N3_32_W1000_Def	F1/F1_split1.sparql	98
ES_N3_32_W1000_Def	F1/F1_split10.sparql	0
ES_N3_32_W1000_Def	F1/F1_split11.sparql	12
ES_N3_32_W1000_Def	F1/F1_split12.sparql	180
ES_N3_32_W1000_Def	F1/F1_split13.sparql	325
ES_N3_32_W1000_Def	F1/F1_split14.sparql	0
ES_N3_32_W1000_Def	F1/F1_split15.sparql	135
ES_N3_32_W1000_Def	F1/F1_split16.sparql	300
ES_N3_32_W1000_Def	F1/F1_split17.sparql	126
ES_N3_32_W1000_Def	F1/F1_split18.sparql	69
ES_N3_32_W1000_Def	F1/F1_split19.sparql	253
ES_N3_32_W1000_Def	F1/F1_split2.sparql	135
ES_N3_32_W1000_Def	F1/F1_split20.sparql	401
ES_N3_32_W1000_Def	F1/F1_split21.sparql	5
ES_N3_32_W1000_Def	F1/F1_split22.sparql	303
ES_N3_32_W1000_Def	F1/F1_split23.sparql	816
ES_N3_32_W1000_Def	F1/F1_split24.sparql	115
ES_N3_32_W1000_Def	F1/F1_split25.sparql	15
ES_N3_32_W1000_Def	F1/F1_split26.sparql	463
ES_N3_32_W1000_Def	F1/F1_split27.sparql	15
ES_N3_32_W1000_Def	F1/F1_split28.sparql	365
ES_N3_32_W1000_Def	F1/F1_split29.sparql	458
ES_N3_32_W1000_Def	F1/F1_split3.sparql	332
ES_N3_32_W1000_Def	F1/F1_split30.sparql	421
ES_N3_32_W1000_Def	F1/F1_split31.sparql	0
ES_N3_32_W1000_Def	F1/F1_split32.sparql	421
ES_N3_32_W1000_Def	F1/F1_split33.sparql	480
ES_N3_32_W1000_Def	F1/F1_split34.sparql	259
ES_N3_32_W1000_Def	F1/F1_split35.sparql	401
ES_N3_32_W1000_Def	F1/F1_split36.sparql	259
ES_N3_32_W1000_Def	F1/F1_split37.sparql	0
ES_N3_32_W1000_Def	F1/F1_split38.sparql	253
ES_N3_32_W1000_Def	F1/F1_split39.sparql	233
ES_N3_32_W1000_Def	F1/F1_split4.sparql	303
ES_N3_32_W1000_Def	F1/F1_split40.sparql	66
ES_N3_32_W1000_Def	F1/F1_split41.sparql	27
ES_N3_32_W1000_Def	F1/F1_split42.sparql	0
ES_N3_32_W1000_Def	F1/F1_split43.sparql	321
ES_N3_32_W1000_Def	F1/F1_split44.sparql	421
ES_N3_32_W1000_Def	F1/F1_split45.sparql	158
ES_N3_32_W1000_Def	F1/F1_split46.sparql	0
ES_N3_32_W1000_Def	F1/F1_split47.sparql	66
ES_N3_32_W1000_Def	F1/F1_split48.sparql	162
ES_N3_32_W1000_Def	F1/F1_split49.sparql	0
ES_N3_32_W1000_Def	F1/F1_split5.sparql	0
ES_N3_32_W1000_Def	F1/F1_split50.sparql	66
ES_N3_32_W1000_Def	F1/F1_split51.sparql	233
ES_N3_32_W1000_Def	F1/F1_split52.sparql	365
ES_N3_32_W1000_Def	F1/F1_split53.sparql	0
ES_N3_32_W1000_Def	F1/F1_split54.sparql	283
ES_N3_32_W1000_Def	F1/F1_split55.sparql	332
ES_N3_32_W1000_Def	F1/F1_split56.sparql	69
ES_N3_32_W1000_Def	F1/F1_split57.sparql	233
ES_N3_32_W1000_Def	F1/F1_split58.sparql	0
ES_N3_32_W1000_Def	F1/F1_split59.sparql	10
ES_N3_32_W1000_Def	F1/F1_split6.sparql	255
ES_N3_32_W1000_Def	F1/F1_split60.sparql	0
ES_N3_32_W1000_Def	F1/F1_split61.sparql	115
ES_N3_32_W1000_Def	F1/F1_split62.sparql	27
ES_N3_32_W1000_Def	F1/F1_split63.sparql	75
ES_N3_32_W1000_Def	F1/F1_split64.sparql	474
ES_N3_32_W1000_Def	F1/F1_split65.sparql	277
ES_N3_32_W1000_Def	F1/F1_split66.sparql	40
ES_N3_32_W1000_Def	F1/F1_split67.sparql	233
ES_N3_32_W1000_Def	F1/F1_split68.sparql	251
ES_N3_32_W1000_Def	F1/F1_split69.sparql	332
ES_N3_32_W1000_Def	F1/F1_split7.sparql	253
ES_N3_32_W1000_Def	F1/F1_split70.sparql	522
ES_N3_32_W1000_Def	F1/F1_split71.sparql	110
ES_N3_32_W1000_Def	F1/F1_split72.sparql	66
ES_N3_32_W1000_Def	F1/F1_split73.sparql	158
ES_N3_32_W1000_Def	F1/F1_split74.sparql	115
ES_N3_32_W1000_Def	F1/F1_split75.sparql	395
ES_N3_32_W1000_Def	F1/F1_split76.sparql	0
ES_N3_32_W1000_Def	F1/F1_split77.sparql	303
ES_N3_32_W1000_Def	F1/F1_split78.sparql	463
ES_N3_32_W1000_Def	F1/F1_split79.sparql	107
ES_N3_32_W1000_Def	F1/F1_split8.sparql	54
ES_N3_32_W1000_Def	F1/F1_split80.sparql	300
ES_N3_32_W1000_Def	F1/F1_split81.sparql	162
ES_N3_32_W1000_Def	F1/F1_split82.sparql	655
ES_N3_32_W1000_Def	F1/F1_split83.sparql	162
ES_N3_32_W1000_Def	F1/F1_split84.sparql	110
ES_N3_32_W1000_Def	F1/F1_split85.sparql	0
ES_N3_32_W1000_Def	F1/F1_split86.sparql	233
ES_N3_32_W1000_Def	F1/F1_split87.sparql	0
ES_N3_32_W1000_Def	F1/F1_split88.sparql	66
ES_N3_32_W1000_Def	F1/F1_split89.sparql	165
ES_N3_32_W1000_Def	F1/F1_split9.sparql	40
ES_N3_32_W1000_Def	F1/F1_split90.sparql	66
ES_N3_32_W1000_Def	F1/F1_split91.sparql	0
ES_N3_32_W1000_Def	F1/F1_split92.sparql	54
ES_N3_32_W1000_Def	F1/F1_split93.sparql	0
ES_N3_32_W1000_Def	F1/F1_split94.sparql	401
ES_N3_32_W1000_Def	F1/F1_split95.sparql	165
ES_N3_32_W1000_Def	F1/F1_split96.sparql	332
ES_N3_32_W1000_Def	F1/F1_split97.sparql	66
ES_N3_32_W1000_Def	F1/F1_split98.sparql	162
ES_N3_32_W1000_Def	F1/F1_split99.sparql	0
ES_N3_32_W1000_Def	F2/F2_split0.sparql	96
ES_N3_32_W1000_Def	F2/F2_split1.sparql	493
ES_N3_32_W1000_Def	F2/F2_split10.sparql	322
ES_N3_32_W1000_Def	F2/F2_split14.sparql	187
ES_N3_32_W1000_Def	F2/F2_split16.sparql	14
