sim_id	query_name	number_of_results
Flu_N3_64_W100_Def	C1/C1_split18.sparql	199
Flu_N3_64_W100_Def	C1/C1_split3.sparql	201
Flu_N3_64_W100_Def	C2/C2_split1.sparql	22
Flu_N3_64_W100_Def	C2/C2_split15.sparql	22
Flu_N3_64_W100_Def	C2/C2_split16.sparql	22
Flu_N3_64_W100_Def	C2/C2_split18.sparql	22
Flu_N3_64_W100_Def	C2/C2_split5.sparql	22
Flu_N3_64_W100_Def	F1/F1_split0.sparql	19
Flu_N3_64_W100_Def	F1/F1_split11.sparql	2
Flu_N3_64_W100_Def	F1/F1_split13.sparql	0
Flu_N3_64_W100_Def	F2/F2_split2.sparql	124
Flu_N3_64_W100_Def	F3/F3_split11.sparql	29
Flu_N3_64_W100_Def	F4/F4_split14.sparql	299
Flu_N3_64_W100_Def	F5/F5_split1.sparql	15
Flu_N3_64_W100_Def	F5/F5_split15.sparql	55
Flu_N3_64_W100_Def	L1/L1_split18.sparql	0
Flu_N3_64_W100_Def	L2/L2_split16.sparql	1906
Flu_N3_64_W100_Def	L2/L2_split18.sparql	1906
Flu_N3_64_W100_Def	L2/L2_split8.sparql	118
Flu_N3_64_W100_Def	L3/L3_split4.sparql	53
Flu_N3_64_W100_Def	L3/L3_split9.sparql	34
Flu_N3_64_W100_Def	L4/L4_split18.sparql	628
Flu_N3_64_W100_Def	L5/L5_split19.sparql	2681
Flu_N3_64_W100_Def	S1/S1_split19.sparql	12
Flu_N3_64_W100_Def	S1/S1_split5.sparql	5
Flu_N3_64_W100_Def	S2/S2_split6.sparql	346
Flu_N3_64_W100_Def	S3/S3_split18.sparql	0
Flu_N3_64_W100_Def	S3/S3_split4.sparql	0
Flu_N3_64_W100_Def	S3/S3_split5.sparql	0
Flu_N3_64_W100_Def	S3/S3_split9.sparql	0
Flu_N3_64_W100_Def	S4/S4_split10.sparql	0
Flu_N3_64_W100_Def	S4/S4_split2.sparql	0
Flu_N3_64_W100_Def	S4/S4_split8.sparql	34
Flu_N3_64_W100_Def	S5/S5_split1.sparql	0
Flu_N3_64_W100_Def	S5/S5_split2.sparql	0
Flu_N3_64_W100_Def	S5/S5_split7.sparql	341
Flu_N3_64_W100_Def	S6/S6_split10.sparql	72
Flu_N3_64_W100_Def	S6/S6_split3.sparql	1
Flu_N3_64_W100_Def	S7/S7_split1.sparql	1
Flu_N3_64_W100_Def	S7/S7_split19.sparql	0
