sim_id	query_name	number_of_results
Fus_N1_64_Ont_Def	queries/xah	0
Fus_N1_64_Ont_Def	queries/xai	1
Fus_N1_64_Ont_Def	queries/xam	0
Fus_N1_64_Ont_Def	queries/xar	1
Fus_N1_64_Ont_Def	queries/xay	0
Fus_N1_64_Ont_Def	queries/xbb	0
Fus_N1_64_Ont_Def	queries/xbi	0
Fus_N1_64_Ont_Def	queries/xcg	1
Fus_N1_64_Ont_Def	queries/xct	1
Fus_N1_64_Ont_Def	queries/xdf	0
Fus_N1_64_Ont_Def	queries/xdj	1
Fus_N1_64_Ont_Def	queries/xdm	0
Fus_N1_64_Ont_Def	queries/xdn	0
Fus_N1_64_Ont_Def	queries/xdt	1
Fus_N1_64_Ont_Def	queries/xdu	1
Fus_N1_64_Ont_Def	queries/xeh	3
Fus_N1_64_Ont_Def	queries/xfl	1
Fus_N1_64_Ont_Def	queries/xfq	1
Fus_N1_64_Ont_Def	queries/xfx	1
Fus_N1_64_Ont_Def	queries/xha	0
Fus_N1_64_Ont_Def	queries/xhe	1
Fus_N1_64_Ont_Def	queries/xhf	0
Fus_N1_64_Ont_Def	queries/xhj	1
Fus_N1_64_Ont_Def	queries/xhp	1
Fus_N1_64_Ont_Def	queries/xig	0
Fus_N1_64_Ont_Def	queries/xil	143
Fus_N1_64_Ont_Def	queries/xip	1
Fus_N1_64_Ont_Def	queries/xiy	0
Fus_N1_64_Ont_Def	queries/xiz	1
Fus_N1_64_Ont_Def	queries/xjd	1
Fus_N1_64_Ont_Def	queries/xjh	1
Fus_N1_64_Ont_Def	queries/xjv	1
Fus_N1_64_Ont_Def	queries/xka	0
Fus_N1_64_Ont_Def	queries/xkc	1
Fus_N1_64_Ont_Def	queries/xku	1
Fus_N1_64_Ont_Def	queries/xla	0
Fus_N1_64_Ont_Def	queries/xlb	0
Fus_N1_64_Ont_Def	queries/xld	1
Fus_N1_64_Ont_Def	queries/xle	1
Fus_N1_64_Ont_Def	queries/xlp	2
Fus_N1_64_Ont_Def	queries/xls	4
Fus_N1_64_Ont_Def	queries/xmb	1
Fus_N1_64_Ont_Def	queries/xmk	1
Fus_N1_64_Ont_Def	queries/xmu	2
Fus_N1_64_Ont_Def	queries/xmy	0
Fus_N1_64_Ont_Def	queries/xnd	1
Fus_N1_64_Ont_Def	queries/xnl	1
Fus_N1_64_Ont_Def	queries/xnp	0
Fus_N1_64_Ont_Def	queries/xnr	1
Fus_N1_64_Ont_Def	queries/xok	1
Fus_N1_64_Ont_Def	queries/xoo	3
Fus_N1_64_Ont_Def	queries/xoq	1
Fus_N1_64_Ont_Def	queries/xow	0
Fus_N1_64_Ont_Def	queries/xpb	0
Fus_N1_64_Ont_Def	queries/xpd	5
Fus_N1_64_Ont_Def	queries/xps	1
Fus_N1_64_Ont_Def	queries/xqg	1
Fus_N1_64_Ont_Def	queries/xqq	1
Fus_N1_64_Ont_Def	queries/xqv	1
Fus_N1_64_Ont_Def	queries/xqz	2
Fus_N1_64_Ont_Def	queries/xra	1
Fus_N1_64_Ont_Def	queries/xrh	0
Fus_N1_64_Ont_Def	queries/xrq	0
Fus_N1_64_Ont_Def	queries/xrz	1
Fus_N1_64_Ont_Def	queries/xsg	1
Fus_N1_64_Ont_Def	queries/xsn	1
Fus_N1_64_Ont_Def	queries/xst	1
Fus_N1_64_Ont_Def	queries/xsv	0
Fus_N1_64_Ont_Def	queries/xtc	1
Fus_N1_64_Ont_Def	queries/xte	1
Fus_N1_64_Ont_Def	queries/xtl	3
Fus_N1_64_Ont_Def	queries/xuc	1
Fus_N1_64_Ont_Def	queries/xuf	0
Fus_N1_64_Ont_Def	queries/xuj	0
Fus_N1_64_Ont_Def	queries/xuy	0
Fus_N1_64_Ont_Def	queries/xuz	3
Fus_N1_64_Ont_Def	queries/xvc	1
Fus_N1_64_Ont_Def	queries/xvd	1
Fus_N1_64_Ont_Def	queries/xvi	1
Fus_N1_64_Ont_Def	queries/xvo	1
Fus_N1_64_Ont_Def	queries/xvq	1
Fus_N1_64_Ont_Def	queries/xvs	1
Fus_N1_64_Ont_Def	queries/xvt	1
Fus_N1_64_Ont_Def	queries/xvu	1
Fus_N1_64_Ont_Def	queries/xvv	1
Fus_N1_64_Ont_Def	queries/xvy	1
Fus_N1_64_Ont_Def	queries/xwa	1
Fus_N1_64_Ont_Def	queries/xwd	146
Fus_N1_64_Ont_Def	queries/xwi	1
Fus_N1_64_Ont_Def	queries/xwl	0
Fus_N1_64_Ont_Def	queries/xwt	0
Fus_N1_64_Ont_Def	queries/xxk	1
Fus_N1_64_Ont_Def	queries/xxo	0
Fus_N1_64_Ont_Def	queries/xya	1
Fus_N1_64_Ont_Def	queries/xye	7
Fus_N1_64_Ont_Def	queries/xyi	0
Fus_N1_64_Ont_Def	queries/xyl	0
Fus_N1_64_Ont_Def	queries/xyr	1
Fus_N1_64_Ont_Def	queries/xyx	6
Fus_N1_64_Ont_Def	queries/xzaaf	2
Fus_N1_64_Ont_Def	queries/xzaah	0
Fus_N1_64_Ont_Def	queries/xzaao	1
Fus_N1_64_Ont_Def	queries/xzaay	1
Fus_N1_64_Ont_Def	queries/xzaaz	0
Fus_N1_64_Ont_Def	queries/xzabe	1
Fus_N1_64_Ont_Def	queries/xzabg	1
Fus_N1_64_Ont_Def	queries/xzabj	1344
Fus_N1_64_Ont_Def	queries/xzabs	0
