sim_id	query_name	number_of_results
Fus_N1_64_W1000_Def	C1/C1_split17.sparql	1424
Fus_N1_64_W1000_Def	C1/C1_split19.sparql	1424
Fus_N1_64_W1000_Def	C1/C1_split3.sparql	1424
Fus_N1_64_W1000_Def	C1/C1_split9.sparql	1424
Fus_N1_64_W1000_Def	F2/F2_split1.sparql	793
Fus_N1_64_W1000_Def	F2/F2_split14.sparql	607
Fus_N1_64_W1000_Def	F2/F2_split16.sparql	569
Fus_N1_64_W1000_Def	F2/F2_split4.sparql	793
Fus_N1_64_W1000_Def	F2/F2_split5.sparql	1116
Fus_N1_64_W1000_Def	F2/F2_split7.sparql	1141
Fus_N1_64_W1000_Def	L2/L2_split2.sparql	8008
Fus_N1_64_W1000_Def	L2/L2_split4.sparql	924
Fus_N1_64_W1000_Def	L5/L5_split1.sparql	5147
Fus_N1_64_W1000_Def	L5/L5_split2.sparql	13001
Fus_N1_64_W1000_Def	S3/S3_split12.sparql	0
Fus_N1_64_W1000_Def	S3/S3_split18.sparql	0
Fus_N1_64_W1000_Def	S3/S3_split2.sparql	0
Fus_N1_64_W1000_Def	S4/S4_split13.sparql	64
Fus_N1_64_W1000_Def	S4/S4_split2.sparql	7
Fus_N1_64_W1000_Def	S5/S5_split16.sparql	0
Fus_N1_64_W1000_Def	S5/S5_split2.sparql	3444
Fus_N1_64_W1000_Def	S5/S5_split5.sparql	0
Fus_N1_64_W1000_Def	S5/S5_split6.sparql	0
Fus_N1_64_W1000_Def	S6/S6_split12.sparql	1449
Fus_N1_64_W1000_Def	S6/S6_split18.sparql	720
Fus_N1_64_W1000_Def	S6/S6_split19.sparql	36
