sim_id	query_name	number_of_results
Gra_N1_32_W100_Def	C1/C1_split0.sparql	201
Gra_N1_32_W100_Def	C1/C1_split1.sparql	201
Gra_N1_32_W100_Def	C1/C1_split10.sparql	201
Gra_N1_32_W100_Def	C1/C1_split11.sparql	201
Gra_N1_32_W100_Def	C1/C1_split12.sparql	201
Gra_N1_32_W100_Def	C1/C1_split13.sparql	201
Gra_N1_32_W100_Def	C1/C1_split14.sparql	201
Gra_N1_32_W100_Def	C1/C1_split15.sparql	201
Gra_N1_32_W100_Def	C1/C1_split16.sparql	201
Gra_N1_32_W100_Def	C1/C1_split17.sparql	201
Gra_N1_32_W100_Def	C1/C1_split18.sparql	201
Gra_N1_32_W100_Def	C1/C1_split19.sparql	201
Gra_N1_32_W100_Def	C1/C1_split2.sparql	201
Gra_N1_32_W100_Def	C1/C1_split20.sparql	201
Gra_N1_32_W100_Def	C1/C1_split21.sparql	201
Gra_N1_32_W100_Def	C1/C1_split22.sparql	201
Gra_N1_32_W100_Def	C1/C1_split23.sparql	201
Gra_N1_32_W100_Def	C1/C1_split24.sparql	201
Gra_N1_32_W100_Def	C1/C1_split25.sparql	201
Gra_N1_32_W100_Def	C1/C1_split26.sparql	201
Gra_N1_32_W100_Def	C1/C1_split27.sparql	201
Gra_N1_32_W100_Def	C1/C1_split28.sparql	201
Gra_N1_32_W100_Def	C1/C1_split29.sparql	201
Gra_N1_32_W100_Def	C1/C1_split3.sparql	201
Gra_N1_32_W100_Def	C1/C1_split30.sparql	201
Gra_N1_32_W100_Def	C1/C1_split31.sparql	201
Gra_N1_32_W100_Def	C1/C1_split32.sparql	201
Gra_N1_32_W100_Def	C1/C1_split33.sparql	201
Gra_N1_32_W100_Def	C1/C1_split34.sparql	201
Gra_N1_32_W100_Def	C1/C1_split35.sparql	201
Gra_N1_32_W100_Def	C1/C1_split36.sparql	201
Gra_N1_32_W100_Def	C1/C1_split37.sparql	201
Gra_N1_32_W100_Def	C1/C1_split38.sparql	201
Gra_N1_32_W100_Def	C1/C1_split39.sparql	201
Gra_N1_32_W100_Def	C1/C1_split4.sparql	201
Gra_N1_32_W100_Def	C1/C1_split40.sparql	201
Gra_N1_32_W100_Def	C1/C1_split41.sparql	201
Gra_N1_32_W100_Def	C1/C1_split42.sparql	201
Gra_N1_32_W100_Def	C1/C1_split43.sparql	201
Gra_N1_32_W100_Def	C1/C1_split44.sparql	201
Gra_N1_32_W100_Def	C1/C1_split45.sparql	201
Gra_N1_32_W100_Def	C1/C1_split46.sparql	201
Gra_N1_32_W100_Def	C1/C1_split47.sparql	201
Gra_N1_32_W100_Def	C1/C1_split48.sparql	201
Gra_N1_32_W100_Def	C1/C1_split49.sparql	201
Gra_N1_32_W100_Def	C1/C1_split5.sparql	201
Gra_N1_32_W100_Def	C1/C1_split50.sparql	201
Gra_N1_32_W100_Def	C1/C1_split51.sparql	201
Gra_N1_32_W100_Def	C1/C1_split52.sparql	201
Gra_N1_32_W100_Def	C1/C1_split53.sparql	201
Gra_N1_32_W100_Def	C1/C1_split54.sparql	201
Gra_N1_32_W100_Def	C1/C1_split55.sparql	201
Gra_N1_32_W100_Def	C1/C1_split56.sparql	201
Gra_N1_32_W100_Def	C1/C1_split57.sparql	201
Gra_N1_32_W100_Def	C1/C1_split58.sparql	201
Gra_N1_32_W100_Def	C1/C1_split59.sparql	201
Gra_N1_32_W100_Def	C1/C1_split6.sparql	201
Gra_N1_32_W100_Def	C1/C1_split60.sparql	201
Gra_N1_32_W100_Def	C1/C1_split61.sparql	201
Gra_N1_32_W100_Def	C1/C1_split62.sparql	201
Gra_N1_32_W100_Def	C1/C1_split63.sparql	201
Gra_N1_32_W100_Def	C1/C1_split64.sparql	201
Gra_N1_32_W100_Def	C1/C1_split65.sparql	201
Gra_N1_32_W100_Def	C1/C1_split66.sparql	201
Gra_N1_32_W100_Def	C1/C1_split67.sparql	201
Gra_N1_32_W100_Def	C1/C1_split68.sparql	201
Gra_N1_32_W100_Def	C1/C1_split69.sparql	201
Gra_N1_32_W100_Def	C1/C1_split7.sparql	201
Gra_N1_32_W100_Def	C1/C1_split70.sparql	201
Gra_N1_32_W100_Def	C1/C1_split71.sparql	201
Gra_N1_32_W100_Def	C1/C1_split72.sparql	201
Gra_N1_32_W100_Def	C1/C1_split73.sparql	201
Gra_N1_32_W100_Def	C1/C1_split74.sparql	201
Gra_N1_32_W100_Def	C1/C1_split75.sparql	201
Gra_N1_32_W100_Def	C1/C1_split76.sparql	201
Gra_N1_32_W100_Def	C1/C1_split77.sparql	201
Gra_N1_32_W100_Def	C1/C1_split78.sparql	201
Gra_N1_32_W100_Def	C1/C1_split79.sparql	201
Gra_N1_32_W100_Def	C1/C1_split8.sparql	201
Gra_N1_32_W100_Def	C1/C1_split80.sparql	201
Gra_N1_32_W100_Def	C1/C1_split81.sparql	201
Gra_N1_32_W100_Def	C1/C1_split82.sparql	201
Gra_N1_32_W100_Def	C1/C1_split83.sparql	201
Gra_N1_32_W100_Def	C1/C1_split84.sparql	201
Gra_N1_32_W100_Def	C1/C1_split85.sparql	201
Gra_N1_32_W100_Def	C1/C1_split86.sparql	201
Gra_N1_32_W100_Def	C1/C1_split87.sparql	201
Gra_N1_32_W100_Def	C1/C1_split88.sparql	201
Gra_N1_32_W100_Def	C1/C1_split89.sparql	201
Gra_N1_32_W100_Def	C1/C1_split9.sparql	201
Gra_N1_32_W100_Def	C1/C1_split90.sparql	201
Gra_N1_32_W100_Def	C1/C1_split91.sparql	201
Gra_N1_32_W100_Def	C1/C1_split92.sparql	201
Gra_N1_32_W100_Def	C1/C1_split93.sparql	201
Gra_N1_32_W100_Def	C1/C1_split94.sparql	201
Gra_N1_32_W100_Def	C1/C1_split95.sparql	201
Gra_N1_32_W100_Def	C1/C1_split96.sparql	201
Gra_N1_32_W100_Def	C1/C1_split97.sparql	201
Gra_N1_32_W100_Def	C1/C1_split98.sparql	201
Gra_N1_32_W100_Def	C1/C1_split99.sparql	201
Gra_N1_32_W100_Def	C2/C2_split0.sparql	22
Gra_N1_32_W100_Def	C2/C2_split1.sparql	22
Gra_N1_32_W100_Def	C2/C2_split10.sparql	22
Gra_N1_32_W100_Def	C2/C2_split11.sparql	22
Gra_N1_32_W100_Def	C2/C2_split12.sparql	22
Gra_N1_32_W100_Def	C2/C2_split13.sparql	22
Gra_N1_32_W100_Def	C2/C2_split14.sparql	22
Gra_N1_32_W100_Def	C2/C2_split15.sparql	22
Gra_N1_32_W100_Def	C2/C2_split16.sparql	22
Gra_N1_32_W100_Def	C2/C2_split17.sparql	22
Gra_N1_32_W100_Def	C2/C2_split18.sparql	22
Gra_N1_32_W100_Def	C2/C2_split19.sparql	22
Gra_N1_32_W100_Def	C2/C2_split2.sparql	22
Gra_N1_32_W100_Def	C2/C2_split20.sparql	22
Gra_N1_32_W100_Def	C2/C2_split21.sparql	22
Gra_N1_32_W100_Def	C2/C2_split22.sparql	22
Gra_N1_32_W100_Def	C2/C2_split23.sparql	22
Gra_N1_32_W100_Def	C2/C2_split24.sparql	22
Gra_N1_32_W100_Def	C2/C2_split25.sparql	22
Gra_N1_32_W100_Def	C2/C2_split26.sparql	22
Gra_N1_32_W100_Def	C2/C2_split27.sparql	22
Gra_N1_32_W100_Def	C2/C2_split28.sparql	22
Gra_N1_32_W100_Def	C2/C2_split29.sparql	22
Gra_N1_32_W100_Def	C2/C2_split3.sparql	22
Gra_N1_32_W100_Def	C2/C2_split30.sparql	22
Gra_N1_32_W100_Def	C2/C2_split31.sparql	22
Gra_N1_32_W100_Def	C2/C2_split32.sparql	22
Gra_N1_32_W100_Def	C2/C2_split33.sparql	22
Gra_N1_32_W100_Def	C2/C2_split34.sparql	22
Gra_N1_32_W100_Def	C2/C2_split35.sparql	22
Gra_N1_32_W100_Def	C2/C2_split36.sparql	22
Gra_N1_32_W100_Def	C2/C2_split37.sparql	22
Gra_N1_32_W100_Def	C2/C2_split38.sparql	22
Gra_N1_32_W100_Def	C2/C2_split39.sparql	22
Gra_N1_32_W100_Def	C2/C2_split4.sparql	22
Gra_N1_32_W100_Def	C2/C2_split40.sparql	22
Gra_N1_32_W100_Def	C2/C2_split41.sparql	22
Gra_N1_32_W100_Def	C2/C2_split42.sparql	22
Gra_N1_32_W100_Def	C2/C2_split43.sparql	22
Gra_N1_32_W100_Def	C2/C2_split44.sparql	22
Gra_N1_32_W100_Def	C2/C2_split45.sparql	22
Gra_N1_32_W100_Def	C2/C2_split46.sparql	22
Gra_N1_32_W100_Def	C2/C2_split47.sparql	22
Gra_N1_32_W100_Def	C2/C2_split48.sparql	22
Gra_N1_32_W100_Def	C2/C2_split49.sparql	22
Gra_N1_32_W100_Def	C2/C2_split5.sparql	22
Gra_N1_32_W100_Def	C2/C2_split50.sparql	22
Gra_N1_32_W100_Def	C2/C2_split51.sparql	22
Gra_N1_32_W100_Def	C2/C2_split52.sparql	22
Gra_N1_32_W100_Def	C2/C2_split53.sparql	22
Gra_N1_32_W100_Def	C2/C2_split54.sparql	22
Gra_N1_32_W100_Def	C2/C2_split55.sparql	22
Gra_N1_32_W100_Def	C2/C2_split56.sparql	22
